"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"6946de469016ecb84f1e0d23a0037ae0b885b376","2018-10-01T20:59:43Z","1","9","5","14","1","0","0"
"2cc3bc0b1d08b6f26a859be7a309a822b69606da","2018-10-01T20:34:06Z","0","0","0","0","0","1","0"
"b6181b995d2e87db7db5f07cf229ccbfda97502c","2018-10-01T19:24:34Z","2","24","8","32","1","0","0"
"040c8c449fe934d973428eb074dd4428b93f6bfa","2018-10-01T19:24:34Z","1","11","13","24","1","0","0"
"0975bb0b3ec2ed3491c014b22ad7dadc24470db4","2018-10-01T19:24:34Z","2","19","10","29","1","0","0"
"f26e3cbe62b408d471b5c49bc88b20fa24b88cf7","2018-10-01T19:24:34Z","1","0","2","2","1","0","0"
"70d9178fbce736847cf0882558d11112d0d49190","2018-10-01T19:24:34Z","1","0","11","11","1","0","0"
"3e2638271683d5f7407a514296a48cd1143a4bd0","2018-10-01T19:24:34Z","5","3","464","467","1","0","0"
"578fca2f998bd24d9042e870eb772a99594c916c","2018-10-01T19:24:34Z","5","169","46","215","1","0","1"
"07b41cd4fa22c4970b9993fafe3f68a26657c5bb","2018-10-01T15:30:49Z","0","0","0","0","0","1","0"
"6509692aaa25f261a0b82cc4e3accabf69f10770","2018-10-01T15:27:21Z","0","0","0","0","0","1","0"
"a92c70f3f68fa0e5f9f9d4a65af1ac7ff360a47b","2018-10-01T14:28:23Z","3","25","55","80","1","0","0"
"be9590e3c51fbb6fab9f6f5c79526baaa0bf601d","2018-10-01T14:19:27Z","3","31","3","34","1","0","0"
"b944ba4ae9bf9fa5377c45b1b2c248c0558a257d","2018-10-01T13:28:00Z","1","11","4","15","1","0","0"
"6ee5d5e02418db91cd3af390dc76d6ef19297eb5","2018-10-01T13:17:43Z","1","7","0","7","1","0","0"
"703b920e69fd9ed491d0915ed13113186b474cdf","2018-10-01T13:17:11Z","9","170","114","284","1","0","0"
"f0811cde8b5296ffd38afc075926ee463b426721","2018-10-01T13:17:11Z","2","23","2","25","1","0","0"
"21b853e7596f14deae22fa69627e2f1d03502c6e","2018-10-01T12:22:09Z","0","0","0","0","0","0","1"
"4e6b3d30a6d29289e7a32170a2e7a288c3840149","2018-10-01T12:22:09Z","0","0","0","0","0","0","0"
