"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ce7340805007792c78e9cd964395d40e6fe789c5","2018-09-29T14:16:08Z","0","0","0","0","0","0","0"
"d365859237443ed39131fd961b92aabb73a22ea0","2018-09-22T13:38:04Z","1","11","9","20","1","0","0"
"6ade1e396a33858a454490b7215cfada0f7b887f","2018-09-22T13:25:58Z","1","2","5","7","1","0","0"
"6550ca67932a2e1ea9400bc020024742e937e2b6","2018-09-22T13:10:19Z","1","2","2","4","1","0","0"
"9cb660ea9ec37721f62b79d727358fa4636f8fa0","2018-09-22T13:09:47Z","0","0","0","0","0","0","0"
"c7a144216066ce6f94f558be5cc96a51520e89db","2018-09-22T13:08:46Z","1","63","51","114","1","0","0"
"1fc73123eff3ebb389ee7fede5423bce9158078d","2018-09-22T13:04:13Z","1","107","15","122","1","0","0"
"35f5a2973ddb1de98468ce1382d9ec1d334b3727","2018-09-21T04:56:46Z","13","20","24","44","1","0","0"
"059335eaea04bf0d0f17d5b57c5f8fe523f3d8e4","2018-09-18T19:14:15Z","0","0","0","0","0","0","0"
"1c0546de014feda0bf704bc70068ee0b99c4f475","2018-09-17T22:00:17Z","0","0","0","0","0","0","0"
"dcab910f6a1d016fad7d62cab3f5cfeab5293c67","2018-09-17T21:58:11Z","0","0","0","0","0","0","0"
"1b743a6de56adab2805eaee80a21740708f21fbd","2018-09-17T21:57:40Z","0","0","0","0","0","1","0"
"8aef87c1957de6bb07ec6dbf2000acdb06bb481b","2018-09-17T21:57:14Z","0","0","0","0","0","0","0"
"d3fdf079448a86dd1756eec2ce97720663980878","2018-09-16T00:17:39Z","11","27","73","100","1","0","0"
"33790995b03b6c35dc1b4bade170f9336922ced0","2018-09-16T00:16:48Z","0","0","0","0","0","0","0"
"bb65b3272b69186cd6d686f719ad0ace82de99ba","2018-09-11T12:10:18Z","0","0","0","0","0","0","0"
"9718cb7d0c1c81f76a58826ad3c1d78fddfce31a","2018-09-11T01:38:30Z","0","0","0","0","0","0","0"
"6f4eabbf315d8b74c59edb45f24da462c27de32a","2018-09-07T23:57:29Z","1","1","1","2","1","0","0"
"e9ee7339e5f6d91f43115d901c64844c0f19cca9","2018-09-07T11:42:40Z","0","0","0","0","0","1","0"
"ed8b9e2234633029647b627a42dbd54b092e4b0f","2018-09-07T11:41:27Z","0","0","0","0","0","0","0"
"602870819110d662d2f0bc8d63e49fce1bf5472e","2018-09-07T11:39:45Z","1","1","0","1","1","0","0"
"e7b49432239da4047321d4a3aa6f1f2c38d431fe","2018-09-06T14:32:56Z","1","36","58","94","1","0","0"
"f9c7d1aad962154eaa98fa6f0cf479c5afa6d0e0","2018-09-05T11:38:41Z","0","0","0","0","0","0","0"
"2bbe99eebdd358adf9a22840265aaf8ce93bdd79","2018-09-05T02:18:56Z","0","0","0","0","0","0","0"
"6160b233f4cfe4035586eef64f8f9232baf4050a","2018-08-30T18:51:38Z","1","5","0","5","1","0","0"
"f2105a6ce34aa5be40c35bc821094869e54cfd7f","2018-08-30T18:51:38Z","1","2","2","4","1","0","0"
"46a0e293000f17188806892de4520041c8a082a1","2018-08-29T10:58:33Z","0","0","0","0","0","0","0"
"ade1742905da9a2ce5e56675249f7ddf360c4682","2018-08-29T10:50:46Z","0","0","0","0","0","0","0"
"7f4e000ed71543f1c8124f7cbba27783c84aa528","2018-08-18T00:47:56Z","1","4","0","4","1","0","0"
"015c09adcfe54e257de1a1486461a9372a4eaa10","2018-08-18T00:46:41Z","2","42","7","49","1","0","0"
"ec247ba73a9e4292d9bb3211ac092237a4ec86cf","2018-08-13T05:52:07Z","0","0","0","0","0","0","0"
