"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"eca1ef413bfde7cde5450e093d544118e0877ef0","2018-05-22T00:36:34Z","0","0","0","0","0","0","0"
"14783808b91b38586140da151f8421b62f3c436d","2018-05-22T00:26:36Z","0","0","0","0","0","0","0"
"522d52aefa91294c242f46a66b369dab861dbfee","2018-05-21T23:59:45Z","4","0","50","50","1","0","0"
"d38f4455785d177d47c2b711ebb8881b5ea850ec","2018-05-21T23:12:41Z","1","21","11","32","1","0","0"
"7551372728c25e0cd77510e98a2a8c4c76aec0bc","2018-05-21T23:10:41Z","2","25","11","36","1","0","0"
"58ab43571c1ed823102f6344a4a1429fdaef43d8","2018-05-21T20:17:14Z","1","6","2","8","1","0","0"
"a733c22e215f71f34b9b212c47db6d4b0711d958","2018-05-21T18:15:28Z","0","0","0","0","0","0","0"
"61e18fbdaee207f8e78c1dedd29c017f86ac0696","2018-05-19T22:23:19Z","1","8","7","15","1","0","0"
"a900ac8ddd54e1d3aff797e541ecc5b477567d57","2018-05-19T21:45:07Z","1","1","1","2","1","0","0"
"0c307b0a603dbbe0dd74e9412343e7faf3cc1a5b","2018-05-19T21:42:30Z","2","11","1","12","1","0","0"
"05631e8ae50d800dfa441a375a2e45f95e4c223e","2018-05-19T21:32:48Z","0","0","0","0","0","0","0"
"7ce7ecc7c349371ca1dc71c250966fc924f776d4","2018-05-08T16:08:54Z","4","50","0","50","1","0","0"
"97102ba52cb96e3373890a22caa3485ada5bf065","2018-02-01T18:40:14Z","3","70","9","79","1","0","1"
"95790c73e09727905e2b971802c657c29c178efc","2017-11-29T00:50:33Z","0","0","0","0","0","0","0"
"70e8ac4b618a61fb44a5056a6618282f51565df6","2017-11-29T00:48:39Z","0","0","0","0","0","0","0"
"8feeb581bd80521dabb87d4be5ace7c785921d3b","2017-08-30T18:55:47Z","0","0","0","0","0","0","0"
"e3cba734f1f7476f51cf27f198eaa55706abe012","2017-08-30T17:06:41Z","1","17","6","23","1","0","0"
"15978fb8f30a4d72c6119867a0115df4eb32b588","2017-08-05T22:16:59Z","0","0","0","0","0","1","0"
