"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d671545a3485b26adc8288b4b3b0bb4226cc32d0","2018-09-20T02:24:51Z","2","9","1","10","1","0","0"
"2727d65231b92fa03b5fa51724d8df4874c81430","2018-09-18T02:21:52Z","1","9","1","10","1","0","0"
"dce24714ee61246b60574c81ec7dd8d27e56c52d","2018-09-04T05:41:10Z","0","0","0","0","0","1","0"
"9612ee3d085645053a66962fdd6658265638726a","2018-09-04T05:40:55Z","1","1","1","2","1","0","0"
"7cc897131da65aab2c1aa31b7b0b8aa7a6f65745","2018-08-08T11:04:26Z","4","59","3","62","1","0","0"
"be4eeb75d4c9da91ef73145da76f6df71830ca5f","2018-08-06T14:06:52Z","1","1","3","4","1","0","0"
"b48086c5d47079c6df010d0b34ee38896a62038d","2018-08-06T10:49:06Z","1","1","3","4","1","0","0"
"199c190199a464d7bf565db93b0d1aceff9e9f36","2018-08-01T08:05:45Z","1","26","7","33","1","1","0"
"345aada5b3b18624b2eaa8d486ca02a2bc2bb93f","2018-08-01T07:46:35Z","2","14","11","25","1","0","0"
"171c3ba44fcd81c80b264dd1bb1fa974c802f163","2018-08-01T06:52:40Z","0","0","0","0","0","0","0"
"1ae11a1e419e45ffad87502b21c922b07e62edb3","2018-08-01T06:47:03Z","1","2","2","4","1","0","0"
"a1febcb652b0eac086885ce6b6870d9de679ee78","2018-07-24T02:35:48Z","0","0","0","0","0","0","0"
"9be083ed38b79502be11ee72a63f276dc3f2eb92","2018-07-23T08:17:39Z","0","0","0","0","0","0","0"
"504229480ef10738b3dc67f4bcfbdbcb63f50076","2018-07-23T08:16:01Z","0","0","0","0","0","0","0"
"b84d9d986db72f6b7bb57e9f763dc95e79c04aea","2018-06-21T02:51:59Z","0","0","0","0","0","0","0"
"d11ccaba77c1204c8e64b77bb83af6e66a5864f6","2018-06-13T02:51:23Z","0","0","0","0","0","0","0"
"3b910bbfefe66e2c95e3390ab2df9ed2c5f96175","2018-06-07T03:22:18Z","0","0","0","0","0","1","0"
"4ed0b6acb07d3b259d8e73c5b0a403cdd7fe0dd7","2018-04-28T02:16:00Z","0","0","0","0","0","0","0"
"3089de4c52a245c2d2fdb55d48aa235bf183896c","2018-04-28T02:15:24Z","0","0","0","0","0","1","1"
"85fc37c55b5ece3e613a6307db9b88f4f0934b2f","2018-04-19T11:09:48Z","0","0","0","0","0","0","0"
"e47563342cabd744e4f796f1a905ac9c044ee262","2018-04-19T02:59:22Z","0","0","0","0","0","1","1"
"a0b9eb4b883ce5f02a3cddcbcd2dd22567b74705","2018-04-19T02:50:14Z","0","0","0","0","0","0","0"
"45519e9291cb682cbb4b778b8a1b7fb697514de2","2018-03-27T06:07:57Z","0","0","0","0","0","1","0"
"39ef9e3dcdfd660c453e1e22ada08c650e98554e","2018-03-13T08:27:40Z","0","0","0","0","0","1","0"
"4a1342c01c693b1a757809f7bc795fa5ba6d9424","2018-03-13T03:56:46Z","4","26","8","34","1","1","0"
"98613f1c7bae3f40883588b174231996ef23c986","2018-03-07T14:24:12Z","2","20","5","25","1","0","0"
"6dc5af320bbed12c6b2905717cb2239f23f0a714","2018-03-07T14:09:09Z","0","0","0","0","0","0","0"
"244794974933abab06c8cea6cc54baa9b906b65e","2018-02-26T09:33:41Z","2","8","14","22","1","0","0"
"17c5fe72965948868f337ea9c3fa12f660b8612e","2018-02-26T09:30:28Z","0","0","0","0","0","1","0"
"eba4076d455fe2d10eb05fb688f8faeb684c868c","2018-02-26T09:23:11Z","1","2","2","4","1","0","0"
"252e3a9ad7088a537889393fcc7465d548407ef9","2018-02-26T09:19:39Z","0","0","0","0","0","0","0"
"d310fd0f5c9fdc57e8d2378015ce2747365cc40d","2018-02-26T09:17:39Z","1","4","1","5","1","0","0"
"7da9c380daa428ad5935a35f3f07d4b9618aa8db","2018-02-23T15:20:25Z","2","8","14","22","1","0","0"
"8ac3e7f01e832f0a71cfa5655781a7cf22c5ca99","2018-02-10T03:27:54Z","1","0","6","6","1","0","0"
"80b89d9ac193d3abafcf235c80ad68362ecc85e1","2018-02-10T03:27:27Z","1","8","8","16","1","0","0"
"21eaf1df647f22d971851cca24f7f32877c7fade","2018-02-02T08:19:47Z","29","210","248","458","1","1","0"
"b79c749606c154b681e1201af3e9b11c2a451e37","2018-01-26T05:49:28Z","0","0","0","0","0","0","0"
"6dc5bd828116339fff1cbd65a1b1c9d1ac68525b","2018-01-26T05:48:44Z","1","0","6","6","1","0","0"
"70d8ab71d3da657f25162bc4977132fe6742367d","2017-12-22T02:23:18Z","1","8","8","16","1","0","0"
"311397af5f4c4f77aa7b41ea851df485d564aff6","2017-12-05T11:48:00Z","1","2","0","2","1","0","0"
"2766f133415aabcdeecbc6a6f7e3a88b27ba1674","2017-12-05T06:05:43Z","0","0","0","0","0","0","0"
"05fff8fb9eb589880160ff4cca95c62c5a936b20","2017-12-05T02:49:43Z","0","0","0","0","0","1","0"
"bd1170d67b311fd46048c714b71ee5bf6a49a81d","2017-12-05T02:49:29Z","0","0","0","0","0","1","0"
"c1c03a1298e70c7fd74a7b70324b04a6a82ec784","2017-12-04T16:04:26Z","28","208","248","456","1","1","0"
"46c85e3bd4bc8942fde2cccdda35d5947bdf799e","2017-12-04T07:33:45Z","0","0","0","0","0","1","0"
"2e32206737c5458e47e1241e9dc76ba6e977367b","2017-09-23T03:19:24Z","0","0","0","0","0","0","0"
"2d51960b6b68ed6b4066178eb7b2c08711c63ed9","2017-09-04T09:31:07Z","0","0","0","0","0","0","0"
"cf4d9e0b6dea44c7d1f38b1b581790ff97b839f3","2017-05-11T06:19:07Z","0","0","0","0","0","0","1"
"a1da36563ffd3dbc0177b09e7f44aa256192af9c","2017-04-24T07:57:41Z","1","9","3","12","1","0","0"
"eee7ba4af3abd837c737a0d8013d3d13b8fe1776","2017-04-19T00:28:40Z","3","33","12","45","1","0","0"
