"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"f1e3a14ea2e65945f456c9aacc995a968a3dd0e0","2018-10-01T08:11:31Z","0","0","0","0","0","0","0"
"1142e5d603311f1345483454fb08519ddd32f9eb","2018-10-01T07:44:31Z","0","0","0","0","0","1","0"
"522a4e321e16579a2b3aef1ca2c58a027e0a9798","2018-10-01T07:21:00Z","4","11","8","19","1","0","0"
"39aa648adba56b8d81c110298119c6e67222f206","2018-10-01T06:23:51Z","0","0","0","0","0","0","0"
"808e7ba49149759d9ce661ecc1ec2b3cd14361de","2018-10-01T06:15:00Z","0","0","0","0","0","0","0"
"1b236be351eb19e6705fe25be0e92517702cc43e","2018-10-01T05:54:23Z","0","0","0","0","0","0","0"
"759c356df1eaf464b405762565dc575c2b539b5c","2018-10-01T02:24:02Z","8","262","10","272","1","0","0"
"d1b90e218ce4ab68ce7c8b5ebeda8842be1fbcf9","2018-10-01T02:24:02Z","25","1558","0","1558","1","1","1"
"8a1e202e3bfb6be1b3e170290e93fbff56037278","2018-09-28T09:12:04Z","90","1579","1292","2871","1","0","0"
"15d0ff2c7ebfb4cb73a261018e6a34a96fa396e5","2018-09-28T09:08:34Z","0","0","0","0","0","0","0"
"ff4750f72dcf2e5ae93af543a5d5e5ab651075bf","2018-09-21T05:59:43Z","0","0","0","0","0","0","0"
"f879f7a059be665f9ab349eb59a2aaa061c7b91f","2018-09-21T05:05:04Z","0","0","0","0","0","1","0"
"6df56f7e14d5b3be7feb879c71927b82801a0b85","2018-09-21T01:56:13Z","3","10","10","20","1","1","0"
"a9907d6c71aa4e21d2ab6e3c0ce750a4d1a495ba","2018-09-21T01:56:13Z","2","95","4","99","1","0","0"
"ca3aafd87018776999527bfa82ecc3ea753e2d64","2018-09-21T01:56:13Z","3","611","2","613","1","0","0"
"edbd85ac6ca7931f64bb95b05c9321d0e6e041dc","2018-09-21T01:56:13Z","9","685","0","685","1","0","0"
"fb16bf9f6e0eb2dab6e61a8a826dd6ebbf0123d2","2018-09-21T01:56:13Z","11","503","12","515","1","1","0"
"3fa131110586c09edb088cda1c8f2e0fbd3c569b","2018-09-21T01:56:13Z","24","1815","20","1835","1","1","0"
"e0b70913cb49dbc424ed5a0cb939caed6d65bd04","2018-09-21T01:56:13Z","0","0","0","0","0","1","0"
"89c3087eaa06c0e1ddfcddeb69d46b367655c7e4","2018-09-21T01:56:13Z","1","10","5","15","1","0","0"
"82b8c364dd4554678c7f90171d298d5b03760385","2018-09-20T07:55:58Z","3","17","2","19","1","0","0"
"765403332c354230b3dc49c77fc5189bc0872fcc","2018-09-20T07:25:22Z","0","0","0","0","0","0","0"
"c401f40fe645d85951c3ab654f70a1087d35a7f2","2018-09-20T07:06:30Z","0","0","0","0","0","0","0"
"ceb338393e8a6e922aa3bef2b37d5f7da26a9aff","2018-09-20T03:35:13Z","0","0","0","0","0","1","0"
"d2b7544d879bad95cf5fb85dc908ce2828a353a5","2018-09-20T01:15:20Z","0","0","0","0","0","0","0"
"989d8373383ee4982ea5f73f019f5f185fae85ce","2018-09-19T08:26:30Z","0","0","0","0","0","0","0"
"0c34a4205ca0ac8e4f941391096f56a80b0479d7","2018-09-19T07:08:47Z","0","0","0","0","0","0","0"
