"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"73f5cef96ecf8b57e4184bc3a255d225b03d5600","2018-09-11T16:13:31Z","4","81","4","85","1","0","0"
"a1a0155bc7b8c6b3b107e3901ee535e462aeedcd","2018-09-11T12:36:38Z","1","1","1","2","1","0","0"
"c26f6f3839ff297ba4dd124f8bee4c8c284c3cb0","2018-09-11T12:26:00Z","2","3","4","7","1","0","0"
"ee112b5429bbdf29f78efb16f044683576528c27","2018-09-11T10:59:08Z","2","2","2","4","1","0","0"
"dbb157fc287945a2485647f84303b24a220aa152","2018-09-10T16:05:15Z","1","1","1","2","1","0","0"
"eaa214bbe498c159ea79c88c2d5caa8f85e59ef3","2018-09-10T15:47:34Z","1","1","1","2","1","0","0"
"9d68079338f15b848fadc664ac39d0caa81e3f77","2018-09-10T15:23:27Z","1","1","1","2","1","0","0"
"27ace44cd358821ee6f0e840575bf999594c508c","2018-09-10T14:59:15Z","1","19","0","19","1","0","0"
"1a463dac05482e9425777b9510296d6d6af010d0","2018-06-10T13:26:51Z","0","0","0","0","0","1","0"
"603967f8a8f72f0ccfd9b45a95ce9116b37791bf","2018-01-28T22:36:14Z","20","77","1","78","1","1","0"
"f96f8477b0237022789b380f2dd237ae50a62589","2018-01-28T22:35:52Z","20","77","1","78","1","1","0"
"a01a8da12ac627e841ca1b392119e6d9c3e36a83","2017-07-28T10:32:07Z","1","2","2","4","1","0","0"
"9a79f66e49ee8024c53fdb53ac9b2fafa0b5e70e","2017-07-28T10:27:35Z","1","3","2","5","1","0","0"
"24e63077a50a3e0b52b2f4a2cbe9a331ef64761d","2017-07-28T09:55:06Z","0","0","0","0","0","1","0"
"c69420c39fff944f33950400ec649d5839c16c25","2017-07-27T20:36:57Z","1","2","4","6","1","0","0"
"3a471f0fb5b4f0f45188a2a70d139e4dbfe65441","2017-07-27T20:35:44Z","1","1","1","2","1","0","0"
"8b765c2d322882a2333128214067e84741090cb7","2017-07-27T12:17:08Z","1","3","2","5","1","0","0"
"38520e30efd5039f9f933f4389b1273208a908c2","2017-07-27T11:38:57Z","0","0","0","0","0","1","0"
"c3930a9020216d001b6cb644b00546733f0ac85b","2017-07-27T11:01:31Z","0","0","0","0","0","1","0"
