"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"6cecb78115b475141e7343dd46e179dc20ebafa3","2018-09-14T19:29:58Z","0","0","0","0","0","0","0"
"5849ff543903d5cf2476715b0eff9e11b82779a6","2018-09-14T19:13:32Z","0","0","0","0","0","0","0"
"0e078ab44d53b83b64bc97deccc81837d6cc7e1e","2018-08-13T10:30:07Z","0","0","0","0","0","0","0"
"11a1b3cae620104310e6fbc4b9eae21595be96ff","2018-08-13T04:37:02Z","0","0","0","0","0","0","0"
"27819570c4be0262990ad56ab7ae1e65f8a9a068","2018-08-09T21:41:35Z","2","12","8","20","1","0","0"
"433bf2a32db009eaf542120018b0a893889dc36c","2018-08-09T21:41:18Z","1","6","3","9","1","0","0"
"e42c76dc7438b0bb3ff06db882b393f58036ffed","2018-08-07T16:04:31Z","2","6","5","11","1","0","0"
"da7b61a2f191c0c22a10071271b8bac05be13789","2018-08-03T12:19:47Z","0","0","0","0","0","0","0"
"25e0a20a3ab2b5a6abe944e266cc9d37f6a7194c","2018-08-03T07:53:39Z","0","0","0","0","0","0","0"
"38f8a1d9c87b1d85898913deb7c16914a32212ce","2018-07-11T18:43:35Z","0","0","0","0","0","0","0"
"8e21d8453c8cb0d3d3e52cc6d375928a0db03409","2018-07-11T17:15:50Z","0","0","0","0","0","0","0"
"17e0d51ed4057c54ce73ed67ee9e785513994894","2018-07-03T16:17:18Z","0","0","0","0","0","0","0"
"5296da876d17f4821acbd467e50d7a2e1a544a92","2018-06-27T16:58:12Z","0","0","0","0","0","0","0"
"4077b056cd840b8348590a1260764c9d1b3467a8","2018-06-27T01:02:27Z","0","0","0","0","0","0","0"
"949d94ba475bc98736313632ac954461f2b05e36","2018-06-11T23:16:39Z","0","0","0","0","0","1","0"
"3b888bf1f5999e4747d84d9fbbf4b62cc8325934","2018-06-11T23:15:45Z","0","0","0","0","0","1","0"
"98ec14b3778a16147202b798a871e3225769aed6","2018-06-11T23:15:36Z","0","0","0","0","0","0","0"
"3a5035cc652fff85ce7fa9c35d89fdc2abd88b64","2018-06-11T23:14:54Z","0","0","0","0","0","0","0"
"bc29e794306c6ef69e4835254039e7e337f8d924","2018-06-11T23:14:36Z","0","0","0","0","0","0","0"
"b1cb94455058eea1ae6f521ea6369fa42194a656","2018-06-11T22:52:44Z","0","0","0","0","0","1","0"
"6a815b74a845f5cff1da822d9b41ed10da8bfefb","2018-06-10T17:27:29Z","0","0","0","0","0","0","0"
"466b3216ec7bd6a97f79ab672ba6a6314226f038","2018-06-09T17:27:44Z","0","0","0","0","0","0","0"
"a109c0d4497a2ca580dcebd59a94c84e86791fa4","2018-06-09T17:27:29Z","0","0","0","0","0","1","0"
"6ecc26fdf25cbf8514b276866dbc61656fa9c294","2018-06-09T03:03:04Z","0","0","0","0","0","0","0"
"e754ba6e777e77d0574a5877ea7974791cc75774","2018-06-09T02:54:38Z","0","0","0","0","0","0","0"
"56c4b008b98a241e14c231d5a7d66f4f4a9d0e54","2018-06-08T09:54:12Z","0","0","0","0","0","1","0"
"5f422169abeca137ecb5f22ef3d0be6c28a46031","2018-06-01T14:47:08Z","14","645","0","645","1","1","0"
"d42af4eea536eaf85187a5640239d379056b5b5c","2018-05-31T09:22:41Z","4","4","6","10","1","0","0"
"1e8cf3e2f9a011babebeba2a79bcdc3bb4e4f86e","2018-05-31T06:22:06Z","14","647","0","647","1","1","0"
"e873ea111b09be39c82171a217021956e751797e","2018-05-28T20:46:50Z","0","0","0","0","0","0","0"
"45d10d8205a919aa6e7f2c96aa37553a44eff2cc","2018-05-28T20:36:48Z","0","0","0","0","0","0","0"
"0ea96992d9470aaebe3a189a056d54d0799a729d","2018-05-28T20:31:12Z","0","0","0","0","0","0","0"
"ea4dd6a7edfc4b5ba98cc87d628279fa51525e35","2018-03-31T20:54:55Z","0","0","0","0","0","0","0"
"a41daa6bfe12f54e2dbef9e6db023b61268dfeb4","2018-03-31T20:42:12Z","0","0","0","0","0","0","0"
"7b3d620d6c98253987c8d87e9424e1dc5f0fa2db","2018-03-10T17:09:01Z","1","1","1","2","1","0","0"
"707019963a4a642db58cbe6deacc97caf9093b36","2018-03-10T12:28:58Z","1","1","1","2","1","0","0"
"5b33adc2f59c8debff3d5e06f06ebfa256416668","2018-02-20T06:24:08Z","0","0","0","0","0","0","0"
"1f9dbc5a1b6d173cb94ee835940c9954367e6a35","2018-02-19T21:01:24Z","0","0","0","0","0","0","0"
"d2417069769cf76c881cab1efb1fa1ea6d8e49e3","2018-02-19T20:08:22Z","0","0","0","0","0","0","0"
"30f0e187d7540ec2ae10057571cf0988012bb3a3","2018-02-19T20:08:22Z","0","0","0","0","0","0","0"
"175d37c95115b531aaa552f964743abec696538c","2018-02-19T20:08:22Z","0","0","0","0","0","0","0"
"6c2539d737d8220e5cbb6c9f3c3db55044947c01","2018-02-19T20:08:22Z","0","0","0","0","0","0","0"
"7a4de0393f0edbc726035cd3c007ecabf2a7c4d6","2018-02-19T20:08:22Z","0","0","0","0","0","0","0"
"a2da52fbdbe502acf570ed62087d7eba0f29be61","2018-01-23T05:32:36Z","0","0","0","0","0","0","0"
"13652ae13eeb42bd19e977b92701bc849bada069","2018-01-23T04:23:45Z","0","0","0","0","0","0","0"
"e713516cced269596c673627a9e99eb06bc3464c","2018-01-16T19:39:31Z","14","14","0","14","1","1","0"
"0154b90d1ecda84d5e292707e36d2f1d4335c73a","2018-01-16T11:32:39Z","0","0","0","0","0","0","0"
"2551cb07fc7f4e47b2fbbb6701a4869bde68e47f","2018-01-16T05:18:45Z","0","0","0","0","0","0","0"
"30a7ee98d24a53fc4645d864e2ace1fca2a44a0c","2017-10-16T14:21:33Z","14","14","0","14","1","1","0"
"88ea6c1c6f9f4fa3c33610f2958c06a873ec7b43","2017-10-10T15:08:49Z","0","0","0","0","0","0","0"
"476cead769c77d0c1eaf3cd21929cec2d54bbcc8","2017-10-10T15:05:01Z","0","0","0","0","0","0","0"
"6940f6f40456b625271aa83c84241dafda7da5c8","2017-09-17T19:24:07Z","0","0","0","0","0","0","0"
"7e457af04b708a4061d6964ffc2b3af4c298897c","2017-09-15T23:28:34Z","0","0","0","0","0","0","0"
"c718cada1d1e289ccf7c9da72ad4fc40b9f5cf2d","2017-09-15T19:24:08Z","0","0","0","0","0","0","0"
"acf6cd1d0af1c4f848b033af7220e5a2c7a8ad64","2017-09-15T18:55:19Z","0","0","0","0","0","0","0"
"d65ca3beb1b2c187f7f40d72b474dc7bac91e91c","2017-09-15T18:14:35Z","0","0","0","0","0","0","0"
"bfc62e1d9f7aff92944da3fe18a3010fddcf56c6","2017-09-13T21:02:56Z","1","14","8","22","1","0","0"
"b705c87c3fff5a27c8dd7619fb1fe5e6bb9bfdb2","2017-09-13T20:53:04Z","1","1","1","2","1","0","0"
"70f8296267217565388a83ec1cf992e95498de31","2017-09-13T20:46:42Z","1","13","7","20","1","0","0"
"12028bd8fd85cd7b2d0f962cb07a1503202d3306","2017-08-16T10:44:05Z","0","0","0","0","0","0","0"
"49a1651835aa5085680c7dc1a52038d221bef73a","2017-08-16T10:43:06Z","0","0","0","0","0","0","0"
"176eb0f0d7065eaea819bf565aec3849b2e6aa83","2017-08-16T10:41:27Z","0","0","0","0","0","0","0"
"0a547038989841d948e9907b1a7f9328c1eb09f6","2017-08-16T10:41:04Z","0","0","0","0","0","0","0"
"a1cf3575024d27db991e145782246cc3549836d0","2017-08-16T10:33:59Z","0","0","0","0","0","0","0"
"d06dd5da3d137cff3f4c7ad09a0aaafcb473a5ba","2017-08-16T09:21:40Z","0","0","0","0","0","0","0"
"e5222470ca1737c3de0ba8af6e02bc1b505dfc16","2017-08-07T20:57:20Z","0","0","0","0","0","0","0"
"61f51e4713e30a124b2b83b2d73a5c5240d1574a","2017-08-03T23:05:40Z","0","0","0","0","0","0","0"
"b894c8a1ebbcdf87d3414cf8f27643a0410a238a","2017-08-03T23:05:05Z","0","0","0","0","0","0","0"
"8cd05f2af5432df9f9511a76c54318232682fd8c","2017-07-24T16:18:05Z","0","0","0","0","0","0","0"
"4d1bfbc3eae9f88122a21e2ad8fd7931ebe4f905","2017-07-24T16:00:03Z","0","0","0","0","0","0","0"
"6af7fbc100590dec1ed294c9a1d241acaf4c5ced","2017-07-24T15:22:03Z","0","0","0","0","0","0","0"
"89ea69ac1b715ff4ab9bb7f087832559d63d145d","2017-06-05T17:19:35Z","0","0","0","0","0","0","0"
"cfe6112fbf3f3aa838df2b9151f0c62fdfe9d856","2017-06-05T17:15:10Z","0","0","0","0","0","0","0"
"bc6d644dfcb4037b2805c94f9fe4218ccc32e9ea","2017-05-29T22:11:21Z","0","0","0","0","0","0","0"
"14a5e22b994d09748d53743a628e6bc454c7785f","2017-05-01T13:57:44Z","0","0","0","0","0","0","0"
"3f469622a3e9da378def4a6db6cc9c129b413228","2017-05-01T12:29:05Z","0","0","0","0","0","0","0"
"42188bcb29bcefd9cb8e661948c41f74bcf1109d","2017-05-01T12:27:53Z","0","0","0","0","0","0","0"
"917a6af3e01a252bda45d552ac26acc6e04487ff","2017-04-27T16:48:34Z","0","0","0","0","0","0","0"
"d955055a3185656b1d912f678da4ea46563e0988","2017-04-27T16:48:13Z","0","0","0","0","0","0","0"
"50b68f7263fa1e5aa71dee862357d625d64b48ac","2017-04-27T15:21:07Z","0","0","0","0","0","0","0"
"2e6ccdba965f2f1c9c2f35ce552f4e84afe9690b","2017-04-27T15:17:09Z","0","0","0","0","0","0","0"
"29fd958571c215cf9682f99ea8f4372f4c6cd22f","2017-04-25T21:27:54Z","0","0","0","0","0","0","0"
"b324cac960bb981860307062ccc5528ecaff91a6","2017-04-25T21:27:24Z","0","0","0","0","0","0","0"
"7301b51659ae10f50d4df5c6122db1c3b9ea6769","2017-04-25T21:25:39Z","0","0","0","0","0","1","0"
"c6d12d1089ba1c3e3808a2c3b5d9acb4c902fe5c","2017-04-25T21:15:24Z","0","0","0","0","0","0","0"
"c697430d2e81f4df322f01bac2f84e62486a6a2e","2017-04-25T21:01:10Z","0","0","0","0","0","1","0"
"6e4f6ebdd4b712b17da820d000856a0c2d36ec4c","2017-04-24T19:27:35Z","2","4","4","8","1","0","0"
"8a65d436c5e2468073600892e847963cf2582476","2017-04-24T18:23:40Z","2","4","4","8","1","0","0"
"36a6798f5aad901a2ecf064e48805ed6cdf97e97","2017-04-17T21:42:35Z","20","1132","0","1132","1","1","0"
"8cb260496fb6ea72ab6a42be805552889ab216c5","2017-04-17T21:41:48Z","0","0","0","0","0","0","0"
"6d3ba1518a8cba2f56d1b5e2ac2b45c2b7260850","2017-04-17T21:26:16Z","20","1132","0","1132","1","1","0"
"79f6b14d579419e4ce4814b0d8a61c472c554f79","2017-04-13T01:02:32Z","3","18","4","22","1","0","0"
