"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9464664fb98011e0d1cf976ce22951fe08963469","2018-07-20T07:37:57Z","0","0","0","0","0","0","0"
"c1cfd2ef0c501c26e655904d42aac129f3720c70","2018-07-19T19:58:34Z","0","0","0","0","0","0","0"
"03b3d2dc2a7b503568df0ff511398d374792e6a2","2018-07-19T19:58:34Z","0","0","0","0","0","0","0"
"43fd6d18d45484575facf42b82f5e6bffe35a486","2018-06-01T11:13:41Z","1","26","26","52","1","0","0"
"fc8a2f434aeed373a57fe696cf4be8c361a6509c","2018-06-01T11:13:41Z","1","79","83","162","1","0","0"
"138c473f79cc0abe11949af31f6d6d04ff3b8ec9","2018-05-18T10:43:09Z","5","0","0","0","1","1","0"
"582fdae4d347d7e07815fb79e2171dd51c37d383","2018-03-20T13:53:06Z","1","3","1","4","1","0","0"
"0a47f63a02a07e307aa4e0f7edfc3e6a5cbb41e2","2018-01-31T12:51:49Z","1","1","1","2","1","0","0"
"eada0b7771f1081dd01fe3555b977ccae0def9bb","2018-01-31T12:51:49Z","1","1","1","2","1","0","0"
"d47df4e9f90e3af975a512d976c66aa2a5ddc12e","2018-01-31T12:51:49Z","1","2","0","2","1","0","0"
"dc409bf84ae13a95f3ae34a88213b26cd0c768c1","2018-01-31T12:51:49Z","1","3","6","9","1","0","0"
"ae707a0f16d94ff6c2fc148a4a0ffce044fe766c","2018-01-31T12:51:49Z","1","15","11","26","1","0","0"
"3c82229923eaf7c487df9de458a990402f9f178b","2018-01-31T12:51:49Z","3","51","2","53","1","0","0"
"8d68455475c1822937bc0518d0cd94cc6a5f33b3","2017-12-18T21:07:14Z","0","0","0","0","0","1","0"
"a894aacf6612323af504d91b482fecb5ccea680a","2017-12-07T17:14:36Z","0","0","0","0","0","1","0"
"79b938cd779fc2f6e1fdde488b80d41f3faa336e","2017-12-07T16:52:15Z","2","2","2","4","1","0","0"
"c3a00a9aa95d0ddc6721460fbafa51935d9a63bd","2017-12-07T16:52:15Z","2","2","2","4","1","0","0"
"872a7ea998bc5102a1658ccb1fd70158a4eab2d2","2017-12-07T16:52:15Z","1","15","0","15","1","0","0"
"d22d5b437c12971583ed1532412a9c442ee4c0cd","2017-12-07T16:52:15Z","2","345","28","373","1","0","0"
"f403f4ef50b3d38f7200b9f76e916afc97247a39","2017-12-05T09:06:47Z","0","0","0","0","0","0","0"
"42b0a703a385a3045036c06de7429cd5c44eca15","2017-12-05T07:26:00Z","2","186","0","186","1","0","0"
"ebb3752920ee4cf94fb1ef395f5259b69a430cc1","2017-12-01T20:24:39Z","0","0","0","0","0","1","1"
"43da5a9e8045ab044b61d16500e839c017e83544","2017-11-30T15:43:48Z","1","2","2","4","1","0","0"
"ead85b173f04d28d554921fc10ac694a9978d9ab","2017-11-30T15:43:48Z","1","3","3","6","1","0","0"
"5a998cc9588648cb09a67020bd4aa1df35bf48ba","2017-11-30T15:43:48Z","2","35","3","38","1","0","0"
"521972b493d4ad7142fc775df78fab3cbe3b7028","2017-11-30T15:43:48Z","1","5","12","17","1","0","0"
"ee076efda27d73031fcd04cae049944b3a9ae9a5","2017-11-30T15:43:48Z","1","41","4","45","1","0","0"
"33774b740830add37da271718774e588273968f1","2017-11-30T15:43:48Z","2","393","16","409","1","0","0"
"9f2c879d2317ca79c686f675c784b2a442213c2c","2017-11-30T15:40:52Z","1","3","1","4","1","0","0"
"b14b00a7cc63916de11f2157bc5d2de0bb5956b6","2017-11-30T15:40:52Z","1","20","15","35","1","0","0"
"41efae45f429a1493704e184f69b99750b075fb6","2017-11-30T15:40:52Z","1","53","0","53","1","0","0"
"756d6d5ea84b3c9b5a531188085810862d5fa0da","2017-11-23T13:18:40Z","0","0","0","0","0","1","0"
"c7e2dbdb3de6378a16284a6355bbfc6e42ddcd70","2017-11-23T13:18:40Z","0","0","0","0","0","1","0"
"f3f9da47174583ca4b15f108c8e733ddcb4f860e","2017-11-23T13:18:40Z","0","0","0","0","0","1","0"
"5c4ad5c9c20d6fddba2c3a8b44bee04d160dd7ad","2017-11-23T13:18:40Z","0","0","0","0","0","1","0"
"0e5cbeb75e278acb0b1bec02ec0bf6450635d801","2017-11-23T13:18:40Z","0","0","0","0","0","1","0"
"959676bf55ca6aaf1a234bb17d4bdaf7c141bb78","2017-11-16T14:39:10Z","0","0","0","0","0","0","0"
"410ab1bb2c8b43ad22af4d34dfc17f4732bd073c","2017-11-16T14:38:17Z","0","0","0","0","0","0","0"
"a4abf38cab63f3c73aa9e5ccbc0f2f3e3b9d87cb","2017-11-08T08:39:33Z","10","29","29","58","1","1","0"
"c24b47644c3de193c57298bb1d7ed9d07491b01a","2017-11-05T08:52:52Z","0","0","0","0","0","0","0"
"d0807a0ee8844eecbb3d30209b13a82a41abe6b7","2017-10-31T10:35:37Z","39","1007","130","1137","1","1","1"
"7021f18acc636b4080b0f5e17b3e00019ca8bd46","2017-10-30T21:12:00Z","2","274","0","274","1","0","0"
"68e07136e43a022205f028d6a8f3686c861a0a54","2017-10-14T16:29:27Z","2","92","1","93","1","0","0"
"306ae9213525577cf65e3d20b7e3d1ad875479aa","2017-09-30T08:48:52Z","5","1060","0","1060","1","1","0"
"dd24d2ab164d7de6c316f6d15546f957bec29eaa","2017-08-09T09:10:06Z","0","0","0","0","0","1","0"
"80644ec744efb5f21d1935be30f16247ffcbbf49","2017-08-06T20:06:07Z","0","0","0","0","0","0","0"
"d8dff1b1b8e15f0210e1cd861dec8b870dc0bdbe","2017-07-11T10:06:04Z","0","0","0","0","0","1","0"
"61b52f175d66d11a968ce2e6d1fa425978d9f29f","2017-07-11T08:33:26Z","0","0","0","0","0","1","0"
"1a42607f418014975d0c31e83a76f4845b289d0a","2017-07-11T08:03:25Z","0","0","0","0","0","0","0"
"797f012acf1aa9d35a228b8268500c0fd7788d8e","2017-07-11T08:02:55Z","5","84","7","91","1","0","0"
"f8d203d35cb8648e4edfb6a0da2aa7a8392998a2","2017-07-05T02:42:13Z","5","84","7","91","1","0","0"
"96d117bc2d44e18429608c13e6f57f8bb9336b28","2017-07-04T17:20:29Z","0","0","0","0","0","0","0"
"58534120f6f3f26d2f4b1bdeae4bb10d15c8281a","2017-07-04T16:57:02Z","0","0","0","0","0","0","0"
"11469fae079f4fb20950d5da13d09c882ba3715d","2017-06-29T09:21:21Z","0","0","0","0","0","1","0"
"ec44e03b6edbf17ac24f035f7c92769e80ba44db","2017-06-29T09:13:48Z","0","0","0","0","0","1","0"
"05556ec185610fc60873313a1be908f1e5c71e14","2017-06-27T08:28:54Z","0","0","0","0","0","0","0"
"d16bee50698d6f227b1e710161f00f36048d5f98","2017-06-27T05:05:53Z","0","0","0","0","0","0","0"
"e5a866c9aa28ac32fdacf931cb6fb7093529363a","2017-06-22T13:46:30Z","0","0","0","0","0","0","0"
"8ceed19d7f93aba56ceff203901331059fdff0c9","2017-06-22T13:39:11Z","0","0","0","0","0","0","0"
"12ab7f6c7e965872392952b07677246cf9dbf12e","2017-06-22T13:12:59Z","0","0","0","0","0","0","0"
"c48b6b7f7acf99f5a61239c6d39e5c651c40234b","2017-06-17T08:54:32Z","0","0","0","0","0","0","0"
"86dff0a6ef95f03e5d8600b7e2a4dd6308f5c4e2","2017-06-17T06:30:09Z","0","0","0","0","0","0","0"
