"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1b33e695a1b6a3097cf1cad67a45fcd9229bab3b","2018-09-18T18:31:50Z","1","1","1","2","1","0","0"
"6c75a28430e1d0f637fe902db707ed4c29b77658","2018-09-13T13:57:09Z","0","0","0","0","0","0","0"
"bbb40a08d4b659a841a61c28619cf6063c536cc5","2018-09-13T13:54:36Z","1","1","0","1","1","1","0"
"b78af12fa3556a8adf18a334aa0f80b3c5d6442e","2018-09-09T11:05:01Z","0","0","0","0","0","0","0"
"9e64f1a346b346c97168bd0610556a1cf091f7b6","2018-09-09T11:02:00Z","4","356","0","356","1","1","0"
"b33971871de0983567dbcc34194ceb572dbeddd8","2018-09-02T15:32:14Z","1","11","3","14","1","0","0"
"779328d7b69ec356bd5ce56cddc1dd7df1551624","2018-08-17T11:21:01Z","0","0","0","0","0","0","0"
"9a30dc15858e01e33d9830b9cbc5eae05660e179","2018-08-17T11:01:29Z","1","5","5","10","1","1","0"
"b067d43e25f0fcf5fc88450a50283ff08f068e84","2018-08-17T11:01:20Z","1","5","5","10","1","1","0"
"b72ab91774610759142c4da3415e4c42f62ca40c","2018-08-17T10:56:46Z","0","0","0","0","0","0","0"
"9b179030350a45151a0d617e4349e3a22d6aa31b","2018-08-16T14:19:00Z","4","85","6","91","1","0","0"
"a2e28252a9631e15c7e7e8eb537ee754ffc21e03","2018-07-23T18:26:05Z","1","1","2","3","1","0","0"
"08029cc6f04ccce9f3d8417fef805eb8d8784c6b","2018-07-23T18:20:48Z","0","0","0","0","0","0","0"
"b540328571f34d75e8871667bd1db1c8dec36eb2","2018-07-23T18:18:51Z","3","14","1","15","1","0","0"
"eb69504392468f5aa527374c5e31cd236482eeb7","2018-07-05T13:30:28Z","0","0","0","0","0","0","0"
"c0e7b7a1821746895478b5945a79cd7a6943cbb3","2018-07-05T13:29:43Z","0","0","0","0","0","0","0"
"5f725f88a1ff9829a28e2ecddcbaca2c603568fd","2018-07-05T13:28:03Z","1","2","1","3","1","0","0"
"c5dcd189e43191a1dfcb52c7d4410829bce2d1a9","2018-05-21T06:19:25Z","0","0","0","0","0","0","0"
"d4cbe5ddaedf5d743af1ca36950848a0952ec4f6","2018-05-21T06:18:47Z","2","30","3","33","1","0","0"
"be29f7a7f3296db4380b947e7452cc0f0a5097ee","2018-05-21T06:18:14Z","0","0","0","0","0","0","0"
"88f999ac17d778528f12d325972b2e7470d7f326","2018-05-21T06:16:52Z","1","7","11","18","1","0","0"
"130247ee509321e45daf55ca6b0d5571f51afc16","2018-05-21T06:16:06Z","3","339","2","341","1","1","0"
"885bbe4131196b88b283fd3889f2f9cf00c03910","2018-05-18T07:51:49Z","0","0","0","0","0","0","0"
"7f4055c2a89e3cc8b2899500ada814c42311fc91","2018-05-18T07:51:06Z","2","5","7","12","1","0","0"
"af5d75d70cbb4fadd6083c15a3700261037793ed","2018-05-18T07:48:10Z","2","27","19","46","1","0","0"
"7ddc031840198606f0704043a9de57d8866945cd","2018-05-11T10:50:26Z","0","0","0","0","0","0","0"
"ac6589f4fcb33b6059576508a4b7057cbaa7dc4b","2018-05-11T10:47:12Z","2","35","2","37","1","0","0"
"112dc8114af6a9a92aa3ba035d1cd0d0a03cd746","2018-04-20T10:09:40Z","0","0","0","0","0","0","0"
"de255715fbefdc3f3eabcf45f68752de4d86946d","2018-04-20T09:42:59Z","0","0","0","0","0","0","0"
"bae701acb8c718c63204398fb76b1cf6e5e7fe21","2018-04-20T09:08:38Z","1","5","5","10","1","1","0"
"8c474247927402702360e495bf3114085e581ec0","2018-04-20T09:08:29Z","1","5","5","10","1","1","0"
"4470b915d2a24d8b51f1c5e2be2fcc634da0ea28","2018-04-20T09:04:33Z","0","0","0","0","0","0","0"
"40b6f7d012c80fb4da6de55686f09cec7130d275","2018-04-20T08:54:01Z","0","0","0","0","0","0","0"
"daddd8cbc4dae62e3802496eff931de2e32500e5","2018-04-20T08:50:59Z","2","120","10","130","1","0","0"
"f0db43fbefcff5ca2c055c4dbfce65211697e231","2018-04-19T14:47:30Z","1","12","0","12","1","0","0"
"889f1269077a20e8e11f80f33959277d5d8e42be","2018-04-13T06:34:32Z","4","299","207","506","1","0","0"
"9d0192d95edfd455d776dcabfefebeddef58909b","2018-04-11T06:21:22Z","0","0","0","0","0","0","0"
"33bef6418af2bbe978bc953322da6db0a7830f7a","2018-04-11T06:19:39Z","1","3","2","5","1","0","0"
"3c04e886854e03353fc39392fb04053be5f0937e","2018-04-04T18:28:04Z","1","1","1","2","1","0","0"
"5bfe712738a90cf37d0aa808ef2a068ce4158ac7","2018-04-02T18:17:53Z","0","0","0","0","0","0","0"
"15ef92097cfa8547e4eae67d493dd173ea7ef935","2018-04-02T18:07:40Z","0","0","0","0","0","0","0"
"185f7c328873be7ef7c1afacb758031e495bd586","2018-03-23T07:14:36Z","1","3","2","5","1","0","0"
"315d610697404209538aeb2e0f09a21ee9726006","2018-03-02T13:36:39Z","0","0","0","0","0","0","0"
"767c6d3dcfe9e8162a81f88d376e34b5d200c844","2018-02-14T15:28:15Z","0","0","0","0","0","0","0"
"8873eb4c5e8d7dc42e8b59b90d11d1fb4def7247","2018-02-14T15:25:07Z","2","22","15","37","1","0","0"
"4880094bce9459b7f5417d9ab9022fb0e477d9f2","2018-02-14T07:37:15Z","0","0","0","0","0","0","0"
"af86ab7ce0a537338ea628356d308155b40b83cb","2018-02-14T07:25:22Z","11","160","8","168","1","0","0"
"eb2279087abcd17cc55ec73da628266dbf798887","2018-02-12T09:21:01Z","0","0","0","0","0","0","0"
"222f6bdbd878ab1a146733191530a334c5df6f8c","2018-02-12T09:17:21Z","2","12","11","23","1","0","0"
"5ed9be531a4328740286fd192da8de27eaa42bf4","2018-02-09T10:28:16Z","0","0","0","0","0","0","0"
"72cf4223b2e8ec2c954610bd8d98f5ddb3be6145","2018-02-09T09:54:13Z","1","5","5","10","1","1","0"
"a2f8fdcd73b0dc69f77bc3a73e5792a425e86b6b","2018-02-09T09:54:04Z","1","5","5","10","1","1","0"
"0a72142ef3e2f859fd7db85026985fa390a8876e","2018-02-09T09:50:41Z","0","0","0","0","0","0","0"
"0006a8ee9887a5d6c9d58ec67e09fd31f3eb03fc","2018-02-09T07:01:08Z","0","0","0","0","0","0","0"
"10d30038858e026bdbe686221b2d064e9cf84286","2018-02-08T07:30:44Z","0","0","0","0","0","0","0"
"4b6135ce2c4cbba05c70073de294c400203e5089","2018-02-08T07:26:41Z","6","262","1","263","1","0","0"
"13202bd333d5f3748ea7ae2f607fde5e65782297","2018-01-20T07:39:15Z","1","1","2","3","1","0","0"
"d05cd9e05d567dcb38921c726787ad7c64be3197","2018-01-04T14:37:12Z","1","17","0","17","1","0","0"
"fcb9360a338bae3bfc05789ba22a6e73f6e61c27","2017-12-30T08:09:48Z","0","0","0","0","0","0","0"
"96495d20ac7b8c0a5910017aed3474defbb7835d","2017-12-29T17:49:54Z","3","166","117","283","1","0","0"
"284b2eca877f04ee07426d4187b261d351223a22","2017-11-23T06:13:44Z","0","0","0","0","0","0","0"
"445c90bb2eefec704f00b825ca1c8245879fce43","2017-11-23T06:10:14Z","0","0","0","0","0","0","0"
"c67a7c3eed1099a2e963f49c4b23d0be541a79b0","2017-11-23T05:34:33Z","1","5","5","10","1","1","0"
"b4ede26b6d615f110d454727a58a87fe6d77499d","2017-11-23T05:34:26Z","1","5","5","10","1","1","0"
"826e60ca9498fb43a49bf0eb37a515d58854a678","2017-11-21T17:46:04Z","0","0","0","0","0","1","0"
"93fd9a903d202e630b655452080efefd2d06817f","2017-11-18T11:06:39Z","1","83","2","85","1","1","0"
