"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"eb441ed140a124a9f152f82ad05993d502848d9a","2018-09-30T00:43:06Z","8","121","2","123","1","0","0"
"0de0ada80fe2cf74db9d22a3b4b83c23f73827da","2018-09-28T14:43:55Z","8","121","2","123","1","0","0"
"5bcf32637e0644aaa59c82ad989df2be5ef00e71","2018-09-25T07:28:59Z","10","197","19","216","1","0","0"
"8cd0be328e1ae2aa1446166776cc2e3c7e54a098","2018-09-25T07:20:35Z","4","66","2","68","1","0","0"
"61dc1be80098699482afb1f553f8c63134ccb18f","2018-09-24T14:11:36Z","1","1","1","2","1","0","0"
"8f1497dc2336bdea819ee8bacd6a587b9f3b047e","2018-09-24T03:02:05Z","1","1","1","2","1","0","0"
"fa57873925419fdf28b6b19f7cede2b4fbfdb155","2018-09-24T01:09:44Z","8","412","9","421","1","0","0"
"ec0b35de98d43f004347675bf91139e48f562c17","2018-09-22T23:32:00Z","4","24","18","42","1","0","0"
"f939189f3b825beb66a499686b9f6ca0f3a70cc1","2018-09-22T19:06:39Z","4","24","18","42","1","0","0"
"a8e37897b3326e7748622a5867e775003bb6e15e","2018-09-22T18:40:47Z","7","268","10","278","1","0","0"
"6cd571919f7a2a6e8f138bdd593e7ab3d174bb21","2018-09-22T05:00:51Z","8","412","9","421","1","0","0"
"2b70ceb62aedf8a16d7db500b02e9498dc198835","2018-09-22T00:26:41Z","7","268","10","278","1","0","0"
"9a1b08e4fbb5cc56dd6e3f93ef4d99e386fa8064","2018-09-22T00:15:41Z","5","8","9","17","1","0","0"
"00e82dfbe19fd1a9b725b134b70dafe6a0bde8f4","2018-09-19T13:11:43Z","1","3","2","5","1","0","0"
"d2ecbdf17253f4ed2db9c92981b66932040a49fb","2018-09-19T07:29:38Z","1","3","2","5","1","0","0"
"b26cabc059e10c069724f5b30c5c9e123e18ebf0","2018-09-19T02:45:47Z","5","8","9","17","1","0","0"
"54197a178440d4e14c85be43cf1afc1139f1813d","2018-09-12T01:06:06Z","2","57","0","57","1","1","0"
"35381b1c1e90c906c032f872c729c594720391be","2018-09-11T23:24:56Z","2","57","0","57","1","1","0"
"c307a8be8af71e08880a1b8baec97ba490c2c89b","2018-09-11T02:17:36Z","1","34","23","57","1","0","0"
"c3633423b4a52566446bc6d540904f1f5f715205","2018-09-06T14:33:22Z","1","34","23","57","1","0","0"
"b9e8f5cee8fe8377839e54a61421b6d53e77173b","2018-09-06T02:20:08Z","2","57","65","122","1","0","0"
"7e31520f844b5c8eedc3b8fe82e2e48c79e47a5a","2018-09-02T22:38:44Z","2","57","65","122","1","0","0"
"d46f270bb16f923e7130cf2504872227d4c9b37c","2018-08-25T00:43:12Z","0","0","0","0","0","0","0"
"aa4b6aca1d5b2ddf51b13acc9708475af095f1b3","2018-08-24T22:33:28Z","0","0","0","0","0","0","0"
"ae28c3d5f6fe54f6ca409cdf82106efb47609f8f","2018-08-19T00:37:24Z","2","75","0","75","1","1","0"
"7cbfa055d7f69317bfd33e5a5b206e60cfff3347","2018-08-18T04:40:22Z","2","75","0","75","1","1","0"
"5e957e41458a1f3e3450446db892c54732eaba6d","2018-08-12T02:03:59Z","2","86","3","89","1","0","0"
"23994c3288ccf7c2dcca3643dd2ec20ce2feea61","2018-08-10T01:16:46Z","2","86","3","89","1","0","0"
"4a048cc03f5a851b64d9726098df49b5fa4130c6","2018-07-28T21:19:28Z","1","8","0","8","1","0","0"
"c1b100f3c4e84711fa23bdfed03cb78c4d8a8f19","2018-07-14T05:09:51Z","20","46","49","95","1","1","0"
"ce71d0527610689ea096c6f30f9ef6eac8266b1d","2018-07-13T15:23:04Z","20","46","49","95","1","1","0"
"a22b41eb766100a08cc091c3bdb082fe0c2f59de","2018-07-06T03:10:09Z","1","8","0","8","1","0","0"
"f83564aa114792fb5367e6d31c54cd50ba71218a","2018-07-04T20:31:05Z","4","4","4","8","1","0","0"
"b1aea7ea10546cf4d6967a4d20a4b0f2d1d1621d","2018-07-04T19:05:01Z","0","0","0","0","0","0","0"
"4112f1efeb42acb19799e1da45b53f24976ea55f","2018-07-04T19:04:34Z","0","0","0","0","0","0","0"
"6a86552fedf7f5e74832fd275cb8fdc4e000fb76","2018-07-04T19:04:05Z","1","1","1","2","1","0","0"
"1bb3c5faad823282d9dc1f46bdb0977be9589afe","2018-07-04T19:03:19Z","0","0","0","0","0","0","0"
"778a67e3c27226aecf5292ba4c3785a5d3c53067","2018-07-04T19:02:52Z","0","0","0","0","0","0","0"
"c5e2a39afb50b8ef61fac64802cba88fca7eb9d8","2018-07-04T19:02:21Z","1","1","1","2","1","0","0"
"99c698a737a4bc0773b70f20ce147eb4c5cf3910","2018-07-04T19:01:54Z","1","1","1","2","1","0","0"
"1a8a88bd27de027748c5f2b214790f684921b08b","2018-07-04T19:01:19Z","0","0","0","0","0","0","0"
"7d0fdac17316e190a0870a618100dd6f6137bcff","2018-07-04T19:00:56Z","1","1","1","2","1","0","0"
"47df5770c07934ac623c057c41002094ac697ea9","2018-07-04T19:00:22Z","0","0","0","0","0","0","0"
"0fd16a0ccab9cbd291f52eda11e778636ed827f9","2018-07-04T18:59:44Z","0","0","0","0","0","0","0"
"336b607c94e44ad5e28d45e825c788fd8a206c72","2018-07-04T18:58:42Z","0","0","0","0","0","0","0"
