"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"553888ce74f26a3192e474efcf97ece5be071f5b","2018-10-01T22:50:53Z","1","1","0","1","1","0","0"
"bb76ba5bfe8afdae9e071e6064e86debe2187e08","2018-10-01T22:07:27Z","0","0","0","0","0","0","0"
"ba7378673b69bfb3110274b88104254ab23ce80a","2018-10-01T21:58:45Z","1","1","0","1","1","0","0"
"d20a9730b233ca5b90c4c1d916c4b3d262ff077c","2018-10-01T21:47:09Z","1","13","3","16","1","0","0"
"376b0972329545569c4692abb6cfd965d8644946","2018-10-01T21:23:45Z","2","65","5","70","1","0","0"
"bfc2bcfc67dfc927349f881c0fd3a074ef195cda","2018-10-01T21:09:24Z","1","2","3","5","1","0","0"
"14c24d791b43469ba49d92ae2dfec6a4e6b06349","2018-10-01T21:00:21Z","0","0","0","0","0","0","0"
"5af348e6e679af60e8b430dd43dca3e5c0cb2163","2018-10-01T20:25:29Z","2","11","2","13","1","0","0"
"5767ec1187d11e0803964a1bb1fce0b272478f34","2018-10-01T20:17:21Z","1","1","13","14","1","0","0"
"00293ae7de6c896ca0a2fc93218cfa841c5f42e3","2018-10-01T19:34:53Z","1","1","13","14","1","0","0"
"d047286f488c5ac723b770f2b268c936b5e086c4","2018-10-01T18:37:22Z","1","2","3","5","1","0","0"
"ebc200ca99372d960882128c38d00a92ff84042c","2018-09-27T21:55:36Z","1","28","7","35","1","0","0"
"36329b66da3da0a98beb445060f9a98cc3c13a9f","2018-09-27T21:22:01Z","0","0","0","0","0","0","0"
"7a7d8ca47c90dcccd3465fa01b43315bab24e1bd","2018-09-26T23:21:02Z","1","1","1","2","1","0","0"
"9acb84ef207818ba473f5f283143dcc6b845e739","2018-09-26T22:34:29Z","0","0","0","0","0","0","0"
"75a3891d744f48a6cba5b228da6d99331163b0d9","2018-09-26T21:42:19Z","0","0","0","0","0","0","0"
"bda162af52aa473bb94364103e747b33f9d7439d","2018-09-26T21:20:49Z","0","0","0","0","0","0","0"
"972df691eb998a385373202281e591f8068c4b0d","2018-09-26T21:19:50Z","0","0","0","0","0","0","0"
"915c3d9b7ec3add97cb5f0911ac60f8c52f9ea57","2018-09-26T20:59:22Z","0","0","0","0","0","0","0"
"4d335465daee62ef9de1ad7ac957e54d93af8844","2018-09-26T20:02:31Z","0","0","0","0","0","0","0"
"eafd6b78ab14c7de8c3b4d358bda8ac6beadd3e3","2018-09-26T18:59:51Z","5","131","10","141","1","0","0"
"2351c5c211e2211b10e812a93c2c095e32538376","2018-09-26T18:58:43Z","1","0","5","5","1","0","0"
"f6b383b58af963cf4f54c47cedcd8b8a3bbf3ff6","2018-09-26T18:49:48Z","0","0","0","0","0","0","0"
"1054691f70f189d2dafba7fcfce9216abb698f73","2018-09-26T18:29:26Z","1","35","5","40","1","0","0"
"e9babcc5313f576c11ee0e41cf9eea1efa97e2fd","2018-09-26T16:43:46Z","0","0","0","0","0","0","0"
"6b2dd490736c9b1ca044b34230fff446f38c4e85","2018-09-26T00:11:16Z","0","0","0","0","0","0","0"
