"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a3444b8f4dbb6e83b8710455e6d8352439ac1874","2018-10-01T18:32:45Z","50","310","304","614","1","0","0"
"4fbf3b568bb9b4abaf6a700eb6cfdc3db10f7388","2018-10-01T17:12:02Z","0","0","0","0","0","0","0"
"45a9484955ca74a6cfc8e0252defbed7dc64284c","2018-10-01T16:41:45Z","5","247","187","434","1","0","0"
"8438b20344a9a17039f03451ea670c0e9c2512f0","2018-10-01T13:46:57Z","1","3","3","6","1","0","0"
"b2b61032f63e9b1154311c22faa557bbb88b6ebb","2018-10-01T13:26:26Z","19","24","17","41","1","0","0"
"1908fa9cb7386ce8e6c25303a089d378acb953d5","2018-10-01T09:08:35Z","1","18","3","21","1","0","0"
"9ec022fc48f11c91be6e1317613cbe17dfe04de7","2018-10-01T08:24:28Z","9","28","119","147","1","0","0"
"b91179e93f5ae35dba4d782dd9bcd8b5bcce1e79","2018-09-30T20:27:17Z","1","4","0","4","1","0","0"
"8bfb84dcf35ea02c4f6f0af968e470d9fa2f097b","2018-09-30T20:10:05Z","1","1","1","2","1","0","0"
"094ec3d3e0abc9d6cced3e227a0defd065656ff9","2018-09-30T20:09:00Z","1","0","108","108","1","0","0"
"c55f5d859f4def2df5bbf8bf039a50957b047450","2018-09-30T12:09:47Z","1","11","11","22","1","0","0"
"0ca0810114ee1d8c02e146f831a9a821bb5ca20f","2018-09-30T11:37:30Z","0","0","0","0","0","0","0"
"d47851c9132a7880150833cf7d468282ad77c793","2018-09-30T11:19:01Z","0","0","0","0","0","0","1"
"3e16812007a9af90df9887a8320ebd76554f7d82","2018-09-28T19:06:29Z","0","0","0","0","0","0","0"
"7eb0e6642008cb4e2f55669f61724d7295ef20a3","2018-09-28T17:57:35Z","0","0","0","0","0","0","1"
"b89159600268d471c78941ebd60bf9da6ca95abf","2018-09-28T17:17:56Z","1","4","2","6","1","0","0"
"90d687e5954eaccc166652976c46e5ef4203f565","2018-09-28T16:40:36Z","1","1","1","2","1","0","0"
"ba32c5bc83272ff0e111fd4dccc40435700c6225","2018-09-28T13:19:40Z","2","33","15","48","1","0","0"
"dea2136424b1667820fab6face8c8c0ec8517bf7","2018-09-28T13:19:40Z","1","1","0","1","1","0","0"
"dc50e667ac6718fcd8bea590324e2bc2dce8ad8c","2018-09-28T13:19:40Z","1","36","0","36","1","0","0"
"6d3edb5b4166cdbc581a273712800a63ca99989d","2018-09-28T10:37:14Z","0","0","0","0","0","0","0"
"1dca9627ca6f48bbddf4769732d4ca2cf83683e8","2018-09-28T06:56:37Z","1","26","0","26","1","0","0"
"bc10b674bf0f0b0dadfde9435584813224d02618","2018-09-27T21:19:31Z","0","0","0","0","0","0","0"
