"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b8638eccee1d0c1d5de9faa9541477feeb6b4998","2018-08-28T19:28:43Z","0","0","0","0","0","1","0"
"1bf8f2544b04c86d10f684e0a6098953d1e4be00","2018-08-27T19:59:22Z","1","8","8","16","1","0","0"
"af8bc1d9cd308e3d4f52330f740725c5c7847f1d","2018-08-27T19:59:05Z","5","81","27","108","1","0","0"
"dd242aa735b1efa3cf7664a3b64afd32bb5b28dd","2018-08-27T19:41:41Z","7","135","168","303","1","0","0"
"7542a6b531bc907968f513eb1969b91c1c9ebe26","2018-08-22T19:43:34Z","1","37","17","54","1","0","0"
"86963ccb43b7be83d5d333854e14af51e8e84ba7","2018-08-20T19:55:29Z","8","62","62","124","1","0","0"
"d33818773e0ac9badf5dec02829859f493c5a0af","2018-08-20T19:55:29Z","1","2","2","4","1","0","1"
"c6b0408092ba7a6d93e1c2c71b84b8a492de78d4","2018-08-20T19:55:29Z","10","89","72","161","1","0","0"
"49ecdb334b1eddaa8d8d8be123b322da56caf65e","2018-07-11T20:43:01Z","2","2","2","4","1","0","0"
"5a6b891ef0fd909d5cbde705cfb323fa6c497c78","2018-07-10T23:16:45Z","2","145","103","248","1","0","0"
"71ea09fc8ef5a311015bf4b7d916521de639ef03","2018-07-10T23:09:40Z","1","4","0","4","1","0","0"
"da571dbe71d00fa88f5959d1f907c744eb1feae7","2018-07-10T23:09:40Z","1","14","3","17","1","0","0"
"fef5569d25400eb351ac1b475c082ddd999d31cb","2018-07-10T23:09:40Z","1","31","7","38","1","0","0"
"2f29256bdf16303d459888083465946c8d1f6c47","2018-07-02T18:33:20Z","1","11","12","23","1","0","0"
"a23773944408f19721fd968572305c81977a7f4f","2018-07-02T18:33:20Z","3","7","8","15","1","0","0"
"9560bfe2a0f5c8566de4ece5a83bbc95db8bfabb","2018-07-02T18:33:20Z","1","5","6","11","1","0","0"
"1e984c297038cf672fa79d649d95c0c118f53c26","2018-07-02T18:33:20Z","1","3","3","6","1","0","0"
"dafcef3884caaac2559446bcec3972629c9c77ba","2018-07-02T18:33:20Z","2","15","11","26","1","0","0"
"fd3e00ab3585096b8a8f7d0cd0222a6cdced36d8","2018-07-01T21:08:33Z","42","131","394","525","1","1","0"
"239b64ba003accffd1b0cf7c1c58d35435f5e94a","2018-06-14T22:13:47Z","1","1","1","2","1","0","0"
"2fcdad20784ba3967733c2a91368c0c4d10d34d2","2018-06-14T05:43:25Z","1","1","1","2","1","0","0"
"468a4eeba626465edf2f556695a1bbe1bed00575","2018-06-14T04:19:05Z","1","2","2","4","1","0","0"
"d2b36e16da76867c4eabe387ee822d86ee49f068","2018-06-14T04:18:28Z","1","1","1","2","1","0","0"
