"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"786d6297b3398f95e2eefa964964f9a6d0c523a8","2018-09-18T12:58:12Z","0","0","0","0","0","0","0"
"26f5015098588359be736d456921d97bd45f877e","2018-09-18T12:53:55Z","0","0","0","0","0","0","0"
"aaa9828e3850d7fe61a7856a255e335e4f985166","2018-09-18T08:13:41Z","0","0","0","0","0","1","0"
"d19fb934ff725bd36c2af42644be99ddb1f2a9e7","2018-09-14T09:53:57Z","0","0","0","0","0","1","0"
"e36fab9b095f410adc8cdd7fec235e7316fabae9","2018-09-14T07:30:04Z","0","0","0","0","0","1","0"
"64aaa2674e2d2b3ece67366ebe078494e445a370","2018-09-14T07:26:48Z","0","0","0","0","0","0","0"
"82da8077f6c69273e405ebbc6dfece4522bfaf2c","2018-09-12T08:31:45Z","1","24","16","40","1","1","1"
"7a024c43ba6d0b7f5881a6a87d31dc1cc77561aa","2018-09-12T08:31:33Z","1","24","16","40","1","1","1"
"98fa0348a9f18ad2c4f874ed0f1240f9376fd088","2018-09-07T19:23:20Z","0","0","0","0","0","0","1"
"87a048e4eb29ffa01f46c52a371b28c2ed9ecde8","2018-09-06T13:23:24Z","2","34","3","37","1","0","0"
"00b159b3c1ff14f5462dd70e80c1bca71000fb76","2018-09-06T13:23:15Z","1","6","2","8","1","0","0"
"bc05286f21e4abb498f728bcbbdbb9283458a40c","2018-09-06T13:18:12Z","2","29","2","31","1","0","0"
"7486deb3c055da15e2cb94cead5007a4daeba2b0","2018-09-03T09:42:31Z","3","26","2","28","1","0","0"
"6c8a3a89d2f8e541ea435b0610c30e98937d1680","2018-09-03T09:28:36Z","11","43","25","68","1","0","0"
"24946776554971acdfc596cf6cb4890a49f06804","2018-08-22T19:51:23Z","0","0","0","0","0","1","0"
"a2320ef3dce20b631d6141f14fe679f409cdcd01","2018-08-21T09:34:47Z","5","22","9","31","1","0","0"
"5f767420ed43379d2034115513ef4c60567e0868","2018-08-21T09:29:45Z","0","0","0","0","0","0","0"
"376dcc80713827ab17c1f1dac4b6b7b9091ba57a","2018-07-06T14:01:41Z","11","43","25","68","1","0","0"
"e0c4a2f94df3c40bd90cf26fe26b0cbca31b3430","2018-06-27T20:08:24Z","1","24","16","40","1","1","0"
"fca8755d79ee4fab5a640d057e6ccac7ed49ae5f","2018-06-27T16:54:48Z","2","29","3","32","1","0","0"
"c9ca05c28a7d89e7a03444c62f05d4480b45118f","2018-06-27T16:27:26Z","1","1","0","1","1","0","0"
"c697d981268c538dfeeb38786bd9eb0a03ab86f0","2018-06-11T09:23:40Z","3","94","21","115","1","0","0"
"3a9dfc680e1e8f8bd49f67e04cb1df557b063027","2018-06-11T09:23:25Z","2","7","3","10","1","0","0"
"b33e5dd82412679298a5c8d8954b7d16a7634a54","2018-06-11T09:15:54Z","3","90","21","111","1","0","0"
"61507f1aca22787420333b213d6782182566f517","2018-06-11T09:10:53Z","1","2","4","6","1","0","0"
"8022555d645f78ed52e1f0db0ae8ffbb0d0b2f4c","2018-06-11T09:07:56Z","3","77","7","84","1","0","0"
"e198dffcaff1ae25e5a2f03c43bcbf57df0967aa","2018-06-11T09:03:53Z","1","4","1","5","1","0","0"
"bb768d25d38e562df4bb38c7111e869b96a94c52","2018-06-11T09:03:07Z","1","3","3","6","1","0","0"
"ced5318a187344a3b1ccd9740d092f007e7770fd","2018-05-15T04:04:26Z","1","30","25","55","1","0","0"
"88cdd6153258da445ace8ad01a48752d44f337e2","2018-04-10T05:31:47Z","4","115","51","166","1","0","0"
"9c5cab7abdca739c6b0baf5c6800a93b12eeb5ac","2018-04-04T17:36:52Z","2","54","4","58","1","0","0"
"030e9d00125cbd1ad759668f85488aba1019c668","2018-03-07T13:43:02Z","3","44","16","60","1","0","0"
"27236534e90bd2bfe339fd65fe6ddd6a9f0304e1","2018-03-07T10:47:14Z","0","0","0","0","0","1","0"
"2c29cf30c2344ef5a52b2f5b657fd0c82bee577a","2018-03-06T10:42:54Z","0","0","0","0","0","1","0"
"db45b5640ab577057e630b1c14bd537517aa5a29","2018-03-06T10:42:19Z","1","15","12","27","1","1","0"
"99d7ddc4636b47892e0190ca170b6ecec70dec2f","2018-02-19T08:56:14Z","4","139","12","151","1","0","0"
"3193d6e23580b2fa81022870d96b8ba80c8b4fb2","2018-01-08T10:35:50Z","1","1","0","1","1","0","0"
"bfda598433a03c3ffc8ea010040270ba011178f3","2017-12-19T21:42:34Z","0","0","0","0","0","0","0"
"e5951a05fdc7b785bce3b6445e73321ef004bf86","2017-11-14T20:32:43Z","0","0","0","0","0","1","0"
"5316c0d0f057daaf556c3907c20df975f7bf8a8a","2017-11-14T18:39:40Z","5","662","6","668","1","0","0"
"c0d7926911b8fdb3951252ab28f0c07e5ee25e4a","2017-11-14T18:34:39Z","0","0","0","0","0","1","0"
"b7f955c515080cdd4972f1a1ec7102d54853fc48","2017-11-02T17:14:27Z","0","0","0","0","0","0","0"
"2e7be3c500b83dec82fe04ef3b629a15c2c52e18","2017-11-02T14:50:40Z","0","0","0","0","0","1","0"
"2eecb4d753c768d42d41ae139ba4d5ffcc0ca671","2017-10-24T10:49:46Z","7","138","13","151","1","1","0"
"bd014badb650c4415a007bb0391d0a09855f374b","2017-10-24T10:45:55Z","2","1","4","5","1","0","0"
