"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"698b536b0bc6c1eab5201beff90f6f748cb6f73c","2018-10-01T05:39:53Z","0","0","0","0","0","0","0"
"afcf47bb8c54a6b2ac6833bcdbc066307f705958","2018-10-01T05:27:09Z","0","0","0","0","0","0","0"
"7b7f9dff6c95e55614f365b4d9f83f968a17e48b","2018-09-30T14:39:13Z","11","450","117","567","1","0","0"
"fcfcccb3a961bc0c9a165546113944450331e6c8","2018-09-29T14:18:36Z","0","0","0","0","0","0","0"
"241e2873feab52a31fc86a5c9e9e32c76520f648","2018-09-28T20:43:49Z","0","0","0","0","0","0","0"
"2f115959e711665100dc0f6b3048197c12dc22bf","2018-09-28T20:41:45Z","0","0","0","0","0","0","0"
"19f50f5c3d6be06499b236eb2e710b3d69ad05e0","2018-09-28T18:10:49Z","0","0","0","0","0","0","0"
"84ead13e6e733fe8acc8c20edef6a712b36a8982","2018-09-28T18:02:53Z","0","0","0","0","0","1","0"
"589c4f8b882af24677dfd1b2ab2e00bf7f1687f7","2018-09-27T09:08:42Z","1","1","1","2","1","1","0"
"2446a6a26e0e83b9e8bc46836f4d64fd036d4529","2018-09-21T19:09:29Z","0","0","0","0","0","0","0"
"4a2ca674fe06ffcdc2b60902172f28bbf8f3b3e8","2018-09-21T19:09:16Z","0","0","0","0","0","0","0"
"076909b258895c9ad04ff206971f294c3f897776","2018-09-21T18:01:33Z","1","2","1","3","1","0","0"
"b7c363f124b8c5d9d601547aa833250aa455b05a","2018-09-21T18:01:03Z","1","2","1","3","1","0","0"
"9e9c374098291bdd066a0743930e30cc7a060ccf","2018-09-21T17:07:25Z","0","0","0","0","0","0","0"
"33dd929b8e4f9f6b2e0ccd08ac75a8bd9becbcab","2018-09-21T17:07:22Z","0","0","0","0","0","0","0"
"003c27217d4710a598cb72bf13c7e9ab1503dbcf","2018-09-21T17:06:25Z","1","1","1","2","1","0","0"
"2ea4711f5a9ef035a54721049c647b27b5333554","2018-09-21T17:06:25Z","2","25","5","30","1","0","0"
"8b6ca8b829a1cf9cf70b07c637f99b2290fad6c2","2018-09-21T17:01:47Z","0","0","0","0","0","0","0"
"5db1ab895c31bb4e4c83b9ae7d62d264e14ddfb6","2018-09-20T19:45:52Z","2","25","5","30","1","0","0"
"f9ec50e12b7c8947e46c29ba6996e603ca274822","2018-09-20T19:33:32Z","0","0","0","0","0","1","0"
"458f2edcb8bdb285d858b4a1c7a8c3e8b181ca1d","2018-09-20T17:56:20Z","0","0","0","0","0","0","0"
"3ba5cecf346932479d5d6dc4af1f67a885ebd99b","2018-09-20T17:55:37Z","0","0","0","0","0","0","0"
"f22145271bf316a522b4035ff8887622d01bddc1","2018-09-12T17:22:30Z","1","1","1","2","1","0","0"
"49b4877188034d958f759f0b846bae436e2218a8","2018-09-12T17:21:42Z","0","0","0","0","0","1","0"
"7a23e9cffba841a04abe60b2806044995cfe18b6","2018-09-12T16:51:56Z","1","1","1","2","1","0","0"
"bd7f8bcbcc110aaff89fc3cad1a7f1d7f641f3ad","2018-09-12T16:51:07Z","0","0","0","0","0","0","0"
"914b5f32b6ad7ddd74028d2b2025fdcce53603c7","2018-09-10T17:51:58Z","0","0","0","0","0","0","0"
"e12e7070ca551459050256b4fb8349d5da0f6786","2018-09-10T17:51:37Z","0","0","0","0","0","0","0"
"86ba5b906cb9bb489c54393cb4b2067e78ae0e55","2018-09-10T17:20:51Z","0","0","0","0","0","0","0"
"6cb34639533edbfbff721352d8e9732b3b862f9d","2018-09-02T17:03:56Z","6","49","13","62","1","0","0"
"19b1b8fe43738fd59cc691349cabd033a2df30d8","2018-09-02T16:58:15Z","6","49","13","62","1","0","0"
"4b176f1f7a5a6e64c036eee0a5b93cf2a7bd49d7","2018-09-01T13:53:38Z","8","51","51","102","1","0","0"
"fa5dff9914678e752a0d3b08326d918ad87edebd","2018-09-01T13:49:58Z","7","49","3","52","1","0","0"
"a3f696f7f1cdccad3bf47058197d4bded5de1646","2018-09-01T13:49:57Z","0","0","0","0","0","0","0"
"81dd1db2be3a4ba8b222330a3c72b9515ba3f098","2018-09-01T13:49:57Z","0","0","0","0","0","0","0"
"4fdd947d822b0f9809f724dcb269c26a7661067a","2018-08-29T16:14:34Z","0","0","0","0","0","0","0"
"211b7d3ff2bf90b053f9c28400aaea9364dec77c","2018-08-29T06:36:02Z","0","0","0","0","0","0","0"
"3b146e090e943abf97e35ceb4bd4971e4c9ec586","2018-08-28T19:44:55Z","5","121","32","153","1","0","0"
"3d1001b87a29d65e966f9d3a0563d653491db7e1","2018-08-28T19:39:58Z","4","101","24","125","1","0","0"
"d86fd8dc125abc4830452183bf4e85df23e48825","2018-08-28T18:51:36Z","1","27","9","36","1","0","0"
"f874763b519d9e7db17182f2bee7609c514e83ef","2018-08-28T05:41:34Z","0","0","0","0","0","0","0"
"aeea480eee4d04c73a44b9d9eb9d28ba3f4b698c","2018-08-27T14:15:00Z","2","17","5","22","1","0","0"
"5127589f2146295ace8c6d77cd148328ccac465b","2018-08-27T14:14:37Z","2","17","5","22","1","0","0"
"96c74a6d9e4df3b4a91a8ed13c56693d8c5e0dec","2018-08-27T06:05:03Z","9","281","59","340","1","0","0"
"92a76b1c4ccc46e5b9116a59890c170c890d9744","2018-08-27T06:04:36Z","10","260","113","373","1","0","0"
"25373f532425e38857d2ec9a7f16ef528e422f96","2018-08-27T06:02:07Z","3","84","9","93","1","0","0"
"0a49c78fdfd5598b4eed63186b8cd71eb9f5a1bf","2018-08-26T17:45:22Z","1","0","28","28","1","1","0"
"c8c6110bdad9cfc16d68e043b7c17eb00af3cb55","2018-08-26T17:20:41Z","1","1","1","2","1","1","0"
"151d769c34b3b89c2b5b1971f94bc1f26efe87ce","2018-08-26T16:54:55Z","0","0","0","0","0","1","0"
"1caa23b207198fcc07999a2cf7278bb35cf2385a","2018-08-24T20:58:42Z","1","1","1","2","1","1","0"
"cb667ba452ba256ab40e5c92750f99c59a912503","2018-08-09T05:35:12Z","0","0","0","0","0","0","0"
"6445b05539fc27ca992d199bc69a5814839fae9e","2018-08-09T05:34:39Z","0","0","0","0","0","0","0"
"b66cdde75cfb996335dcab59a8ad10df4833611e","2018-08-07T11:48:26Z","0","0","0","0","0","0","0"
"2923de52dfe28f82cc5d2c908a3c04722a0c6c3f","2018-08-06T19:40:47Z","2","12","2","14","1","0","0"
"ace3f041206c367fc064ce77c5dcf1b488ff5ea2","2018-08-06T19:40:28Z","2","12","2","14","1","0","0"
"a5d45bafbac78a0420f9689c3e2cd715d96b63e3","2018-08-03T19:56:30Z","0","0","0","0","0","0","1"
"48abe691c5d244a864d6ad95e71c3f54366051e1","2018-08-03T19:56:20Z","0","0","0","0","0","0","1"
"c2601f9fc1d34a832bed67babdcbbb40bb02f4d4","2018-08-03T18:06:35Z","4","20","12","32","1","0","0"
"d0e9deaec817059926b9bce2e2b5275dc02e7357","2018-08-03T18:05:56Z","2","17","10","27","1","0","0"
"13c56b4001546c250bb337098cb46d3fe4def905","2018-08-03T17:45:19Z","2","3","2","5","1","0","0"
"7f66d5573eb7a352f099c8533ab95faf1e316b22","2018-08-02T06:23:51Z","0","0","0","0","0","0","0"
"e58282b43c8273974d125f8c7be68e078bb1a6e2","2018-08-02T06:22:53Z","0","0","0","0","0","0","0"
"d4cca8773e76af2751471bd9bee2b8fc48217f6c","2018-08-02T05:37:27Z","0","0","0","0","0","0","0"
"4cae6f0a93869a8b4c3a0ef7f3dcd714e53a7ce0","2018-08-02T05:37:26Z","0","0","0","0","0","0","0"
"546101762ea403692d7315b7b75f62c3bff2dffb","2018-08-02T05:37:22Z","0","0","0","0","0","1","0"
"fee3ad4ff7e51f253722a6003f55b955ee1c16e1","2018-08-02T05:35:39Z","0","0","0","0","0","0","0"
"52dcaf7f1cbc2466e1450a234c5a04d4c358cc8b","2018-08-01T21:25:31Z","0","0","0","0","0","0","0"
"862b8ee3a4075ecb1b4e9e81ee27348780c99a9e","2018-08-01T20:02:59Z","0","0","0","0","0","1","0"
"fa3df0a6e3847136888711c719f9d1d4b4f837b2","2018-07-31T20:42:22Z","0","0","0","0","0","0","0"
"1a1ee15406012f07a5d632367519a19f90900cfc","2018-07-31T20:17:06Z","11","173","88","261","1","1","0"
"95237dfc93f2ac5b120e325c7a0f0116e75c9e1e","2018-07-31T05:48:41Z","1","27","0","27","1","0","0"
"d80fdb62078da6a70d3d7d467f81fbcf41b9b957","2018-07-30T19:29:27Z","0","0","0","0","0","1","0"
"0d1356816488d4ad31d1a569acbfd449a64c500b","2018-07-30T19:03:04Z","2","88","37","125","1","0","0"
"583beac5d3c4c6628b5c6d88833510225f1e146e","2018-07-30T18:31:02Z","0","0","0","0","0","1","0"
"8a2432d5dad24c06091f6a28ad5b8d97559e3feb","2018-07-29T17:31:00Z","0","0","0","0","0","0","0"
"c43b2e92a8066f72add6a94569f1ab41e71c7233","2018-07-26T06:44:50Z","1","15","6","21","1","0","0"
"ad0afd4f4238cc08b3a4f528f1ca2e7e49be4f20","2018-07-26T06:21:49Z","1","1","1","2","1","0","0"
"fa37e26757c052f5cc56a2d188b50ddc56476d84","2018-07-26T06:10:52Z","1","1","1","2","1","0","0"
"5bb2b3675cdeee89c52b7306f49f8ab4177001db","2018-07-24T14:37:10Z","0","0","0","0","0","0","0"
"3772644d96828e2f4f99ed66034d56cef3064008","2018-07-23T15:16:17Z","0","0","0","0","0","0","0"
"d8e0a896ddc5702138624ae62fe4132b7e6516af","2018-07-23T14:25:46Z","0","0","0","0","0","0","0"
"1ebc75e90fac1f5713fff16867a444a5ede2151d","2018-07-23T07:34:51Z","3","71","5","76","1","1","0"
"aac3f00a829e80b74ca33d0592b026657dac1d54","2018-07-20T15:08:41Z","0","0","0","0","0","0","0"
"75a960a7e631def8d5e0536a2677b4a20ca152d7","2018-07-19T06:56:11Z","7","176","9","185","1","1","0"
"abbcc7eb0bf4329489a40b5b1d8786197f00d0a1","2018-07-18T16:45:49Z","6","6","0","6","1","0","0"
"d062ce1314a0e9f19c7733111f1aca79962b76a3","2018-07-18T16:23:43Z","1","28","13","41","1","0","0"
"9216a50d57229d86e8dd91acf92310f2b7792984","2018-07-18T05:53:02Z","0","0","0","0","0","0","0"
"3507467613f5910b1d45936dd949dbbf6374d069","2018-07-16T15:49:08Z","2","35","6","41","1","0","0"
"c4264c7d18140c602089974f651dd349d48ac26d","2018-07-15T12:55:47Z","0","0","0","0","0","0","0"
"220f3b0fdd200da490e229c4f065ca0b9f2424b7","2018-07-15T12:44:01Z","0","0","0","0","0","0","0"
"1aed3f246b87f69892c1e6d8537bcd3cf6d9f037","2018-07-12T17:42:35Z","0","0","0","0","0","1","0"
"210fb7599cdfd315480a4af5fc1fcfcc17316e10","2018-07-10T19:24:12Z","0","0","0","0","0","0","0"
"699dcaaf1b9c3a7e081fa8cc7bb63106de8ce7d1","2018-07-10T19:24:00Z","0","0","0","0","0","0","0"
"f63603c44f939538bdc7c73556043749f79a8913","2018-07-06T21:42:54Z","0","0","0","0","0","0","0"
"87344df692b6cfab9ddaa48359846183d7b98944","2018-07-05T20:39:51Z","0","0","0","0","0","0","0"
"32cf0cbaac3261ed4dfae05cf807178c08c78ab4","2018-06-30T19:32:41Z","0","0","0","0","0","0","0"
"06c80c46fdd6bc2418fa386746b6e2b453c9a82f","2018-06-29T21:12:41Z","6","73","22","95","1","0","0"
"2de939331bbc54de35760dc359dfa70bfac20fb2","2018-06-27T20:56:58Z","0","0","0","0","0","0","0"
"5e9b1eb681539312155d56cff9ddec4e838d5a5b","2018-06-26T17:39:53Z","1","8","2","10","1","0","0"
"15c852066fd5aa9df6f6ecc202cc0ac1b1511d11","2018-06-25T05:09:16Z","0","0","0","0","0","0","0"
"e5a91d06e8ba788044ab843bf9769220d60a956a","2018-06-22T05:40:24Z","1","1","1","2","1","0","0"
"87ac57488a61b487d4ca2abe8646cdb1cec64c42","2018-06-22T05:36:15Z","0","0","0","0","0","1","0"
"6c3d8b0d9e011232668958291d05fe2e02c79ac1","2018-06-21T16:48:21Z","0","0","0","0","0","1","0"
