"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8950746bb53ce209b4cb5d2d1706712e9c6a0efc","2018-08-07T09:51:46Z","0","0","0","0","0","0","0"
"2bbd3fde5c49577f84937dc573d22865eb15d04a","2018-08-07T09:38:16Z","0","0","0","0","0","0","0"
"eb4fd212d3307ddbab60a5acccef6473dfa0490f","2018-08-07T07:40:00Z","1","3","3","6","1","0","0"
"f69b80b74eee464f63c93a2cbcca2a6343491cef","2018-08-07T07:27:36Z","2","2","1","3","1","0","0"
"8719eed390a15b13204fc828ff5bd4cecc66b4cd","2018-08-07T07:26:06Z","2","342","0","342","1","1","0"
"cda225316162793bc9a299dbde94ba54762eb839","2018-06-06T06:21:26Z","0","0","0","0","0","0","0"
"1be5c1e526cf3e682b03a4c6f2b13105a498caf1","2018-06-06T06:19:18Z","0","0","0","0","0","0","0"
"84c4567510fffc20677436301adafd5b2b17e20e","2018-06-06T06:18:01Z","0","0","0","0","0","0","0"
"47c633a3b7292b76aa1425fdae26f6efce53a51c","2018-01-25T08:49:31Z","96","2617","2437","5054","1","1","0"
"60b0557e27c9017d5ba3ef9f6e03b01d9a704308","2017-12-28T04:27:03Z","108","1950","14833","16783","1","1","0"
"58da335032a1265ff9a724fcf72d53d1f74fe850","2017-03-29T13:56:47Z","1","1","1","2","1","0","0"
"204bf1289ffd62ff5fe441941e8d82eb312fde31","2017-03-10T18:46:06Z","1","1","1","2","1","0","0"
"5c15e89ad9d61c361f42afb3623e135cfcaa1839","2017-03-10T18:45:01Z","1","1","1","2","1","0","0"
"b64f648ea332fc736a341fe9b138accdcdb8d876","2017-02-15T03:00:30Z","1","1","1","2","1","0","0"
"91b06f4c1e1ee8293af9e3f61996b8aa4df69870","2017-02-10T02:41:00Z","1","1","1","2","1","0","0"
"d91067a4037746acb8f229b6df72aec734e5af47","2017-01-24T06:15:48Z","0","0","0","0","0","1","0"
"9709310f65ea3863a311f26edc877f53bce94643","2017-01-24T05:12:52Z","0","0","0","0","0","1","0"
"c09cd02723a695e5a239f1b3b382609ff4360da0","2017-01-24T05:03:56Z","2","4","12","16","1","0","0"
"8079272c05ddf87ca54ffc27e4abe3eb7677dd12","2017-01-24T04:06:41Z","5","167","39","206","1","0","0"
"6eadd01117d79e9a940b5291c701f989e84fb81d","2017-01-24T03:15:46Z","44","183","101","284","1","0","0"
"457b1ae64aba85e6d784235daa11e21f23390e6f","2017-01-23T16:33:45Z","1","0","16","16","1","0","0"
"429f37bcb3b0c77f9a0bd8340bb9a457b9942cc8","2017-01-23T15:00:22Z","2","32","14","46","1","0","0"
"07e8765855877553266b5a03ca32d78be869941b","2017-01-23T14:27:41Z","4","62","11","73","1","0","0"
"4d7fd03b198f3fbc3e72130a7552fed46de9d1c1","2017-01-23T13:59:32Z","9","113","23","136","1","0","0"
"322280533e29168d4dca64b2d7f16ef305c6fda7","2017-01-23T05:22:36Z","13","691","123","814","1","0","0"
"11966020b642691cea07b9aa2f281ece61f4e6b9","2017-01-22T04:22:36Z","10","19","17","36","1","1","0"
"72e1e8f75a171c66f80c6426cf1e93276e9c8835","2017-01-21T15:00:08Z","2","9","9","18","1","0","0"
"b78c58919b50d492b67a62e73cee54fd48aebbe9","2017-01-21T14:59:11Z","2","65","14","79","1","0","0"
"ae15c9f1fb98f70be75850ea6c96edb79e393c55","2017-01-21T04:20:50Z","3","161","69","230","1","0","0"
"c9d51604b862db1e235a80af4ffc85a5d1d3ae77","2017-01-21T02:52:06Z","2","4","4","8","1","1","0"
"684f28d8c40ae7187227e92f26630c146bb293b7","2017-01-21T02:42:38Z","6","242","41","283","1","1","0"
"157905e24edaefc720c5e2c6daf97cd0aeff3127","2017-01-20T18:56:22Z","0","0","0","0","0","0","0"
"5867572487b035fe91498bfb435d5c3b6befa68c","2017-01-20T18:46:24Z","0","0","0","0","0","0","0"
"cabc2b895f6991f9b4485c636c45a4677f5bec02","2017-01-20T18:43:31Z","0","0","0","0","0","1","0"
