"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ba967192d5c26208a271abda26f5f492a10c5475","2018-07-13T09:33:46Z","0","0","0","0","0","0","0"
"7415776e278f41efa706b7c085a2a95a00bca05c","2018-07-10T09:14:15Z","0","0","0","0","0","0","0"
"7b85279e51de38100691736916e7f49fe79213fa","2018-07-06T06:22:06Z","0","0","0","0","0","0","0"
"88cf5813438c4243e262682bf7a65cbdb1b98e64","2018-06-27T05:22:07Z","0","0","0","0","0","0","0"
"65fe4b249737adaccb582bf9932ca67b14b11f7b","2018-06-19T01:02:37Z","0","0","0","0","0","0","0"
"5ea78d6f82a4908f0e5aa39007aa48f24b3ad00a","2018-06-15T11:18:28Z","0","0","0","0","0","0","0"
"bf38f93f065e591ec7fd62809e94689e2a86829c","2018-06-10T03:47:46Z","0","0","0","0","0","0","0"
"00ff8ea49d6369b0679f5069dc65a4a612b7eb73","2018-06-09T07:18:07Z","0","0","0","0","0","0","0"
"8c1becb115bf0d457e11131ccb449bec6d4edf48","2018-06-09T00:59:47Z","0","0","0","0","0","0","0"
"8b08d348c42431098507feeb7aea1b8e21323a7f","2018-05-31T06:16:21Z","0","0","0","0","0","0","0"
"d6c8ad16fb0ee3ba6a2ffe39371cc7aca71ff7c8","2018-05-31T06:09:08Z","0","0","0","0","0","0","0"
"d63347a18e53b72e24163bf09e2a52098fd260d2","2018-05-06T14:49:23Z","0","0","0","0","0","0","0"
"5481991c3b0ad5cee7295815cf699ff9df60d999","2018-05-06T14:33:00Z","186","13817","0","13817","1","1","1"
"315816d1f531aa7181feeb928acdd0ed5b42c0ff","2018-05-02T11:42:49Z","0","0","0","0","0","0","0"
"2abbba11c639a54e7076b1408b8645cc6fc83498","2018-04-22T12:42:21Z","0","0","0","0","0","0","0"
"e831859bf6d6bb910e17563ce461972fdbaeb62f","2018-04-08T03:24:20Z","0","0","0","0","0","0","0"
"53a910639398c62ddc2052fb5128af10e709bfde","2018-04-08T03:23:06Z","0","0","0","0","0","0","0"
"e76398eaa13c9fd22d9fa9efe5cad047716af611","2018-04-08T03:19:55Z","0","0","0","0","0","0","0"
"eb8f99be7dfdebfeb8022519e71ed6f531fde0d5","2018-04-08T03:16:45Z","0","0","0","0","0","0","0"
"adf507503a1c238892e4adb7462b0dff80377602","2018-04-03T02:10:34Z","0","0","0","0","0","0","0"
"4aa72278abf53cd302f370efcd7d950d1c9b8540","2018-01-24T10:02:01Z","0","0","0","0","0","0","0"
"f6999e2064f1142f40c7506648be6fca641ad26b","2017-10-17T04:08:16Z","0","0","0","0","0","0","0"
"88e83fd6fa13112020f909ba9dc208974311b3c7","2017-08-19T04:27:13Z","0","0","0","0","0","0","0"
"9e11ee099819db5ff1e0777f3f168a7efed4e591","2017-08-17T15:05:29Z","0","0","0","0","0","0","0"
"89c45d637817728c9d1a82c371ace65e9b217264","2017-08-17T13:15:54Z","0","0","0","0","0","0","0"
"add8a59ebd4258aa7df61c6333631d714ccef28b","2017-08-17T13:15:47Z","0","0","0","0","0","0","0"
"e607bfd29e997d3fd9ebe7cb480914b0ee44b476","2017-07-31T13:50:11Z","0","0","0","0","0","0","0"
"edbf0452d159d3eb316dc46a54e353884bde1f71","2017-07-31T10:46:46Z","0","0","0","0","0","0","0"
"7aa85c424a0dbe7ccac363a99f363c1a04a0cda2","2017-04-01T11:12:58Z","0","0","0","0","0","0","0"
"b339daa31f0f40b3925c5207c145af9020fed129","2017-01-14T10:18:51Z","0","0","0","0","0","0","0"
"c0044bbef844975b6988aad1159c6f790d2d2141","2017-01-06T08:25:33Z","0","0","0","0","0","0","0"
"3dc9eaea22ef14108b5891c5b1f177edc40edbe4","2016-12-30T06:22:51Z","0","0","0","0","0","0","0"
"23a7cd974f048ea1933ec5d64e01cbd334fc6a47","2016-11-22T07:11:25Z","0","0","0","0","0","0","0"
"f2c7d173918f9c35023597eec766de8c725eb0be","2016-11-17T10:59:47Z","0","0","0","0","0","0","0"
