"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"898bccdd72c2982f51e2cdab9baac53b7f2c7ac1","2018-09-27T11:45:37Z","33","65","61","126","1","0","0"
"d489adb034b0778835e8c4422c9fde6f12f35a5c","2018-09-20T08:04:27Z","2","31","0","31","1","0","0"
"53097d57998ad752cdd16a86afd86b2813fdb4ad","2018-09-20T07:55:07Z","2","31","0","31","1","0","0"
"0ac66b49ead905355bbf7def30144f64b6ec80aa","2018-09-19T15:48:18Z","2","2","2","4","1","1","0"
"4ea346f06a71390e517d16061314578d795ba24a","2018-09-19T15:43:25Z","2","2","2","4","1","1","0"
"7090ca2647ca22045b574c5d8c3bc0dab27695c1","2018-09-19T14:30:41Z","1","13","0","13","1","0","0"
"e71743e44fa091d5b7dd0008e5005d682dd7574e","2018-09-19T14:23:56Z","1","13","0","13","1","0","0"
"350cdfd92ed4ec78c3a1a090f3c3cae927a8b673","2018-09-19T14:16:30Z","2","2","2","4","1","1","0"
"e7f309d576da20f9f55e6a90fb47b2c5c8fdb6a3","2018-09-19T14:07:15Z","2","2","2","4","1","1","0"
"37667dffa9ceec0a5158597d515fc03f2a4c9c78","2018-09-19T12:18:55Z","0","0","0","0","0","1","0"
"8513c0a68007b3802ec8dbd2d02a895592470b0a","2018-09-19T11:58:57Z","0","0","0","0","0","1","0"
"15d69eaae20ff2553b1d2c49066265a0f0ef26bf","2018-09-19T10:51:03Z","206","9970","0","9970","1","1","1"
"4288f962fd885af0a8c3d3870592c95ade0cb81a","2018-09-19T10:44:12Z","0","0","0","0","0","0","0"
"cac9f4aba569da9a0feb9bae5a80c46022c9e3f9","2018-09-19T10:33:29Z","0","0","0","0","0","1","0"
"8e52b3308c7038f5dc94f6a3cec0e54b2ae91f67","2018-09-14T13:16:04Z","2","38","6","44","1","1","1"
"06ff090fdeb9204ac02b9a3485063c34408e2a14","2018-09-14T12:38:33Z","135","3009","19","3028","1","0","0"
"d758d2a634cef3a19213513c343407593c005e99","2018-09-14T10:41:08Z","4","39","8","47","1","0","1"
"c15b421c274643f84d34ab5c34eacc55cf33a423","2018-09-13T15:11:02Z","71","3573","2","3575","1","1","0"
"d4e86fba1c3985ff23e22c405fcab2e648c48856","2018-09-11T11:47:12Z","70","3346","0","3346","1","1","1"
"bbba4afbd9db7517476839208df92d0a5bb14279","2018-09-05T15:09:28Z","0","0","0","0","0","1","0"
"5161c1e7a145d1d8bbf37db6d730de58b2538c85","2018-09-05T15:05:57Z","0","0","0","0","0","1","0"
"bde7078eab83d48fe4196de3725b7a0268871d2a","2018-09-05T14:36:05Z","0","0","0","0","0","1","0"
"88d8a55acd360090fb39c7c3547434cf18658322","2018-09-04T13:48:52Z","0","0","0","0","0","1","0"
"4f438a13cab6facbc8e722f1e764b0e0cd1e3d98","2018-08-29T13:07:56Z","0","0","0","0","0","0","0"
"33de2f3a2658f02afa6ed434495179424a6a7e94","2018-08-29T13:05:41Z","0","0","0","0","0","0","0"
"88f72469c35fee363ec8020a6347673064da2281","2018-08-27T18:50:22Z","0","0","0","0","0","0","0"
"52530066dc9cd8e9543fa79805c0f223020cdabc","2018-08-27T18:47:46Z","0","0","0","0","0","0","0"
"35eb6a64e279fdd6f92b00764aec0e66e0a8d82f","2018-08-27T18:45:14Z","1","1","1","2","1","0","0"
"a2838169e30225be8ccb952cff82c792fcbcc95f","2018-08-27T18:30:40Z","1","1","1","2","1","0","0"
"5e61d6a1b3b0251869be71cf2913210dfa870276","2018-08-27T18:15:10Z","14","382","8","390","1","0","0"
"272b397830085bd5cbee8531cdb9b8cb4e815061","2018-08-27T18:02:55Z","14","382","8","390","1","0","0"
"0461e067132565202f6d5f5ccb3286b85787c5a7","2018-08-20T12:59:37Z","2","44","2","46","1","0","0"
"cfc73eb4bafb08f98d91e461b6cde51daa3ae720","2018-08-18T17:21:32Z","3","142","3","145","1","0","0"
"1cabf3d281fe5c46d59c059672d2b1e319d6b64f","2018-08-18T17:15:32Z","3","142","3","145","1","0","0"
"9238f2f10b5fd5150425e1f140f95d49c4fad218","2018-08-10T21:55:29Z","1","1","1","2","1","0","0"
"71dade9ea3dd950f1391f028a16070faf6a4053d","2018-08-10T19:28:09Z","1","1","1","2","1","0","0"
"3b7d29d36b9150ab905f090ebeae75b22aa1521b","2018-08-10T19:04:36Z","291","10336","9023","19359","1","1","0"
"34f1bdcb958cdb25c8fba274bc4d9ef049678124","2018-08-10T16:49:39Z","9","14","14","28","1","0","1"
"8abe29800b2edb2c2c9bd4319b9a8758e76277a3","2018-08-10T08:45:31Z","2","33","2","35","1","0","0"
"a6301a57d161b1207acbebcd70cd8c89acac00dd","2018-08-10T08:27:51Z","2","33","2","35","1","0","0"
"e63b2c1833ed5375b1508823c9565518d151c316","2018-08-10T06:37:39Z","1","1","1","2","1","0","0"
"28cc8b0d7cc10aab94d676632be405433711dd9b","2018-08-09T21:09:43Z","1","1","1","2","1","0","0"
"efda4d6e97aa39ea5641067abee9f1ef4443e770","2018-08-09T16:04:47Z","0","0","0","0","0","1","0"
"d21e5fb654b0f4fda5451a8b9ad1194046048dd4","2018-08-09T15:38:57Z","0","0","0","0","0","1","0"
"168e9b5da7bcd105b0ad04f2572da26623f9cc56","2018-08-09T14:57:31Z","0","0","0","0","0","1","0"
"7bbaba55594acc9b8a94988750f431a4bbff1cc3","2018-08-09T14:50:12Z","0","0","0","0","0","1","0"
"9962469cb6b65c178f8e43172c54cd7c3041fff7","2018-08-09T12:32:29Z","4","97","20","117","1","0","0"
"608ffebf7846879fc9348aa55c2477d96298b8e9","2018-08-09T12:18:50Z","4","97","20","117","1","0","0"
