"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"0e8e6a2e067d4ca745eebdd226d965968253c632","2018-09-24T18:03:15Z","10","1","1","2","1","1","0"
"d015234c39766adf71d0296d5a2266bd180a31e0","2018-08-10T03:39:53Z","0","0","0","0","0","0","0"
"def847dc7ff0713ea2e97a4e72bd6b3c8a6dcd7b","2018-08-08T04:02:47Z","0","0","0","0","0","0","0"
"a4a025966ac3c81ba15a69bfbba2aec4d2193a6a","2018-08-07T03:08:02Z","17","158","335","493","1","0","0"
"65e6796e0b3826262530ee864e0c7d76d5c6169c","2018-08-07T01:55:09Z","1","0","1","1","1","0","0"
"80d002c0a6722d288d3d143b0dfdd3e38ad0dcf7","2018-08-07T01:49:28Z","5","0","1328","1328","1","0","0"
"70c0c0990fe27be25b1074ed15498e36002505cc","2018-08-07T01:10:03Z","11","148","597","745","1","0","0"
"6181eb8ea148b13673254a87522824bd161aaac7","2018-08-06T23:47:56Z","2","56","16","72","1","0","0"
"be6dc4cff944a8ca7a9bace95695ef5a6c53b193","2018-08-04T15:00:11Z","2","43","0","43","1","0","0"
"78a764943a2ddc1d62f40b4a510b6259ef52bc19","2018-08-04T14:19:32Z","42","1165","2589","3754","1","0","0"
"161e1624aab4aa7d1540a106659076a498230927","2018-08-04T14:01:10Z","3","2086","374","2460","1","0","0"
"e01b510a38c9bb065e58f519cdf562a1d58328a1","2018-08-03T11:41:53Z","2","33","67","100","1","0","0"
"7ec645291d8ec976f93946c94ac34164d2aed9e7","2018-08-02T22:46:53Z","1","1","1","2","1","0","0"
"129b944db1996853dd65260ec6eac84880ecc634","2018-08-02T22:33:52Z","58","533","1143","1676","1","0","1"
"42ff0a22e68c42541d50c26272b8334cfcaa3b69","2018-07-31T23:07:55Z","3","204","87","291","1","0","0"
"53537a95a15b4592bc4dc701e09617acf0386aa5","2018-07-30T23:55:39Z","20","266","711","977","1","0","0"
"59fb2913cdae39fe5270a7202cd007143faa1b3f","2018-07-30T23:55:06Z","0","0","0","0","0","1","0"
"984f126a7cb2c525ed921b05bb9e48fddc8f03dd","2018-07-29T17:53:13Z","7","197","134","331","1","0","1"
"8b56bcca36e9dfc4507523325a997c73218037d3","2018-07-29T17:50:54Z","0","0","0","0","0","1","0"
"90742df5794df021cf22f7bb76eba1ee0ac15035","2018-07-29T17:08:20Z","36","0","398","398","1","0","0"
"f767ce6cb966658b1f38df113e823c8152840aa1","2018-07-28T09:33:44Z","27","0","245","245","1","0","0"
"ffcacd00f403beb124c6e1c25696e3575ebcb5e5","2018-07-27T12:50:29Z","15","335","390","725","1","0","0"
"23b5232cec152a7e51bd0b5cfdaf53853354db2c","2018-07-27T11:47:23Z","2","8","5","13","1","0","0"
"2bbf4e39b5a01944b7a20acf90c1a522dd3b147c","2018-07-27T10:26:23Z","2","10","56","66","1","0","0"
"1d07ffb905f156df6c4093b628f16510c53cc89b","2018-07-25T09:07:39Z","8","254","2","256","1","0","0"
"1d45516a0a89201c034b8514891b63e956ae7760","2018-06-18T03:16:53Z","2","4","6","10","1","0","0"
"5e8acec6fe754e0b6a936a02949f04b26474800a","2018-06-18T03:00:25Z","2","21","3","24","1","0","0"
"a9b7b0ee8e1c692467af20b6417c9406accec684","2018-05-02T03:24:02Z","2","8","3","11","1","0","0"
"00205bc328f5b2028311bd80f644e14a282edc26","2018-04-09T13:14:53Z","2","47","2","49","1","0","0"
"91a96ca3090eb3613fbf375fef7ff1fc4ca3814f","2018-03-23T09:39:29Z","38","522","8","530","1","0","0"
"fbdacec08e0b50bebd4fe67c7b9112c600618575","2018-03-19T21:47:40Z","1","27","19","46","1","0","0"
"1eaf38c4af42cfec4ea4c9ffbb0a88dba7509d4d","2018-03-19T21:41:33Z","5","155","16","171","1","0","0"
"ea97b24bdd300f4ab0f81f424e5dfd0cbf168be5","2018-03-19T21:15:07Z","17","948","9","957","1","0","0"
"63d77acb7e6f735c1c335c812530fffb6f3626da","2018-03-18T21:05:59Z","1","12","0","12","1","0","0"
"d99edf4adc0e29b62e04312d9c396c661918b870","2018-03-16T11:49:51Z","0","0","0","0","0","1","0"
"d43c10c6794fa60da2f6ab75ae030c87039aefae","2018-03-15T16:51:52Z","1","1","1","2","1","0","0"
"47f162ae58f287b5ff0468a9afa0997a02a8839b","2018-03-14T08:54:07Z","2","2","2","4","1","0","0"
"16e50d514b015464afee1547fdc686fef3c1fbdf","2018-03-14T08:53:12Z","3","67","67","134","1","0","0"
"f3afd61b84a77df8fa9ff0a87c2cfa10c7d15232","2018-02-17T14:07:56Z","8","344","5","349","1","0","0"
"f25ad463dd9ff400af42d6593d6c46bc0bc3ecba","2018-02-17T14:03:29Z","2","29","15","44","1","0","0"
"eaf87b89b8eea8dd5332b83d1808b8ec8e04840b","2018-02-09T04:43:26Z","0","0","0","0","0","1","0"
"b6b5b1adb3cb460a20d4e01a934091da953e9c86","2018-01-15T07:04:48Z","285","288","288","576","1","0","1"
"3ddc74818fe4ca262bb44aba51080fae18c91590","2018-01-05T03:46:42Z","2","37","0","37","1","0","0"
"77944cecae4acd84dc0e95a0fa91634c673a9e26","2018-01-01T23:38:42Z","2","4","6","10","1","0","0"
"659a2d24f7ba270b393080819d975cbe5272f43a","2018-01-01T22:07:40Z","1","4","4","8","1","0","0"
"2143b5d94f942a657c228e5c27dc9ae64e843579","2017-12-28T15:21:58Z","4","219","368","587","1","0","0"
"5a5d10a894e669ce0274d2495ccf633033abb6ad","2017-12-28T04:01:44Z","1","43","19","62","1","0","0"
"fe4c1f5eff2ee5ce161b732966b81b7f0cf4efa1","2017-12-28T03:49:55Z","7","554","394","948","1","0","0"
"711f179c6c12ac3072b7981591715db97ea75c48","2017-12-27T12:57:11Z","9","181","177","358","1","0","0"
"09d802d5cc507e9d09173938092c18af6d8e05e3","2017-12-24T07:54:31Z","4","96","0","96","1","0","0"
"325e7e1bc2dd1af9d3227af7706c29bc601f680c","2017-12-19T19:17:04Z","43","1835","127","1962","1","0","0"
"756cdc628249c5e9a4f060c72a7c65eaa23fe406","2017-12-18T17:05:42Z","5","55","212","267","1","0","0"
"1d2c9dbd311b674c305abfcda29123c4f4164032","2017-12-13T09:37:23Z","4","93","0","93","1","0","0"
"df456b1731371a3f3c27ae3e25dbcbca90f429e7","2017-12-01T23:03:49Z","3","5","2","7","1","0","0"
"0e31c503542fb71d074a62e89065759108db36ff","2017-11-26T01:14:16Z","30","0","86","86","1","0","0"
"ba70e8b280c60da683fd3facb7aacb4546b92d92","2017-11-25T23:53:58Z","3","19","12","31","1","0","0"
"4b473ed36539d136cb9bd62b7f6c4ab96f841200","2017-11-25T16:39:20Z","2","32","5","37","1","0","0"
"faeb00cd2a4678d375f1283c7bf7f676945a9f27","2017-11-25T12:47:38Z","0","0","0","0","0","0","0"
"d7a6d6132bcc166bd3fd033a860e7da193ca88c1","2017-11-24T07:35:08Z","0","0","0","0","0","1","0"
"f124b2081b15a3baae8fbd8b6c09ab6242193dde","2017-11-23T23:38:54Z","1","8","3","11","1","1","0"
