"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9a59e3c645d3d3e1e2b6d6ec1c3fa1c9718ef36a","2018-09-30T22:07:55Z","2","10","34","44","1","0","0"
"606a5a4b8a1c0fc28445d52ac7d5f68d90d49ba4","2018-09-30T04:23:43Z","5","420","49","469","1","0","1"
"1eef9c826047d2973484da8cf03e6367fb38fdfa","2018-09-30T04:23:17Z","2","11","35","46","1","0","0"
"ef9d5e386021f5423da18be1844db27acc3e67aa","2018-09-30T03:59:04Z","0","0","0","0","0","0","0"
"a3e5a2eb33da99acea20292ac9536330dbdab41a","2018-09-30T03:58:23Z","2","8","6","14","1","0","0"
"3126e4ef6775f4b9bf7c7ccb04cbab9084266727","2018-09-30T03:40:19Z","1","2","1","3","1","1","1"
"1802f2c9dd476f69ab1c6d953312b66677c13194","2018-09-29T10:37:53Z","2","53","47","100","1","0","1"
"d84e20729c1b0ee8e8c6075afe2282eb9b1a7f13","2018-09-28T23:37:12Z","0","0","0","0","0","0","1"
"57eb24676edc2a391af9ebf14b45c5660b08f005","2018-09-28T23:31:24Z","1","2","1","3","1","1","0"
"8fd04f1451d62ea941b62cab99da28dc1f437ce5","2018-09-28T23:29:34Z","0","0","0","0","0","0","1"
"0e97f2926c7b03bc0bda21ff0a422c61ab799e6b","2018-09-28T23:26:16Z","1","2","1","3","1","1","0"
"e416e7b67a66c24c00a2c724294a8404918085b6","2018-09-27T21:23:27Z","0","0","0","0","0","1","1"
"abd33727c2a49906429122e5c542c7aab7b855a7","2018-09-27T18:08:40Z","0","0","0","0","0","1","1"
"2e57a29a678334cb29d3662377468168e4b956d3","2018-09-27T06:00:51Z","4","32","66","98","1","1","1"
"5ced59fca10c32c8f30cc80064a5a532bb9def6a","2018-09-27T05:17:01Z","3","54","42","96","1","0","1"
"c400a76d01b1ff5c6ee6f47a27ea85686422a55b","2018-09-25T14:25:51Z","4","32","66","98","1","1","1"
"88627c091e5b269dc816600372b3d66f639e3729","2018-09-24T00:13:50Z","4","282","10","292","1","0","1"
"79f6eb90c9dd65e0c3829a05911e2548f1b3ddf9","2018-09-23T23:45:28Z","1","113","34","147","1","0","1"
"74f36cc38c5e5cb8e297b0b770860162581e8fd8","2018-09-22T11:29:11Z","2","30","17","47","1","0","1"
"63e9a6a1ad43196037d1f90f87b49b3f744c3578","2018-09-21T20:23:02Z","1","8","1","9","1","0","0"
"cfd98b2abd8d1a853c61609693c8d64d6afef2fc","2018-09-21T20:22:28Z","2","3","5","8","1","0","1"
"c084ef7728ce053cdb41be206402985398322149","2018-09-21T20:12:45Z","2","3","5","8","1","0","1"
"ef6ca821aa7372ab38556f3eb88537e79e011713","2018-09-21T18:54:33Z","2","8","44","52","1","0","1"
"5c4198a2404da123fea44543f48b3ea09b80722a","2018-09-21T17:30:48Z","2","8","44","52","1","0","1"
"018f8ad1e72f2a63ea032bec7c50c8de04587621","2018-09-21T17:01:32Z","1","51","7","58","1","0","1"
"f72eb8120b3fbed665d717350f5713c375793fa3","2018-09-21T16:28:47Z","2","30","18","48","1","0","1"
"cb523129ef0023101817f549eb9c13e92722aa3a","2018-09-21T13:10:13Z","2","30","18","48","1","0","1"
"0cef0109873453085642a94eabbef13bd2eeffd9","2018-09-21T13:09:11Z","1","85","11","96","1","0","0"
"f9ae4abc4d7b7c66a7106e2c3f19651307d7616c","2018-09-19T00:59:31Z","1","85","11","96","1","0","0"
"f72ad253ca5368fe389af786bec3b5fe174dd079","2018-09-18T19:59:25Z","1","8","1","9","1","0","0"
"826bca83e17c4c206c14731c48cdc1c60c9a3ad6","2018-09-17T15:07:06Z","10","835","12","847","1","1","1"
"d2740dff4f8e8967d7ccf9e05e0004fe499f6be3","2018-09-13T14:23:20Z","8","4277","0","4277","1","1","0"
"158525e9f543d65f152e2de5cb4aeef8a188b2f5","2018-09-13T14:04:37Z","8","4277","0","4277","1","1","0"
"504caa2778f315e75e9c3632c54d17eed9f647e5","2018-09-08T19:44:49Z","7","23","15","38","1","0","0"
"b14004d9bd7f57cbe8e94b38982871840d850178","2018-09-08T00:26:46Z","7","23","15","38","1","0","0"
"3e35ba5ca8a2e74cd4ece545732782a390969e46","2018-09-07T16:44:38Z","1","4","4","8","1","1","0"
"76828e56a0a343e7d09e3996de2373e5cd797185","2018-09-06T22:04:23Z","1","4","4","8","1","1","0"
"4d80e00c7822d1de4f6ad2bb46cbc1e0d221cbd8","2018-07-05T14:24:21Z","1","21","37","58","1","0","0"
"501c79344a0ca76a5c801e9c50edb4a03e7748db","2018-07-04T18:27:43Z","1","21","37","58","1","0","0"
"b618257942cfcf6167bad59fcee02094cc333c4a","2018-06-12T03:23:29Z","12","1252","69","1321","1","0","0"
"e7f4b1e682c4e0dfd98ab4529f71b127b2f7336f","2018-05-30T18:40:50Z","3","79","11","90","1","0","0"
"b9d6f192dca127cf7246a1743bca1a3f57268825","2018-05-30T13:11:20Z","6","517","739","1256","1","0","0"
"da5bcaf94b59d000a0c3a058bdff63eeba5b0070","2018-05-10T16:22:36Z","12","1252","69","1321","1","0","0"
"794cafb684899222b0391f9f5fa6250609a1afe0","2018-02-26T13:04:23Z","0","0","0","0","0","0","0"
"3b6d500405ce3633af23b74d5d6843a4ef8e3676","2018-02-26T03:20:30Z","0","0","0","0","0","1","0"
"ffc83ea2524413930c87dd852c22737fd97f1e29","2018-02-26T03:12:05Z","0","0","0","0","0","1","0"
"eafb756bbf9d757981e5696a7a3b0146ee8ba69d","2018-02-19T20:09:58Z","1","2","3","5","1","0","0"
"61438dd5f35282f33569a0fe1270f47df505be7f","2018-02-19T17:20:44Z","2","96","61","157","1","0","0"
"ce24d8b9ca6367a5bf49e0b551a8450be1ffb273","2018-02-19T14:47:56Z","1","4","2","6","1","1","0"
"d48be72904d7f6e1458b762cd936b1a7069c2813","2017-09-08T18:54:17Z","1","1","1","2","1","0","0"
"e50e3783a8ad552b9169aa40333860cd55ce055c","2017-09-08T16:51:39Z","1","1","1","2","1","0","0"
"58a3da75f2e5e1a057cd5360c024de5d9676aed4","2017-08-03T19:56:46Z","1","2","2","4","1","0","0"
"58170059346fc2cb6c6631c79e4dfa2f3f5abc34","2017-08-03T19:01:57Z","0","0","0","0","0","1","0"
"f7b91eac88ceb56f03e5404a8773e9ae6b0f88db","2017-08-03T18:34:13Z","8","45","23","68","1","0","0"
"0dbf50765df6f51878298dcc012ea8d8090fe8bd","2017-07-27T03:26:55Z","1","1","1","2","1","0","0"
"65e1c19bbfc6645845a9b5ac94e01a4597d56a25","2017-07-27T03:26:34Z","3","4","26","30","1","0","0"
"21fd8c6c06a6c5033dd3f2af2503792c8fe744be","2017-07-23T22:56:30Z","3","229","183","412","1","0","1"
"9a1e679442ff5322eff74b7e9a2c2c4d25dcdc15","2017-07-23T19:09:52Z","3","248","40","288","1","0","0"
"9429b4ad9cdd5da58fb10d98ef0d726aef1be8e2","2017-07-22T18:21:02Z","7","38","11","49","1","0","0"
"b6d99548c76a1b59c10485736c8d8fc953c61f9d","2017-07-22T14:42:42Z","2","62","7","69","1","0","0"
"bea06571b520d157bad3e99afd4f60368a2ce4d0","2017-07-17T00:51:16Z","2","115","0","115","1","1","0"
"5c5fedbf77ca6f1e90e48f9d2649f62e98c500b3","2017-07-15T15:44:04Z","0","0","0","0","0","1","0"
"0ec8bbf5fd76304d777c935ac8c306ee470e6470","2017-07-14T18:42:11Z","2","2","2","4","1","0","0"
"574a0c45acee678f0634203e670545c768e0546d","2017-07-13T16:34:59Z","2","5","1","6","1","0","0"
"2552a1372d980b75a28e5588a245f8dc287ec5c1","2017-07-13T15:01:49Z","2","11","0","11","1","0","0"
"0cbe9332c9aae4277d1c478cfc50fa1e440f4dee","2017-07-13T03:16:07Z","2","11","0","11","1","0","0"
"6a87cbd6e032063d2b4d88edad8754c1014b645b","2017-06-05T01:55:30Z","2","10","11","21","1","0","0"
"8b7c71809a079d56a7d8b2ad62e1671572f17659","2017-05-15T02:07:06Z","0","0","0","0","0","1","0"
"8d4171c878087dcf0b79dc1f5b5d7142f66ad8e2","2017-05-06T22:44:54Z","10","34","18","52","1","1","0"
"6c32d420e70f66fad958a5094c18a0b327de54c2","2017-05-06T19:15:54Z","9","13","13","26","1","1","0"
"30edc524c1c1629024de44d90989cbbb7c428dd6","2017-05-06T19:05:51Z","9","13","13","26","1","1","0"
"ea06bd352e40ad724774dc4b6f22fae7528be95d","2017-04-10T03:04:55Z","1","1","1","2","1","1","0"
"13c81dca6e4bae8c2e532c7f5f3eb75187ab35d2","2017-04-10T03:04:49Z","1","1","1","2","1","1","0"
"94381987e015ae3b592dbd7d7e5723165de8d143","2017-04-10T02:48:21Z","34","421","59","480","1","1","0"
"e521f413f64484431dbb10d1630e0ce993f2d48f","2017-04-10T02:37:53Z","0","0","0","0","0","0","0"
