"fullname","number_contr","sloc","number_pullR","number_issues"
"sparklemotion/nokogiri",153,12932,19,186
"junit-team/junit4",140,30775,18,121
"apache/zookeeper",64,84777,164,164
"apache/cassandra",274,382036,105,107
"rzwitserloot/lombok",68,62745,5,573
"jhy/jsoup",66,19926,44,155
"TooTallNate/Java-WebSocket",50,11620,1,22
"antlr/antlr4",149,59415,57,410
"elastic/elasticsearch",370,1184057,244,1730
"dropwizard/metrics",164,19098,7,149
"aws/aws-sdk-java",145,2729887,8,129
"Graylog2/graylog2-server",80,148286,24,671
"xetorthio/jedis",138,28850,57,148
"clojure/clojure",148,40946,6,6
"Atmosphere/atmosphere",100,35688,3,42
"OpenTSDB/opentsdb",97,85727,21,437
"go-lang-plugin-org/go-lang-idea-plugin",31,55040,9,424
"scribejava/scribejava",96,12301,5,9
"square/retrofit",121,20341,8,74
"arduino/Arduino",226,24819,160,1023
"rabbitmq/rabbitmq-tutorials",71,2664,0,0
"hibernate/hibernate-orm",337,705537,99,99
"rest-assured/rest-assured",61,36369,6,214
"netty/netty",347,257036,55,401
"jenkinsci/jenkins",293,153288,117,117
"rstudio/rstudio",64,221428,6,889
"spring-projects/spring-framework",313,616706,171,175
"stleary/JSON-java",25,3689,3,12
"SonarSource/sonarqube",73,485385,6,6
"dropwizard/dropwizard",324,51716,11,107
"json-path/JsonPath",34,14558,29,153
"MovingBlocks/Terasology",195,174861,32,415
"AsyncHttpClient/async-http-client",150,30871,6,37
"JetBrains/ideavim",40,37678,23,23
"jOOQ/jOOQ",62,171644,8,1524
"java-native-access/jna",112,79409,4,47
"perwendel/spark",118,10976,36,209
"JodaOrg/joda-time",66,86167,1,23
"eclipse-vertx/vert.x",141,106384,53,174
"swagger-api/swagger-core",164,49433,15,307
"spring-projects/spring-security-oauth",83,44897,89,612
"apache/kafka",343,225972,521,521
"apereo/cas",191,161261,4,4
"apache/tomcat",14,324330,11,11
"gephi/gephi",53,119721,10,411
"alibaba/fastjson",74,158504,6,792
"alibaba/druid",100,297125,15,1107
"lightbend/config",66,11946,10,155
"medcl/elasticsearch-analysis-ik",30,2067,4,172
"yasserg/crawler4j",29,5038,34,135
"spring-projects/spring-security",196,149215,42,887
"mrniko/netty-socketio",25,6008,14,215
"knowm/XChange",241,198324,9,201
"springside/springside4",21,13236,30,71
"hazelcast/hazelcast",156,768395,86,671
"b3log/solo",20,19872,0,6
"jfinal/jfinal",15,26883,8,37
"springfox/springfox",124,27919,25,341
"jersey/jersey",62,262694,93,552
"openzipkin/zipkin",69,33888,14,212
"apache/incubator-dubbo",133,102278,13,241
"b3log/symphony",22,31734,0,3
"Netflix/SimianArmy",46,19286,6,41
"square/okhttp",165,59886,20,205
"Netflix/eureka",59,34285,2,82
"prestodb/presto",242,590123,297,1426
"NanoHttpd/nanohttpd",58,7534,15,113
"jankotek/mapdb",39,5441,2,107
"NLPchina/ansj_seg",28,13622,1,46
"oblac/jodd",43,138116,1,3
"Activiti/Activiti",155,146148,27,190
"LMAX-Exchange/disruptor",27,13108,0,3
"JesusFreke/smali",24,55717,1,95
"mockito/mockito",129,44431,26,243
"OpenRefine/OpenRefine",83,69859,8,379
"spring-projects/spring-boot",388,263327,24,357
"apache/incubator-druid",244,475878,132,1178
"neo4j/neo4j",167,815028,8,261
"Netflix/Hystrix",109,50510,35,290
"orientechnologies/orientdb",121,483716,38,1250
"flyway/flyway",91,17654,28,180
"Alluxio/alluxio",361,328251,31,33
"ReactiveX/RxJava",224,274850,3,28
"spring-projects/spring-petclinic",44,1418,4,12
"alibaba/canal",43,54542,2,36
"SeleniumHQ/selenium",400,90048,103,496
"processing/processing",106,99122,33,497
"square/javapoet",64,8685,9,66
"mybatis/generator",18,79455,0,4
"mybatis/mybatis-3",111,55245,37,139
"Netflix/zuul",30,19359,11,110
"skylot/jadx",26,46884,1,139
"puniverse/quasar",17,60303,8,79
"code4craft/webmagic",33,12810,21,257
"socketio/socket.io-client-java",12,3682,8,249
"google/auto",50,24474,31,134
"Teevity/ice",40,5600,15,103
"OpenFeign/feign",108,16393,11,119
"stanfordnlp/CoreNLP",85,580693,6,133
"keycloak/keycloak",281,386352,54,54
"luontola/retrolambda",17,4887,3,20
"alibaba/otter",13,61800,1,148
"square/wire",41,41820,4,38
"eirslett/frontend-maven-plugin",74,2655,45,223
"checkstyle/checkstyle",180,199820,16,491
"alibaba/jstorm",24,208632,17,201
"cjlin1/libsvm",13,3675,31,87
"openhab/openhab1-addons",327,370597,60,295
"brettwooldridge/HikariCP",84,11982,13,94
"apache/storm",294,276353,37,37
"bitcoinj/bitcoinj",98,89907,34,254
"deeplearning4j/deeplearning4j",234,512317,18,660
"gocd/gocd",107,318681,12,837
"redisson/redisson",53,112028,12,200
"google/j2objc",52,538112,0,69
"vavr-io/vavr",1,3376,1,59
"real-logic/aeron",53,63967,1,29
"reactive-streams/reactive-streams-jvm",26,8192,2,12
"h2oai/h2o-3",113,187897,80,80
"bisq-network/bisq",113,115813,23,312
"google/closure-compiler",257,369946,16,764
"bytedeco/javacv",47,21538,2,93
"bytedeco/javacpp",25,18731,2,18
"claritylab/lucida",24,22538,5,59
"google/guice",48,65101,44,313
"google/guava",167,508766,59,787
"apache/flink",319,679067,403,403
"pagehelper/Mybatis-PageHelper",16,6349,0,30
"spring-cloud/spring-cloud-netflix",155,34695,23,308
"mission-peace/interview",20,27297,58,90
"codecentric/spring-boot-admin",59,13529,2,21
