"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b3d62cc1847e26d420c53c92665a4fe1e6ee7ecf","2017-07-22T09:39:46Z","0","0","0","0","0","0","0"
"b6a2e1169f8fa9d25e2acb8b84eb22378df627d9","2017-07-22T09:33:34Z","1","1","1","2","1","1","0"
"625f889248fee5bdf43d257b78c37f11fab1fe8d","2017-07-22T09:27:29Z","2","378","3","381","1","1","0"
"7ecc2822c395cd1cf52b3da7abad8d953963335c","2017-07-22T09:27:12Z","0","0","0","0","0","0","0"
"edc75f65538cc881b6c4f54852c5492949ab0a4c","2017-07-22T09:16:37Z","0","0","0","0","0","1","0"
"fb32ecaaaadd1af537a08cf7d581f1b1f739694a","2017-07-22T09:12:46Z","1","1","1","2","1","0","0"
"08d0a35484f9df797897ce3ad5d5b0743ebcb29f","2017-07-22T09:11:35Z","2","378","3","381","1","1","0"
"838845db75e832d90cf49aef81c7dac7f89f72f6","2017-07-22T09:04:10Z","1","10","0","10","1","0","0"
"858cf0e9e1eb216913a1b7559b675883c9a51068","2017-07-22T09:02:16Z","1","368","3","371","1","0","0"
"0edd1ae7271fc680792d5bbefab8ee9582ed6db9","2017-07-04T14:40:32Z","1","10","0","10","1","0","0"
"f4122c7b5c721592e1acbc5c55ad7c4c82e3759c","2017-07-04T13:08:15Z","1","368","3","371","1","0","0"
"89f60d2fdbfd401ffbb495dbb9ceea0b04232c6d","2017-07-04T13:06:37Z","0","0","0","0","0","0","0"
"03d7d20223babb05bd1828ac857828f76c82da45","2017-04-18T07:20:34Z","0","0","0","0","0","0","0"
"1ca3b3b06af373c398154772019faf822a1009d4","2017-04-17T06:39:27Z","0","0","0","0","0","0","0"
"d5f6899b06cd5cea4b5ad42ceb2abc0ba26e9f11","2016-12-12T11:04:12Z","0","0","0","0","0","1","0"
"1ed3df73ec48b1ca16cd9aec5ea5d8aa0d03cda9","2016-12-12T10:54:23Z","0","0","0","0","0","0","0"
"e5b65353e6ce3f74b5727c3eab85f90a3b4a9b36","2016-12-12T10:38:52Z","0","0","0","0","0","0","0"
"31519566811cac841164e76ffe33a752d1f7dd85","2016-12-12T10:31:37Z","0","0","0","0","0","1","0"
"1b47b1f9f1bd0f33297b89977c72299aa3154f99","2016-12-10T17:09:43Z","15","104","90","194","1","1","0"
"0bf4601500d769a85db622ad99604c82e1a472d9","2016-12-10T17:06:52Z","15","104","90","194","1","1","0"
"561461c3b46b4be14441efafb4e73be3c359d712","2016-12-10T16:50:23Z","1","28","9","37","1","0","0"
"950a2ae21664d1bde81b0be27d63541bf1dede54","2016-12-10T16:30:10Z","1","4","11","15","1","0","0"
"508253e324c7bf82b3a5f625904e9e82bb6b9b6a","2016-12-10T16:20:44Z","1","3","1","4","1","0","0"
"ea1a1f160cd4560633e8bb393227f26e969a1102","2016-12-10T16:11:04Z","1","1","1","2","1","0","0"
"37fae4e58cff2b92d82d6ae39b605b5fa6c9526f","2016-12-10T15:58:11Z","0","0","0","0","0","0","0"
"178bd9b8f72fb38a148d8d0a3c78cdd4622261ee","2016-12-10T15:57:13Z","11","68","68","136","1","0","0"
"6fcd90b6c756e4b21275eb8e37809412cbcde14c","2016-12-10T15:46:38Z","0","0","0","0","0","1","0"
"1a9fab4e2ede5c0e1cde01e30d21de38d6014a25","2016-12-10T15:24:53Z","0","0","0","0","0","0","0"
"d8c0efcb266a9578adc906f114c058cf75a2ec0f","2016-12-10T15:18:54Z","0","0","0","0","0","0","0"
"81df981302674cf1ec20d9236b4f891b155b9358","2016-12-10T15:13:55Z","0","0","0","0","0","0","0"
"6ed28fa5457715314d2e5d4c0291b5afe05d0478","2016-12-09T17:20:59Z","0","0","0","0","0","0","0"
"e0a6d7ce195a4a3bb2ea895fb474e08262cbf49c","2016-12-09T17:05:46Z","0","0","0","0","0","0","0"
"4b745bc3ef61537254f8f9088dee0f122e731420","2016-12-09T16:53:01Z","0","0","0","0","0","0","0"
