"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9d491e492cbe768305a7c80ce1d28bf3acbda712","2018-09-22T16:55:53Z","0","0","0","0","0","1","0"
"deed3719479b233286bf7e5567107c76e3c2f4e6","2018-09-22T13:17:42Z","0","0","0","0","0","1","0"
"4fbc5d539314cd4e6ad5abb64088674ea4dc39c4","2018-09-22T13:17:42Z","0","0","0","0","0","1","0"
"e7b1f200f4976292268310ddc7f297203ab80ffe","2018-09-22T13:17:36Z","0","0","0","0","0","0","0"
"8eb900b058a9254e1b7d7dcff2d56b7e0e4df0b3","2018-09-22T13:17:10Z","0","0","0","0","0","1","0"
"6eaa4e96a10ecd993bf2a810d70bcd897c29d26b","2018-09-22T13:16:06Z","0","0","0","0","0","1","0"
"837f0e60edce2eac84463f2aaa5678c046a802f9","2018-09-22T13:15:56Z","0","0","0","0","0","1","0"
"8bed9407b7985cd7f91b66cc8a8be7b0800981f9","2018-09-15T13:34:18Z","0","0","0","0","0","1","0"
"00c7e18ee7f646f2dc0eef424b514fccba4343a1","2018-09-15T13:27:45Z","0","0","0","0","0","1","0"
"dac1fae27a3e36d14da6ce14ae6d28fd8d687690","2018-09-15T12:56:02Z","2","1189","164","1353","1","1","0"
"c6041e6a48591d03adbfe3278ffbacc121003965","2018-09-15T12:56:02Z","0","0","0","0","0","1","0"
"1336507db21c936ed9b96c85d6d531d8672159b2","2018-09-15T12:45:07Z","0","0","0","0","0","0","0"
"140c35e39b80c35c33d7f5c646cb5fbf90aee694","2018-09-15T12:12:34Z","0","0","0","0","0","1","0"
"ee3baf45e3f7ca5d569c36cce8b024209251d2ae","2018-09-15T12:10:55Z","0","0","0","0","0","1","0"
"f8602ae9fee0e13853075bf524c008336635de95","2018-09-15T11:52:51Z","1","358","123","481","1","1","0"
"d7b05d41815cea3bccfdbce1e120a4637c7f774f","2018-09-15T11:38:44Z","1","831","41","872","1","1","0"
"2a7047fd7dda9737f3a8da363a88cb6b7cdcad02","2018-09-15T11:14:51Z","0","0","0","0","0","1","0"
"7288f9224a2f7306cf17da48260a85d8f5b5e586","2018-09-15T11:14:44Z","0","0","0","0","0","1","0"
"954f4e262821436d121345be6c8b8371901f3763","2018-08-11T18:49:00Z","0","0","0","0","0","1","0"
"e029a88b46d88a8be92f27bbee8ffb94fbd2ad22","2018-08-11T16:37:54Z","0","0","0","0","0","0","0"
"662a38888633639c65d82d9ece9945e95e03a2ef","2018-08-11T16:37:53Z","26","265","88","353","1","1","0"
"2bbbe92500e4b24d2ca4cf95bea1779b92aabc58","2018-08-11T16:37:29Z","0","0","0","0","0","0","0"
"081aedd6bbb6f0e8c105dd44cb2337d07f0e3b0e","2018-08-11T16:19:04Z","0","0","0","0","0","1","0"
"62ad8eb297c6949888fb152ae6fae95f4e4f1f79","2018-08-11T16:16:32Z","25","81","81","162","1","1","0"
"c2f0150b903727547e7cae08e4461b7fdd42f221","2018-06-09T13:45:29Z","0","0","0","0","0","0","0"
"17c45506bc05af2fa91c3670d5760de9fb50bcb8","2018-06-09T13:45:01Z","0","0","0","0","0","1","0"
"b67d0817f70c0a351d1a8e435df8e7749947b0ff","2018-06-08T15:17:43Z","0","0","0","0","0","0","0"
"28b19d03a01d5c9a489471d23b57fab187ddf9f7","2018-06-08T15:17:12Z","0","0","0","0","0","0","0"
"e3cfd94087a91c1f57cfb45dae27e24c39db8f61","2018-06-08T14:44:24Z","0","0","0","0","0","0","0"
"f50c8e5921cdb2aae22287c0f7fc4bd20bdfb268","2018-06-02T15:53:19Z","1","184","7","191","1","1","0"
"6833ca54c45179a7b9ae29f1fbcd892f0106906b","2018-06-02T15:30:57Z","2","11","4","15","1","1","0"
"a2c64c531b343588f1a9856b854bbd3a038af9f4","2018-06-02T15:30:57Z","0","0","0","0","0","0","0"
"fc9654d50e2f51c952646f551ad1eebc8ca11fcf","2018-06-02T15:30:15Z","0","0","0","0","0","1","0"
