"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"6da8f6ecf4a1baaf36f19b4067120b4a4ff9a76e","2018-09-29T08:28:07Z","8","135","34","169","1","1","0"
"3cb258947436a0b6502eac8497abc662d6f27d40","2018-09-13T01:52:07Z","0","0","0","0","0","0","0"
"1d45e4a48583ac94b327a640916c43c589507ec7","2018-09-13T01:50:11Z","2","19","7","26","1","0","0"
"94c0dffd39b7424f6a11627e29e1c57d357fccf9","2018-09-12T10:03:20Z","17","413","230","643","1","0","0"
"cdcb76ffb54176dd7e5bbffc27e0934a1930de1c","2018-09-06T10:13:00Z","7","477","348","825","1","1","0"
"6718e0684e4d592d91c1bf2779312aa43bf88818","2018-09-03T02:42:35Z","0","0","0","0","0","0","0"
"3c6fa6b11cc265aab9780529a00f4d666ce1f96a","2018-09-03T02:41:04Z","14","516","507","1023","1","0","0"
"0dc2c95e9f6e396a29297705875e3e718e960015","2018-08-30T13:48:41Z","0","0","0","0","0","0","0"
"dd1e760de6b734ca15b5149d914acc8449672a9f","2018-08-30T10:19:34Z","0","0","0","0","0","0","0"
"c73e7a085225d150ccce429ebe5750093e7c104c","2018-08-29T06:31:38Z","2","77","0","77","1","0","0"
"1bd2f3437e07dbc43a89c55566df33e5cfaf6c0c","2018-08-26T10:35:00Z","0","0","0","0","0","0","0"
"c1e60f36792dd12a1eb3acce19cb149e3a6f90b8","2018-08-26T10:34:40Z","0","0","0","0","0","0","0"
"63f6afcf95c0ea29b27fb80347c5cc112aa54544","2018-08-26T10:25:22Z","0","0","0","0","0","0","0"
"ca4230fa1a20fb8f50a988c268bfccfbf33a4f15","2018-08-26T07:37:19Z","0","0","0","0","0","0","0"
"a35844745c0602b498e359f0282a85fd0f12f9e7","2018-08-26T07:10:22Z","2","49","9","58","1","0","0"
"db383b30b4f8eab892d8dcba7f5b994de1af4a5c","2018-08-25T04:17:22Z","1","3","1","4","1","0","0"
"1a02cb445436619d6bc766400aa6416dd5c8fe94","2018-08-25T03:48:22Z","3","228","234","462","1","0","0"
"d049f20bbe71b0abdee285c5d0678a1f6cefed79","2018-08-24T16:51:06Z","5","109","21","130","1","0","0"
"63941ede041d46f995cbe0519b8c33750f8cb674","2018-08-23T11:42:12Z","18","200","51","251","1","1","0"
"d7d340334ea53ea4c4935e0fd5d6b5dfa1230dc8","2018-08-11T14:35:41Z","0","0","0","0","0","0","0"
"f09f8040f9a62f7a0295b86c4e80f0adfbd02a5d","2018-08-11T14:34:18Z","1","0","4","4","1","0","0"
"67bee0f04c1b0e5e73501ef20d836facc670a83b","2018-08-11T13:53:22Z","1","1","0","1","1","0","0"
"c792c31ead99eb48c1df5545913a13de9253b2eb","2018-08-11T12:54:46Z","1","5","0","5","1","0","0"
"a31510e5df685b2d3c4561cfb531b3200df17207","2018-08-10T09:35:00Z","6","28","52","80","1","0","0"
"15726d6f275f96a05b6c557aa1775f202f582070","2018-08-09T06:21:28Z","0","0","0","0","0","0","0"
"07925ad23b552a34cb18c0ce4ff10dcdb73df9a0","2018-08-09T06:08:13Z","5","34","26","60","1","0","0"
"205943d378b38c48deb15c9d1e85affea806a0d9","2018-08-08T07:30:49Z","4","49","179","228","1","0","0"
"a269b5fce0790c4fc11944cbd4e314f306c390ef","2018-08-07T15:24:56Z","2","7","2","9","1","0","0"
"608e2d9a816bb45ae0fcf369fd6f2c8f5a52b7fb","2018-08-07T14:46:42Z","2","40","10","50","1","0","0"
"f36502e027bcaeef77f78dbbc0d1b00790d703b8","2018-08-07T03:21:39Z","0","0","0","0","0","0","0"
"f443b3546af10796b03e243ad6fbcecfe6ba89fb","2018-08-07T02:31:39Z","1","2","1","3","1","0","0"
"1e9621afdf1acf1b19e7d079cea8bccd2c7179ff","2018-08-06T09:16:20Z","8","7","64","71","1","0","0"
"22a77c24ec35652d40b22665f94bf4531788f613","2018-08-05T02:31:24Z","3","8","4","12","1","0","0"
"a28bee559d71573ed47823f40db18d398c446689","2018-08-04T14:25:17Z","10","622","187","809","1","0","0"
"a8a722dfc3f4b57aaff542b72132521091c9177e","2018-08-02T06:30:25Z","0","0","0","0","0","0","0"
