"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"f02351be69cc3237893f0820253075cd5de97504","2018-07-24T17:37:29Z","0","0","0","0","0","1","0"
"36fea1c2ad5d28b70814aadfa4f06c86cc80bae8","2018-07-24T17:33:14Z","1","3","1","4","1","0","0"
"acdf747a991739204e32e0fde5c893490cfb4e40","2017-05-18T07:30:57Z","8","107","3","110","1","0","0"
"89ab5937c6f1a67d4b413db5614ced23ce696742","2017-04-24T10:06:06Z","0","0","0","0","0","0","0"
"1b597ec1adde5a5a2eda513f496948769543b350","2017-04-23T15:47:31Z","2","2","0","2","1","1","0"
"7e489553833b7445079b5f0e11622844ecb17ee1","2017-04-23T15:44:45Z","3","10","20","30","1","0","0"
"355e83b4baf09258de69043e18514799f2890d45","2017-04-23T14:52:12Z","1","6","1","7","1","0","0"
"c300b2e479c87fb125e0ae6d299190b11967c71e","2017-04-23T14:38:03Z","7","191","2","193","1","0","0"
"872669301571f74b891dacadcf715d912866d0d9","2017-04-23T14:35:38Z","0","0","0","0","0","1","0"
"02bc21f88221d4e71277117fc61b52eeeca3e06b","2017-04-22T09:44:08Z","2","23","6","29","1","0","0"
"ba6ba4ebe9eb2680574cf62216d23b78c5f0221f","2017-04-22T09:24:05Z","1","1","1","2","1","0","0"
"f5dd92efffe482e33ae39cc67c33df7146277b43","2017-04-21T17:59:31Z","3","19","2","21","1","0","0"
"351cf2b986d9739f0ad843fcc5772334bc6eed38","2017-04-21T16:16:28Z","10","23","37","60","1","0","0"
"2253b16797cc480260c2d60c06b819c25062534c","2017-04-21T15:09:23Z","12","30","25","55","1","0","0"
"6cd18555d3efbe1fb9b00bacf7c13d2b75768506","2017-04-21T14:21:11Z","1","8","3","11","1","0","0"
"01bba672892f447257e8ece2ff748dcf84cbdf4b","2017-04-21T14:20:04Z","3","6","4","10","1","0","0"
"e0ee4a7ddee07ff553ccbd0b70832e853769ae7f","2017-04-21T13:48:54Z","2","93","4","97","1","0","0"
"699aa05a2d3eb9e2db10b4ba6646e0101491bd87","2017-04-21T08:15:14Z","0","0","0","0","0","0","0"
"4cf2a6bb6839c72488c3cb12e182609fcaf5b26d","2017-04-18T09:37:54Z","1","2","2","4","1","1","0"
"3cc6f591c5f58ca5e637d2d63ae1b46c7e5c905c","2017-02-01T06:08:18Z","0","0","0","0","0","0","0"
"94692447dbd38cbaaaa4f4da04099bae0fd7728a","2016-12-06T06:50:57Z","0","0","0","0","0","0","0"
"3023e4a1eeb566de744f3d1eeee65d601d7267dd","2016-12-03T09:09:04Z","1","8","8","16","1","1","0"
"090f5ec7f9f502aacc2f078a31231fddd881ec32","2016-11-16T16:38:02Z","0","0","0","0","0","0","0"
"8603d5ef7f720076b691c6db902af1566d4aa3f5","2016-11-15T12:45:14Z","0","0","0","0","0","0","0"
"b8a6110aa8e0bcd35fd4b87c07a713dadc87fb87","2016-11-15T12:27:10Z","0","0","0","0","0","1","0"
