"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9fe399a27e4552a1ad27b31f2c23d557b551e9f1","2018-09-18T17:48:16Z","0","0","0","0","0","1","0"
"81aa208126e8a3cca77c8c0a7da310de26941d17","2018-09-14T20:23:04Z","0","0","0","0","0","0","0"
"d1f7ac3d0f29d6f5cbf975b6c56608e988d19368","2018-09-14T19:55:41Z","0","0","0","0","0","0","0"
"0d2a0e3a47aef4a642e0f8cf402a95f9d307aa12","2018-09-14T19:51:32Z","0","0","0","0","0","0","0"
"97d7222da0604b80459bc8c0d6f5849fb56fed69","2018-09-06T11:13:26Z","0","0","0","0","0","1","0"
"37c9d5f4c67f4d377e686fb6bdbae4664e609bcb","2018-09-06T10:54:49Z","0","0","0","0","0","1","0"
"803f3506fac9933224e96b1cccae4365103933af","2018-09-06T10:43:08Z","0","0","0","0","0","0","0"
"358ebea07d293c341cbf341e170bdb81d5ef3491","2018-09-06T10:42:52Z","0","0","0","0","0","1","0"
"3d15daccb3bf67a92d6b421961a5a931c86d260d","2018-09-06T00:12:00Z","0","0","0","0","0","1","0"
"8e0bcf4310e8904fab63368dc1c964816b8a7957","2018-09-06T00:09:22Z","0","0","0","0","0","1","0"
"ab0c4e535a9e7a40db54d2dcf4fdb24b63033f7f","2018-09-05T23:31:58Z","0","0","0","0","0","1","0"
"83f5b21574fe6decb2891da552bc1d1e4a33a1f5","2018-09-05T23:31:07Z","0","0","0","0","0","0","0"
"dfa783689545b763716e38b06005ba48fe7ee1bf","2018-09-02T20:12:20Z","0","0","0","0","0","1","0"
"84acc42cd9a798ce31ae55236d0c95e90c0ecfef","2018-09-02T19:41:05Z","4","32","16","48","1","1","1"
"fe1f48e0429af4235acc363ece7f348b99811652","2018-09-02T14:25:36Z","0","0","0","0","0","0","0"
"e752ebf8ffb8a7fa331c2f34a61ce3e6a88ef2e5","2018-09-02T14:01:33Z","0","0","0","0","0","0","0"
"859b7c6d3fbc1c2fb907e0ae8fa8b0392aeaf32a","2018-09-02T13:55:49Z","0","0","0","0","0","0","1"
"da133f482f5d5bcd19d278e50978d3b48f4db246","2018-09-02T13:55:36Z","0","0","0","0","0","0","0"
"7a481f68e0f9d53084ebc72d3b3e950788d560c4","2018-09-02T13:39:07Z","3","30","16","46","1","0","1"
"b49bba19e4e489c1ba6e7aa8835d00e93eaca481","2018-09-02T13:37:59Z","1","2","0","2","1","0","0"
"846d6a783af2953b497c7202fe7a0bc46e3691fb","2018-09-02T13:37:37Z","0","0","0","0","0","0","0"
"fcbe62090acdec0f56436f7fc7a1098c44e00b7e","2018-09-02T13:36:48Z","0","0","0","0","0","1","0"
"3f85dfa6c9fc7f81a991b7104888f282a37a36cf","2018-08-23T21:14:38Z","1","1","1","2","1","0","0"
"b7d33cb623798822a6cafa39f3a7623c19e239c3","2018-08-23T20:14:24Z","5","10","10","20","1","0","0"
"9e9eb9bcff298cc4601e1987852edc587d1161fc","2018-08-17T21:19:44Z","0","0","0","0","0","0","0"
"5d671c47ad8991dc20a205b9ddefa48a6a79f728","2018-08-16T12:03:49Z","0","0","0","0","0","0","0"
"66988b94697a41d5eb8e5692ca4fc92315023ea8","2018-08-16T11:16:58Z","0","0","0","0","0","0","0"
"aa0047c76cee2a14c1bd75496271a2361140a4c1","2018-08-08T00:52:44Z","0","0","0","0","0","0","0"
"6231edfcfddebf4b3b8e060d334dfd23f978a5eb","2018-07-23T17:22:27Z","1","7","0","7","1","0","0"
"6460fde436a677040643929981ee4fd409f17071","2018-07-20T19:23:05Z","7","64","5","69","1","0","1"
"abdd536a18a84605f20b41217125ad360162a422","2018-07-20T19:21:44Z","2","17","0","17","1","0","1"
"4bda4674f9605666fbcbf777f2ece0438de13119","2018-07-20T19:20:39Z","1","2","2","4","1","0","0"
"564b2851269cc4287144eb28e8465dbc92290668","2018-07-19T16:14:48Z","1","3","1","4","1","0","0"
"76bf6ff0c8442c6811c942280e9a2c514a379daf","2018-07-19T16:12:07Z","3","42","2","44","1","0","0"
"eecfc18c825f49b1ecebcbb949f0fe7dfaf4dfee","2018-07-02T15:37:55Z","1","1","0","1","1","0","0"
"92bec503e96c15c6defa5c41785652561b7af0ca","2018-06-17T14:53:03Z","1","5","0","5","1","0","1"
"985f8bb42f22f0f2dfa37ffc25e81eae868a4a56","2018-06-17T12:45:25Z","0","0","0","0","0","0","0"
"925c6c04812f9c967c98f30c68dbee9589f08966","2018-06-14T20:36:19Z","0","0","0","0","0","0","0"
"39ab6b636b3483739d972024d115124fb76fbfcd","2018-06-14T20:30:16Z","1","5","0","5","1","0","1"
"b984507f6c7f00aa08cf4d8c204bbfb5d40765e4","2018-06-12T13:44:31Z","1","5","0","5","1","0","1"
"06aa8db942d54f1fc28818038eebeb28768fdf96","2018-06-12T12:22:10Z","1","5","0","5","1","0","1"
"016fc514910a1d932b350f9dfade012df28afdea","2018-06-12T11:10:51Z","0","0","0","0","0","0","0"
"fbc0009a474d2b8ecab7ed9fb01f3aa0f73db143","2018-06-11T20:27:54Z","0","0","0","0","0","0","0"
"5eee6d2e48c29f8d3dfeb2658e272e1b375ab107","2018-06-11T19:10:57Z","0","0","0","0","0","0","0"
"b97a56054ee9616fbf330cbccdd40682549fb3dd","2018-05-11T17:32:17Z","0","0","0","0","0","0","0"
"5c79f4228b10473e4742b25187c48477e60990e8","2018-05-11T17:31:08Z","0","0","0","0","0","0","0"
"e6788f2cb4a8c80de2977be3d092977a3dbda72f","2018-05-03T19:46:05Z","0","0","0","0","0","0","0"
"21fbe525910bcffdb00f614ac4b2826e86da882f","2018-05-03T14:06:49Z","0","0","0","0","0","0","0"
"9ba2b8bd5f7ef510b813dbf1ae6f0c7242d331d9","2018-05-03T14:06:17Z","0","0","0","0","0","1","0"
"b08fd5c91355de55effb5f6494c56f53828427f3","2018-04-26T15:38:06Z","0","0","0","0","0","1","0"
"3879b90f7610d0465ba6624a51e9117f60a11b51","2018-04-19T21:10:10Z","1","33","0","33","1","0","0"
"3a33bfc48f22800ce7083d618deac9502fb7c068","2018-04-19T21:09:44Z","1","13","7","20","1","0","0"
"684e96a4fe4d6a9f22860da1da68bd5252dcd029","2018-04-12T23:57:01Z","2","16","16","32","1","0","1"
"ba9b532283852eb1ea70de00b2caba6c4eba4880","2018-04-12T16:00:38Z","1","7","0","7","1","0","1"
"061ddb8ee63d59c4eec0a3b4ed9ab1bb43f85ff6","2018-04-12T15:45:29Z","1","9","16","25","1","0","0"
"d9849484126cca825ce4f8fd02e71f973ec32a2f","2018-04-11T20:06:58Z","0","0","0","0","0","1","0"
"aff6354f5463dd79257a2850bc1615700dda8d7c","2018-04-07T10:50:09Z","0","0","0","0","0","1","0"
"e906054c8a4cfdf0b1948cc387bca800b2cea9e7","2018-04-06T19:17:05Z","8","56","103","159","1","0","0"
