"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"44072d5c21bcdddc2a1223eb170f5f6b5a92f095","2017-12-07T16:59:39Z","0","0","0","0","0","0","0"
"711fcafb35d1ba0bb1fb6a7b646110afa9824088","2017-05-17T21:52:56Z","1","7","5","12","1","0","0"
"18f829040653fbee31337d4634c3e0005f87f4bd","2017-04-13T20:49:12Z","1","40","29","69","1","1","0"
"9bfea75734acaf2cad7a025ee763b6c8eafa5448","2017-04-06T18:04:07Z","10","344","73","417","1","1","0"
"c7e0fb5e6a6ef745f171e2b29c4a6e488d1652ae","2017-03-25T18:04:41Z","0","0","0","0","0","0","0"
"6e3e1d066174b0b8675b51e5fa60b35cbf31b5f6","2017-03-25T17:57:27Z","0","0","0","0","0","0","0"
"a6ba112895496ceb305bb92d5fe5fb1b2aec864d","2017-03-25T17:50:14Z","0","0","0","0","0","0","0"
"df041f04254ea5805765730632dd4b8bd9848887","2017-03-24T18:47:31Z","0","0","0","0","0","0","0"
"bff09240edef82f0eb3bc57035c47be2a3961356","2017-03-24T18:34:03Z","0","0","0","0","0","1","0"
"6a151a768765b94ce0f58cc63cad12f8e7d1e759","2017-03-24T18:26:09Z","3","124","47","171","1","0","0"
"f464d65c40dbb154cd0c6206f81cf077180affc7","2017-03-24T17:50:51Z","10","169","115","284","1","0","0"
"85962f0b6fd47096b6a7f625e88db7b87d9cfbb6","2017-03-24T17:27:39Z","1","2","0","2","1","0","0"
"a2bd1f661ab8476acf5648ecc8d41690e8919cc5","2017-03-24T02:07:07Z","2","50","0","50","1","0","0"
"15090785e643b0bea3ca4a712f5e64c36861e050","2017-03-23T20:43:40Z","2","3","3","6","1","0","0"
"704f4f6f1646e164d78bcd4a3a91e737ed1088be","2017-03-22T18:52:11Z","0","0","0","0","0","0","0"
"ce38fa4e436453a3c3847dabae27aac405587b27","2017-03-22T18:49:53Z","0","0","0","0","0","0","0"
"1d21165a7bd36e1fc46676d3d29c75be778f41dc","2017-03-22T17:35:57Z","5","99","18","117","1","1","0"
"d7623d7ea2e75ca5483702886dcf0059e0edd29f","2017-03-22T17:35:54Z","0","0","0","0","0","0","0"
"fb9856c4eea8e25b35c0dc7bbdb3e074f94f086e","2017-03-22T17:33:04Z","0","0","0","0","0","1","0"
"89f6d72da9c2ce12e3bcc3899323c751cae3f110","2017-03-22T17:32:17Z","0","0","0","0","0","0","0"
"f531ad293152f490c5a231982c1f304dcecd0ff6","2017-03-22T17:27:25Z","5","33","14","47","1","0","0"
"5cd3e7f085532fb9278813bb3a7b12baeac726ae","2017-03-22T17:04:10Z","3","40","3","43","1","0","0"
"06c98dcc4f74e3576e3c2e08c8a769ea0fdf4650","2017-03-22T01:30:13Z","1","1","1","2","1","0","0"
"d4f9d7f5ad8fe54c94ae5f3eed7b71468bdd222d","2017-03-22T01:27:49Z","2","43","18","61","1","0","0"
"338ee864392087f0233ef42765730e00810cd020","2017-01-16T17:31:07Z","0","0","0","0","0","1","0"
"37dd06ac706163f92a02bea44f9d132a5852ead1","2017-01-16T17:07:33Z","1","1","1","2","1","0","0"
"bd7268f77915ad51d799d11c5a670df8fcaebf9d","2017-01-15T19:16:46Z","0","0","0","0","0","0","0"
"2038d5d75bee5ee6b97d7eb45923a01f706afe7f","2017-01-15T19:13:35Z","0","0","0","0","0","0","0"
"908ac1eb93d62afd03ded79a777eb20b6fac87d6","2017-01-14T16:20:45Z","1","1","1","2","1","0","0"
"70cd43b717a76c922875745d4e9f579ca6b27d89","2017-01-12T18:03:21Z","0","0","0","0","0","0","0"
"7d0b9f4e9afb5f3af095a38ce0aaeaf898b55c84","2017-01-12T17:49:41Z","0","0","0","0","0","0","0"
"cd5057016ef0f673b358b369ee936de94b1d89f4","2017-01-12T17:48:00Z","2","27","21","48","1","0","0"
"48d85926e8a29a58aaec96a572b54a7cb88c436d","2017-01-12T17:30:54Z","0","0","0","0","0","0","0"
"4a95ed1ad9f55ea25b71cbee364ed111bfcf0feb","2017-01-12T17:30:13Z","0","0","0","0","0","0","0"
"d67928c8f5e5092e0d691520c5313ce3a4cdd2f8","2017-01-12T17:28:57Z","4","244","78","322","1","0","0"
"b7e241025000e49bce149caa7695aeb0531a168b","2017-01-11T15:23:06Z","0","0","0","0","0","1","0"
"d27a1cb8d02e5c0c5564505b31ce39d5fcb426fe","2017-01-10T19:54:19Z","0","0","0","0","0","0","0"
"95db54872cc32241c76359397a7b181f071c269b","2017-01-10T17:42:21Z","0","0","0","0","0","0","0"
"130c1b90075497fd8def4d52cc8d26322760e647","2017-01-10T17:41:45Z","3","37","4","41","1","0","0"
"f906e3f8b83cb566053274fba6887083ac57456f","2017-01-10T17:40:17Z","3","32","7","39","1","0","0"
"9cc85cd782e72038c7f0ee3e2db1e471c3adccff","2017-01-10T17:22:21Z","1","11","1","12","1","0","0"
"e1958c07bbc02f4207a2333804106a93ac89bed3","2017-01-10T17:13:50Z","0","0","0","0","0","0","0"
"cb01c33b08784fd962c59d4b0d4fe5838238bed2","2017-01-10T17:12:35Z","0","0","0","0","0","0","0"
"cc99d794385f485e0afcdec96410dd729c3d9b70","2017-01-10T17:10:20Z","1","19","13","32","1","0","0"
"2910491466d63e782e804b03dd04d648af572a08","2017-01-10T17:10:02Z","1","23","17","40","1","0","0"
"367995bd5b864640fc25421c80444caf02d3d2da","2017-01-10T17:01:42Z","1","6","6","12","1","0","0"
"867c21df099df17219b15fd3326a96f9527d0b6f","2017-01-10T16:58:41Z","1","1","4","5","1","0","0"
"64088d790d69ff2cc317375fa25dd50ac2b4e65d","2017-01-10T16:53:49Z","0","0","0","0","0","0","0"
"df9a14a34f59e9735fabdb5f7860e49a39905a82","2017-01-10T16:50:30Z","2","13","1","14","1","0","0"
"dc2470476f14a6a926fa9715e570c758a0dc98c2","2017-01-10T16:44:29Z","1","5","1","6","1","0","0"
"4b485ef202a4cfcae2a45246d7859f79d6099cf4","2017-01-10T16:43:42Z","1","5","1","6","1","0","0"
"c8ad2930d179123e8357fe3cb58bdc20d6791eaa","2017-01-09T17:02:40Z","0","0","0","0","0","0","0"
