"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5f683281317db368ed00cd01de50fabf8fa6d65d","2018-09-18T20:49:47Z","0","0","0","0","0","0","0"
"61826fb42bb000039cef7febbe52d1e9a8e5d2fb","2018-09-04T18:35:09Z","0","0","0","0","0","0","0"
"6b5495a13b8bec4af1ba3eef269bf87ec8622020","2018-08-22T14:26:50Z","4","26","43","69","1","1","0"
"7a24f77b59a221f07c95bd70e834cf60b02c29c2","2018-08-09T19:40:15Z","2","34","1","35","1","0","0"
"562ed171c3dec1120818ccdb65ba05df0b8d3bd2","2018-08-02T07:18:56Z","1","10","1","11","1","0","0"
"241f052a7bdebe498519d858f81912af14f4d006","2018-08-01T21:19:16Z","0","0","0","0","0","0","0"
"f239376b03f372b4649dd3f16c665aa2f9303d8f","2018-08-01T17:32:00Z","4","14","9","23","1","0","0"
"9dc5e5def6b5f9ce1cc26433b96ff41162598c06","2018-07-31T20:43:19Z","1","8","0","8","1","0","0"
"23d2bab764c49859ec16788697acd4e68b3527ba","2018-07-30T03:42:42Z","3","58","3","61","1","0","0"
"814121d6860172769100e61d4328a5a177669c2c","2018-07-30T02:37:05Z","1","7","1","8","1","0","0"
"4a5442e821e07a34e4478d6eae26e8fc8f67c425","2018-07-30T02:33:15Z","3","46","7","53","1","0","0"
"3b67822b25ac7da53a001cd8cbdc4a2c0da2184f","2018-07-19T19:01:31Z","2","18","3","21","1","0","0"
"24754364c82c65a725dee7c587ed07b791682d25","2018-07-18T18:32:24Z","1","7","0","7","1","0","0"
"131589670f485bdd85a606d3a125af0b0ae1a77d","2018-06-20T20:36:34Z","1","2","1","3","1","0","0"
"efca85829bb36fbd723aa2fa5c29166322ac439f","2018-06-12T11:11:26Z","0","0","0","0","0","1","0"
"3d64903e54a0547ab6b98cd241fcd026a9d05ec1","2018-06-12T08:08:56Z","0","0","0","0","0","1","0"
"ad3b4911be2926628bb9514d9643f28daa77c439","2018-06-06T19:58:58Z","3","33","3","36","1","0","0"
"a0d92a631f9ac576114795cdc6f93d08c5339857","2018-05-30T18:53:07Z","1","6","2","8","1","0","0"
"f1b38219b4ed74e4f707c280a3c7c15b0faca76a","2018-05-30T15:58:18Z","2","22","2","24","1","0","0"
"d59e9ccabf0fc2977b6402bc94c0657669669057","2018-05-30T15:46:54Z","4","56","17","73","1","0","0"
"4c81db3a0945b9f787ef2b44abe7b52ff872d870","2018-05-29T21:01:12Z","1","1","1","2","1","0","0"
"a8cfd4be9fbe7e0863928db8af2c52748add7e41","2018-05-29T20:39:08Z","0","0","0","0","0","0","0"
"894601700d295ce6532448b98e0e7e82a698b454","2018-05-29T20:05:36Z","1","14","14","28","1","0","0"
"d72951eb04ea525c8a37955d468d0ba4d866315b","2018-05-29T19:43:16Z","4","153","109","262","1","0","0"
"ca3ec3ac128bc5e3516dfe1a58370779b83c06fd","2018-05-29T17:13:51Z","2","14","2","16","1","0","0"
"5ce857bb24b00661190d3e6f545a596270332031","2018-05-29T16:31:32Z","4","99","77","176","1","1","0"
"f6512d3e1c8e48e4232a4337f2ff6a82a6b86963","2018-05-29T16:14:28Z","0","0","0","0","0","1","0"
"52f095d94587524b7bbef508964d698265a88e00","2018-05-25T19:45:58Z","5","17","20","37","1","0","0"
"91da937d4fa4dacd3b1a9f1bc3fe1a35c213246d","2018-05-25T19:41:06Z","5","119","133","252","1","0","0"
"9e3095957cd0e7fd30996a083c993673a11448d9","2018-05-25T19:38:23Z","0","0","0","0","0","1","0"
"fac44b74e99ea6d17d6085aaf5bde8358a9bd468","2018-05-25T18:26:48Z","2","11","14","25","1","1","0"
"ed6ba3a5eb2c450757405264756805fbf16a48e3","2018-05-25T18:15:25Z","2","32","2","34","1","0","0"
"df70e983be2f4b37930b78bf8fee90e77b57e53c","2017-10-09T19:55:35Z","10","45","51","96","1","0","0"
"4d28dcefacab520866be5954060e7c12234386b4","2017-10-09T16:46:22Z","0","0","0","0","0","0","0"
"8ab528a566d2450cd9496e91ce58df7bb6ed0a68","2017-10-03T21:42:23Z","1","3","1","4","1","0","0"
"9bbf050cd293d6a0b4fa75bdfcb3c58b0d73a809","2017-08-04T15:59:19Z","2","17","14","31","1","0","0"
"5a545aca206821269e83e140ab62bf59ff218168","2017-08-01T21:13:40Z","2","3","3","6","1","0","0"
"0987b311d971c2e60fc10d0366ce72098e3520fd","2017-07-28T15:54:12Z","1","25","0","25","1","0","0"
"ff105abf1252a7aeb6e17e6c2f0b4bf56ab0bef5","2017-07-27T18:42:55Z","1","12","13","25","1","0","0"
"422ca7a544f63c2ec47049d3998423a30952d022","2017-07-21T16:58:20Z","1","10","0","10","1","0","0"
"09df937c8825bffefba935480df8ce5780dc1737","2017-07-17T19:00:11Z","3","128","10","138","1","0","0"
"ec8ac2a371089121942efc3828de2085ea564696","2017-07-17T16:56:41Z","1","1","0","1","1","0","0"
"66b0458c0ef2a5c904b7b008b23f313eb9970df4","2017-07-14T18:10:05Z","1","1","1","2","1","0","0"
"bd0cd361f2e9c828b1fa20486b351d0c9b8ca13b","2017-07-11T19:54:19Z","0","0","0","0","0","0","0"
"60c237bf8263bd1ce18e2bdbadd0bda66630a2e0","2017-07-10T22:08:03Z","0","0","0","0","0","0","0"
"bae8a16d8cea5e14be1a2057cb2dcff78ffd4b12","2017-07-10T21:02:51Z","11","1042","201","1243","1","0","0"
"55e8aebb870c4f6a2cfc157224c8ef609e1c721a","2017-07-05T18:02:07Z","0","0","0","0","0","1","0"
"272c507f9162e208b03c5ded5c11ee74219334ae","2017-07-05T15:26:56Z","1","10","4","14","1","0","0"
"8e945cde5275c02fe32dc5b6ca9226ba1ba7e0e5","2017-06-25T19:23:28Z","1","2","2","4","1","0","0"
"c17287db67dd0e4af38f3d36d9dfbd0715736f1d","2017-06-24T17:29:35Z","1","1","1","2","1","0","0"
"625a3fcfd69a88f4881acb9b6b6b07636822ec7a","2017-06-21T22:11:37Z","1","1","1","2","1","0","0"
"dd2ecf2f837c6d717a4f95265a1cd3f67e8fe163","2017-06-16T13:37:21Z","2","28","9","37","1","0","0"
"0efc2b3dafa5b55bfebc61fb9de957f194fc696b","2017-06-15T15:27:05Z","9","69","52","121","1","0","0"
"4b4c3a82b8dcec3b9d91c33511942a909d908f7c","2017-06-12T17:14:18Z","11","67","95","162","1","0","0"
"7d0599fc5d321d3bf8fb1a809dfb37f468a714e9","2017-06-02T21:15:37Z","2","4","194","198","1","0","0"
"0adea89d3422e7e426fbd234cf0b732968a33835","2017-06-02T20:55:22Z","0","0","0","0","0","1","0"
"044363517c8d68b398614896a9c2660092862d18","2017-06-02T20:47:56Z","29","855","57","912","1","1","0"
"a2f11d5d519a907c7e3dad7d2b28acf598bf4f7e","2017-05-26T21:09:56Z","2","23","15","38","1","0","0"
"bcd8ddbfb5832feabf1596174f717fad82b9413f","2017-05-26T18:42:29Z","9","327","24","351","1","0","0"
"479e3f0474394f16442cf95f1b5e9477550db1cf","2017-05-26T12:01:24Z","2","26","12","38","1","0","0"
"c298ca905cf964b9dc8917ddad325660425112a6","2017-05-26T11:14:05Z","1","6","5","11","1","0","0"
"aebb19effa8c2845be9642fc79f13b10ed5c756b","2017-05-24T08:05:42Z","3","7","4","11","1","0","0"
"e64fe1c61027db77a788c7a9abeaecac166a11ff","2017-05-24T08:01:36Z","1","13","2","15","1","0","0"
"23572975316d876f0df49193b0b30321f7b5b632","2017-05-18T15:35:30Z","31","14","14","28","1","1","0"
"926f7da6cec399243d3b0bed8b78fe3adc20c92c","2017-05-18T15:29:12Z","1","4","0","4","1","0","0"
"d260dfcf12bd2d92c24fe602363cfb65fc7f9903","2017-05-18T12:36:02Z","4","110","31","141","1","0","0"
"a84b2fb4c413ad6209284f1e61332ccc2ee57474","2017-05-10T09:19:00Z","4","43","19","62","1","0","0"
"6aca3f578a7143d33e111166588b0a40af879763","2017-05-10T08:37:10Z","2","28","34","62","1","0","0"
"45ab54b5d7cbdcaa9d0b1af3cc889d511b1f6779","2017-05-04T16:26:18Z","1","16","1","17","1","0","0"
"ca84419e0ca5220df217d4623ba421e32c33eab3","2017-05-03T21:28:23Z","0","0","0","0","0","0","0"
"a04dec7ec1662ac5735da323d7e0c70e2e893305","2017-05-03T21:03:58Z","2","15","16","31","1","0","0"
"81a499d121653cf3ecbb352b7302ab48ec85a36c","2017-05-03T19:42:17Z","7","93","25","118","1","0","0"
"ff8ab621bc5f2ecac56c296a27949ea88063345d","2017-05-02T17:31:26Z","1","1","1","2","1","0","0"
"cdb5e5a978dcbb8b58dae5412d50a2af187f0e2d","2017-05-02T16:27:01Z","1","8","1","9","1","0","0"
"effa410eaebd8dbd0baedd2fc2939d24c3e6ff85","2017-04-24T12:43:35Z","1","10","7","17","1","0","0"
"df27bfaa3d5a2f8a552bb5ad18a3a26960647b62","2017-04-13T18:45:33Z","1","1","1","2","1","0","0"
"a865c210b62f0c756b96f286019303da4b32ec1b","2017-04-13T18:39:03Z","1","1","1","2","1","0","0"
"7820748cce7a5ad0ae99857741dddd42e5d71d8c","2017-04-06T14:30:02Z","0","0","0","0","0","0","0"
"2147b2aa5ed47bc658a8c2389280030760d1a8cd","2017-04-05T22:09:26Z","0","0","0","0","0","0","0"
"19418617dd28deaad4f4e97bfdf555dd72d3e05c","2017-04-04T12:59:12Z","2","2","2","4","1","0","0"
"e1924bf8a7c8f55245601aa45ab2ecb2cbaf9fce","2017-03-31T14:38:20Z","1","16","6","22","1","0","0"
"6d3faaebe3d9f27cc9a076b801e16942d946ad38","2017-03-31T14:24:18Z","3","50","2","52","1","0","0"
"17639129b9c1d888de3fa7867295c03cd9143c71","2017-03-31T14:01:13Z","3","28","1","29","1","0","0"
"1c809095ec64f64cd00524484f4e0147f25edc0c","2017-03-21T15:16:00Z","0","0","0","0","0","0","0"
"3bc563de3828edc3d2870f44f8d6f9840b331900","2017-03-21T14:58:21Z","0","0","0","0","0","0","0"
"7beb94f8cc83dad94361592476b5270c8c614738","2017-03-20T21:56:19Z","0","0","0","0","0","0","0"
"2b32a30c1a696a8ca0988d45c62ce8244fefbef8","2017-03-03T17:53:29Z","0","0","0","0","0","0","0"
"893ffc046121a9810fcf2dad96e983a55c96d2ef","2017-03-03T17:50:59Z","0","0","0","0","0","0","0"
"0df11e3224d53b56e769bc0e1dbf2d7cb8630f87","2017-03-03T15:22:37Z","0","0","0","0","0","1","0"
"75ad3894248170b13f706218b3612b33a42f2f99","2017-03-01T22:51:45Z","2","13","2","15","1","0","0"
"00577823dc12dcf15b5844a9ecbed6f076f343c2","2017-03-01T22:33:19Z","3","90","23","113","1","0","0"
"671a117b9685e46ceaff9a9af76b635c6791dbf5","2017-02-23T22:52:50Z","4","232","0","232","1","1","0"
"3d1c2d392cfcbbb751d18f89a6b8514b71d43057","2017-02-23T18:01:47Z","5","38","0","38","1","0","0"
"b7611e1a1bb26ec6e721c0170c4e5e78c7addf67","2017-02-20T22:57:56Z","8","661","74","735","1","0","0"
"d13af316d3b33c34b0d9f467de3c83fc42871046","2017-02-17T18:52:51Z","2","27","14","41","1","0","0"
"7d5cc26ea47f43b58c6b7ff4e3a2d90004be9f5f","2017-02-17T16:47:58Z","0","0","0","0","0","0","0"
"c4d881ac471a65d6d595e94a5a8b81d1e974f9c9","2017-02-17T16:40:38Z","12","172","228","400","1","1","0"
"0a53b9f07a231b847fe421d4005ddb9695bd9a63","2017-02-16T17:20:25Z","0","0","0","0","0","1","0"
"c2ad655af2c9163f6f99551bc7892535a98010ef","2017-02-16T17:13:04Z","3","51","124","175","1","0","0"
"a888073e1be50ae0179a5276254c5fec3a8f7804","2017-02-16T16:24:49Z","10","1212","0","1212","1","0","0"
"df68655b13e3b4a5234890b767a3b9a8e25c13cd","2017-02-14T19:52:20Z","1","17","0","17","1","0","0"
"86227ae3b34d0dce02321caa9bec24fd9fe26b06","2017-02-14T19:50:13Z","1","20","9","29","1","0","0"
"97878b1ad62c825116a84ad2bd07df74f6e8e278","2017-02-08T16:37:07Z","5","64","80","144","1","0","0"
"314ee2b456ff11cf3bc4e411a04aaac39c56e91f","2017-02-07T16:22:33Z","2","32","2","34","1","0","0"
"f4ef47c2d271ef4e18387cf1bd3fdb35663c7f5e","2017-02-02T14:21:38Z","3","7","4","11","1","0","0"
"769d552e885c00c82e9b53cb6764ffa69907e68c","2017-02-02T01:13:50Z","0","0","0","0","0","0","0"
"afa4b69d7ae81cb51a7511c591bf232f15f8f712","2017-02-02T01:04:01Z","0","0","0","0","0","0","0"
"a9bdf0dd06b5f2e0fd6a980cb0e86eb737cef457","2017-02-02T00:44:33Z","12","245","98","343","1","0","0"
"6ffa94ed3a0a6d55b57f00c20734b10d30752fec","2017-02-01T17:01:29Z","8","56","38","94","1","0","0"
"690001ed2a42d2aa89ecbf63a48b0f972c22806c","2017-02-01T16:12:36Z","1","8","3","11","1","0","0"
