"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"00335cbbca2af42a89061fd9fcc2e7882ca26aec","2018-09-14T22:36:44Z","4","40","17","57","1","0","0"
"0ae5613692601bc8aca01f50b9ecc29b08f5bf11","2018-07-27T18:46:45Z","9","30","26","56","1","1","0"
"14c467201bf11e60ea4de6bcfe63f39b6ce0af4b","2018-06-20T21:18:46Z","0","0","0","0","0","1","0"
"597732981bf4f09584973ae5251d04733456c87f","2018-06-20T19:17:13Z","13","192","397","589","1","1","0"
"f326ac365531821f26daa90d1b69e1866591096c","2018-06-06T03:27:10Z","1","1","1","2","1","0","0"
"d88f86ddaaa7a53f1eb4dcf2e0c01a8c08514167","2018-04-09T18:38:06Z","0","0","0","0","0","0","0"
"aa73c83ed660b8c300f52809c7cd3917161da8c2","2017-10-24T21:43:33Z","5","22","17","39","1","1","0"
"1819cd204d4b74105deeed63e7802ae13a0b8a9f","2017-09-13T17:22:05Z","0","0","0","0","0","0","0"
"9bc1eafe24684910c1640cf5896dc585df7fe3fa","2017-09-13T17:18:45Z","0","0","0","0","0","0","0"
"71ab184672db14ae7e0a96cc5155c6106d7dc3c1","2017-09-13T17:09:50Z","0","0","0","0","0","1","0"
"55931cc140490e5b1e8efe989832cc112097a93d","2017-09-06T21:43:04Z","0","0","0","0","0","0","0"
"57f3b99df7aa7894bf50f342720900c8f885924f","2017-08-30T21:24:24Z","2","21","14","35","1","0","0"
"c9a89befd4c03469bfa870ecba17758ff96dbdf6","2017-05-05T22:03:50Z","0","0","0","0","0","0","0"
"6671fe3a0469da50d7a3ed3e5569981d59d3ebb8","2017-05-05T19:37:17Z","2","38","7","45","1","0","0"
"06158ba93bf7afe67356221a4248ebfbe9f226d8","2017-05-05T17:21:28Z","0","0","0","0","0","1","0"
"c8ea49d3048e57e8d2be1698043b217c7c506c7e","2017-04-28T20:11:48Z","2","107","0","107","1","0","0"
"27b290e712769cf9cc43182c2067e103d4749bb8","2017-04-20T18:41:51Z","6","239","0","239","1","1","0"
"16a1af84141d2d530135a2402a11f41e30649788","2017-04-04T16:03:59Z","0","0","0","0","0","0","0"
"c0b1074abdf0d3f21093a2b97ddaef854784f89e","2017-03-17T04:14:19Z","3","3","3","6","1","0","0"
"72bea244a52ce7f55f164e3d11f3edbd464e3f38","2017-03-14T02:52:33Z","0","0","0","0","0","0","0"
"36be1b8ba06330e10b3b6c728e02449cf1160a7d","2017-03-14T02:52:04Z","0","0","0","0","0","0","0"
"5318ba4ee55e6d91d5304014b6b3c99d58376c39","2017-03-13T18:23:57Z","0","0","0","0","0","0","0"
"17ba79d11667b4e42bf753d7d2870823df21369e","2017-03-13T18:18:39Z","2","18","9","27","1","1","0"
"ce00f3de3ed13fe286c1d907287057425b33cd71","2017-02-28T23:56:26Z","3","3","3","6","1","0","0"
"8f83c8015aada49d0bb8be5ec0dee55cea5d54b8","2017-02-23T17:24:38Z","0","0","0","0","0","1","0"
"a88d4817eb43c19c89ed428f08bf24123e97de3b","2017-02-07T01:00:40Z","7","203","207","410","1","0","0"
"44960ad7d782949bab4c49307222e198a6054507","2017-02-03T23:51:52Z","4","43","7","50","1","0","0"
"14ebf3eaabb9098366c987f103ab8b1015fce7e6","2017-02-02T17:54:36Z","9","378","7","385","1","0","0"
"fb87d42ce2e621d70586882a9e8e93f1fa3ad323","2017-01-21T23:25:52Z","0","0","0","0","0","1","0"
"96adbac788659226e54be7fa136f229ef2f94f94","2017-01-21T20:52:48Z","0","0","0","0","0","0","0"
"7d213ac3be668ba008f3444129d09c48a94e4114","2017-01-21T20:33:17Z","0","0","0","0","0","1","0"
"50566f87d1cfad52d10dfaa1643f0dc94d3aee1e","2017-01-06T23:37:39Z","1","0","8","8","1","1","0"
"a1b95b63d58b57ed71f4ceefb61d84c616e2a076","2016-12-21T19:45:02Z","0","0","0","0","0","0","0"
"fb53d23dea6f563d50e79e861d68d247dd1f5bfa","2016-12-16T19:10:37Z","14","408","82","490","1","1","0"
"9d4a8395a6aea8ea4e764d621a682be7f204e198","2016-12-16T00:27:21Z","8","211","280","491","1","1","0"
"a9fc9015adef8cfe59ee3d6408c170549be81aee","2016-12-14T04:48:46Z","0","0","0","0","0","1","0"
"9dd1e1b03a306294a62c4df46bce7153aeb77f03","2016-12-14T04:27:57Z","2","16","0","16","1","0","0"
"c0fda4f50b2f764ca83cb152c534ab853feb0ae2","2016-12-14T04:26:54Z","0","0","0","0","0","1","0"
"25232296757cff981db3f107a2b34c2569e24050","2016-12-07T00:27:32Z","4","11","3","14","1","1","0"
"853208c022a380b95a589e77be73db3670c3ca4c","2016-10-05T17:41:50Z","9","63","50","113","1","0","0"
"465450a2b0bf51e6152a1080f305a0bf03edc87c","2016-10-01T22:50:09Z","4","35","37","72","1","1","0"
