"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ae92a90e8e0f6f4c48fc583130e6b38c4889f9d6","2018-08-17T08:40:31Z","1","8","1","9","1","0","0"
"d8c6bf922e8147ef5368c95192ee0c56bfbd232f","2018-08-17T08:37:11Z","1","22","2","24","1","0","0"
"1eaced8f6a6403a3bb99e74d6e883cbc6f8d8f7f","2018-08-13T03:39:51Z","2","13","8","21","1","0","0"
"e02c9e8720a5ee8a9a52ff806c9a2a9bce559ab6","2018-08-13T01:38:07Z","1","25","14","39","1","0","0"
"55551e5b7827b7647c452d7d3b8b09c2a759bbac","2018-08-12T23:30:04Z","6","108","36","144","1","0","0"
"96b90884e1f7fbdd3917f6203ebf2a253ad14bbd","2018-08-12T06:48:42Z","4","22","12","34","1","0","0"
"633b3b626f8f166820525375a422b89b6d53a07f","2018-08-12T06:40:51Z","3","18","18","36","1","0","0"
"601a260a1f2a2436d77e23a74e13d73476eef29a","2018-08-12T06:38:44Z","21","67","71","138","1","0","0"
"55da1026b6d510d136e6fcab7897acc4fe4ced73","2018-08-12T06:30:02Z","10","433","218","651","1","0","0"
"ba66826365237efbdc6b73faae04f65eae02daa0","2018-08-11T18:03:01Z","0","0","0","0","0","1","0"
"96fd4ce5511f38ac8d060a8348331d91b4b4a2ef","2018-08-11T17:36:12Z","8","416","220","636","1","0","0"
"a47766575f07dbdeef1cebd08ab03d58b99f6111","2018-08-05T04:49:56Z","1","1","1","2","1","0","0"
"4488c3294c4c0f85453944e36750ff783c866829","2018-07-13T08:26:53Z","1","2","0","2","1","0","0"
"73ef5a54196569512b22993c9c3bb3df2dcadaa8","2018-07-09T16:26:24Z","0","0","0","0","0","0","0"
"7c3ff0b0cca200c26ef0ba3347a642c9973ce293","2018-07-07T08:33:07Z","0","0","0","0","0","0","0"
"70566834f268712fd44e762312b2b0fffada5e53","2018-06-25T15:20:37Z","52","3749","0","3749","1","0","0"
"3c0f80e289e354a4fef991cd807731321d47974e","2018-06-25T08:22:33Z","1","12","1","13","1","0","0"
"bad5348df02dd95c63cf9f6171ae943c86276efe","2018-06-25T07:58:51Z","4","251","101","352","1","0","0"
"fba6ff1a9f642f0d15f1704878de792e89060e26","2018-06-25T07:40:22Z","4","113","3","116","1","0","0"
"e812114ca596a18e4156b0e89bc34c58fc9ccc6c","2018-06-23T02:15:45Z","0","0","0","0","0","0","0"
"62292b2ade1bbaefce2f761e810c5488c49103ac","2018-06-23T02:14:51Z","2","12","0","12","1","0","0"
"207784bbe4d08beac4316e28bd881247e8a90085","2018-06-23T02:14:44Z","1","1","1","2","1","0","0"
"e6c7926b1e2299c2e0635e8799fb2ea72efaf8d3","2018-06-22T11:30:36Z","1","58","2","60","1","0","0"
"f9cc222a529815631054e4f9c03ea113d5a70c3e","2018-06-22T11:30:15Z","1","1","0","1","1","0","0"
"fb8e849decae9c257ca87dbc106242a7d4620cdf","2018-06-13T07:08:30Z","1","1","1","2","1","0","0"
"7c14905e2e8509ab808fa1d78fbe11468c422894","2018-06-13T07:08:21Z","1","97","0","97","1","0","0"
"724ba87f2338ef83830b063821f3d038b47ad54f","2018-06-09T16:41:17Z","2","2","2","4","1","0","0"
"998b496ab13a3ba5b0cf64856026bbd3ac640013","2018-06-09T09:07:28Z","3","277","25","302","1","0","0"
"fc760f386329c0cbfe4b0852f2451528094e14c6","2018-06-09T05:42:50Z","0","0","0","0","0","1","0"
"037dfd1ed2dd8d8a1ec42cef8ea7cea853e60ccf","2018-06-07T14:07:57Z","6","366","9","375","1","0","0"
"71279a40f13923bb5f60596ce986d2d78a520758","2018-05-31T08:34:30Z","7","73","13","86","1","0","0"
"983d623d5d87ad4880124c5f11d340ba1915477b","2018-05-30T06:07:47Z","5","6","502","508","1","1","0"
"5012a7a38cb73077202356a4760c605b18eec069","2018-05-27T23:19:58Z","2","87","22","109","1","0","0"
"cedc15bb0e755d1d6d4e75fb0304a2da4451f633","2018-05-27T02:32:03Z","1","8","0","8","1","0","0"
"20c056601523deaacf2d5bef44452a6e36008fdb","2018-05-27T02:30:05Z","5","19","7","26","1","0","0"
"5260aeb49f085e6d44d307de5b34bf638c6f62b8","2018-05-27T02:18:47Z","54","151","153","304","1","0","0"
"cd4b2b0727bf660c87c3020e4baa340dd750f2fc","2018-05-27T00:21:22Z","1","241","0","241","1","0","0"
"af55dc56291aa15e30e9370d78f07227f59bf47f","2018-05-26T22:27:23Z","2","18","10","28","1","0","0"
"deebc0a6da8414a286858804ea82497d2d251b98","2018-05-26T22:07:17Z","0","0","0","0","0","0","0"
"cab1de0c4e82ccbcadc38ecf445ac24fe0fb5b9a","2018-05-26T22:02:59Z","0","0","0","0","0","0","0"
"acf18280d77622be46e176058105ccce17983d9c","2018-05-26T21:57:11Z","2","41","15","56","1","0","0"
"0bb89cb5329f4de84c5873f334cf1eda668bb90c","2018-05-26T21:31:37Z","1","1","0","1","1","0","0"
"8a3d128fdbb3fa3d3f7a8e702862159f686f6dff","2018-05-26T21:30:09Z","0","0","0","0","0","0","0"
"be17e95cf26dee7ca3828b3ddf59cfabb501328b","2018-05-26T21:07:55Z","2","46","2","48","1","0","0"
"2aa7ff95dfea6f5a279786b389211e8a84e61f3f","2018-05-26T21:01:27Z","2","24","17","41","1","0","0"
"fa6d5a605c9352738709799452abb42795d970fe","2018-05-26T20:48:57Z","1","21","7","28","1","0","0"
"4b6e6a7851b62f6cf5fea684c68984d883e5a954","2018-05-26T20:46:03Z","2","28","12","40","1","0","0"
"0469f60962ec978814add7de03701a0396e354a6","2018-05-26T20:37:34Z","0","0","0","0","0","0","0"
"7b1fc0b7fcd1b66505252fad7bba58fa70d95dfb","2018-05-26T20:33:07Z","2","53","7","60","1","0","0"
"158e608a2aa872ea95f33512e1e9c9684ad0c2c8","2018-05-26T19:48:41Z","1","8","0","8","1","0","0"
"00d3f03a566233165a4d8a03c38f6653f4df3b6b","2018-05-26T19:47:22Z","1","7","10","17","1","0","0"
"0830a65e5a202bea6b279c3ff00c5affb0a938e9","2018-05-26T19:38:14Z","10","608","18","626","1","0","0"
