"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a45f8e23803a21c27b63a9a9d6f6a23372ff9a23","2017-09-07T09:12:56Z","1","5","3","8","1","0","0"
"5853ebc9164a31d8e7965d767cd0590a6329d4ca","2017-09-07T08:32:38Z","1","5","3","8","1","0","0"
"cd312470a2d78f31545f5baaebb1c5e9cd0dc5f7","2017-09-04T10:29:39Z","16","553","88","641","1","1","0"
"776aab92866fc52e3b5182913e58c789e542d796","2017-09-04T09:53:55Z","1","85","0","85","1","0","0"
"f9a6f1a60f54327151c2e02fe27194803bddf995","2017-09-01T07:09:01Z","1","6","8","14","1","0","0"
"7861d480bfd3730de0e1a3baa28931c0228646d8","2017-09-01T06:56:06Z","1","10","16","26","1","0","0"
"53db41774f3d2f14e91f591840d4dae59bab124d","2017-09-01T06:23:48Z","2","41","7","48","1","0","0"
"fb469b9bacbf8ff04d79b9d12920a590e2bc8d8f","2017-08-31T09:38:44Z","5","32","12","44","1","0","0"
"25b6b41b2f5c58c00d0905dfdec7e0fe790dfac1","2017-08-25T04:32:42Z","1","7","0","7","1","0","0"
"4892e181519036c128e5c3e29fd23e1463d5c070","2017-08-25T04:32:00Z","2","10","4","14","1","1","0"
"7cb08db1bf407164760a33668f36ed3b0b0d2871","2017-08-10T11:25:08Z","1","7","0","7","1","0","0"
"7ee1be5c0bb95718dcfa409526fce17667eb462d","2017-08-10T08:19:42Z","1","7","0","7","1","0","0"
"8a6908c37417a15aa993df4412fe8fe54859184d","2017-08-04T03:27:41Z","3","148","55","203","1","0","0"
"bec29ffaf17a61df57c095da7ea38b11425dd7a4","2017-08-04T03:19:29Z","5","240","5","245","1","0","0"
"575afbc59581b8ab405255135c62bd8c181f1252","2017-07-25T08:25:20Z","0","0","0","0","0","0","0"
"2dc4a6a454af5e8aff546a7224ce9859485d445c","2017-07-19T06:49:12Z","0","0","0","0","0","0","0"
"b8c260ba88093d87e3a99f5198e5456229112ec1","2017-07-03T02:45:13Z","0","0","0","0","0","0","0"
"b121c745922e34d46ef35dae21246c4a4267131a","2017-07-03T02:44:36Z","0","0","0","0","0","0","0"
"c90f275e270eca9830e41b5a7fd5324530015ef1","2017-06-02T02:53:49Z","6","20","20","40","1","0","0"
"c73021635c258c51e7714246cf612a8fd06c0875","2017-06-01T23:50:58Z","6","20","20","40","1","0","0"
"32c726017b01cb79c9e3d86baf058505dae8e6b1","2017-05-02T05:13:18Z","0","0","0","0","0","0","0"
"5c6c2dbafc8cb8159f4cdc3018bfbf1bb9d5e470","2017-05-02T05:13:00Z","0","0","0","0","0","0","0"
"1851a8af77a33f2e0c65ce55f72f92d00e4d139a","2017-05-02T05:12:23Z","0","0","0","0","0","0","0"
"4afad23572ca7f46de3f423df8d55ad3fea25aed","2017-01-26T14:36:22Z","1","2","2","4","1","0","0"
"df1d79daeebeb3247d9ad22caac6df615ce9af47","2017-01-26T13:46:50Z","1","2","2","4","1","0","0"
"ee2135e9b74967cfaab54f7513dea5a90934ae05","2017-01-07T15:25:48Z","0","0","0","0","0","1","0"
"92b18fd5b348339ceb9feaa724c562416d454762","2017-01-07T08:47:11Z","0","0","0","0","0","1","0"
"46ce8e0fe9af01473781a61278536dc9fd9d0659","2017-01-05T02:45:38Z","1","2","1","3","1","1","0"
"a8cc0c00c1f13a958a7069c6aa661fe657a04f58","2017-01-04T10:15:31Z","1","2","1","3","1","1","0"
"7f9ac71fd707aeebfab2102b05dae3b269b9fa7b","2017-01-03T11:13:46Z","1","2","2","4","1","1","0"
"5b77bae976af6cdc445baef337ad1fb9ff0ea909","2017-01-03T11:13:37Z","0","0","0","0","0","1","0"
"cb945b8fe3307c964bc9821c5640a2030df555f1","2017-01-02T11:06:31Z","1","2","2","4","1","1","0"
"550b942ceb2cd010e49f2dc56ed5c5b34aa16602","2016-12-29T05:47:31Z","0","0","0","0","0","0","0"
"db6dde5d23ee412ba088bdc7580b3f284248c916","2016-12-29T05:41:34Z","1","5","0","5","1","0","0"
"c095e8abe27eb4ea2483304339d29223c6454707","2016-12-29T05:36:09Z","1","11","3","14","1","0","0"
"55c69ac1fb57977ed984c3dc7bc340f5293c3b9f","2016-10-24T02:38:01Z","0","0","0","0","0","0","0"
"1d1986e4e51787a7f820ad965b291add138e349c","2016-10-22T03:35:55Z","0","0","0","0","0","0","0"
"42d25288143bd7f0e517d54bad2b4ea6e9b90968","2016-10-21T13:43:41Z","1","5","1","6","1","0","0"
"a3a531eeb22996c99cc6461b99d5d71971d0377f","2016-10-21T13:42:54Z","0","0","0","0","0","0","0"
"0bc9078334d866558ac94fc30046a310b08a3a5c","2016-10-21T09:35:29Z","0","0","0","0","0","0","0"
"96bd694d6fab05f69c82513985f03e4f24e5e21c","2016-10-14T01:24:34Z","1","5","1","6","1","0","0"
