"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"fe9970523f8f632829b767cfac4e191fb71fc835","2018-09-23T08:00:30Z","1","7","0","7","1","0","0"
"62944f7b71434a50f5a323fa19762abb503b827c","2018-09-19T12:00:09Z","0","0","0","0","0","1","0"
"a7e1101c87204d052765aeb153ac37f6cc7db061","2018-09-19T11:58:40Z","1","47","13","60","1","0","0"
"b79d991b253d5584a69da1253aae65474f02dc87","2018-09-19T08:19:08Z","3","9","10","19","1","0","0"
"10a15fc5cf4b76ce6b6b4c791ae16a8d89e382fe","2018-09-19T07:50:37Z","1","39","11","50","1","0","0"
"428a5ab20ebbf7321491fa7f727146535b6897d7","2018-09-19T07:47:58Z","1","1","1","2","1","0","0"
"b3d19d752b318efdf2dbf59256144c1517bf2a68","2018-09-19T07:47:58Z","2","26","21","47","1","0","0"
"73b702aa5608a88cd77ded47d634b388465a01b3","2018-09-19T07:47:58Z","4","14","0","14","1","0","0"
"3360035402ce1a605107176d8a1de6d73cb51e22","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"b97069a04e2a91ff9cffc520b84605b46fee820f","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"9df8d050b264994d722b0cca02ce0d7754e2cf65","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"ba4ca96b7705202439ee11a2f5eeff3bf12c2f0d","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"fd93baf583605933aef94d67f28363f885c182d8","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"0a9a1976cd6779c1eeda536de87487d9d17a1325","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"450e05c81937008cdbd6ee64579977797e78caef","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"59d36d29da26755a10033fd21951c40b48be5ddd","2018-09-18T02:19:26Z","0","0","0","0","0","0","0"
"f0cd92f82ee896b65bcddfbaf8edb972cb8676c1","2018-09-17T03:34:32Z","1","1","1","2","1","0","0"
"e847338ef4d549b8244e9449c2543dd70fc3bebc","2018-09-16T16:32:17Z","0","0","0","0","0","0","0"
"23c34258ff1bf4d6f726bbd56b078baa836d7f59","2018-09-16T15:36:58Z","0","0","0","0","0","0","0"
"d4419601075b5d3d75c77f657a4e25c442df5e98","2018-09-16T15:35:53Z","0","0","0","0","0","0","0"
"185ae6beb4d0595e8470f0a309ef3466157551bc","2018-09-16T14:18:06Z","0","0","0","0","0","1","0"
"d84376e4dca418196b3a71dd45eb1984fa7651ae","2018-09-16T14:12:26Z","0","0","0","0","0","0","0"
"dcc6af3367a59e630407d087a43d6d2ca3bd0dc5","2018-09-14T11:48:48Z","1","9","2","11","1","0","0"
"1cd8ef1b475893ae6e7f2e468efd5e527d6aaec1","2018-09-14T11:35:02Z","1","9","2","11","1","0","0"
"f8c5caf6bc7eefd4b8ef0c5d47da2fd3ecd06b2d","2018-09-14T11:15:39Z","1","3","1","4","1","0","0"
"8e84b5b67bdabad77a60107d1c12195abb47a96b","2018-09-14T05:33:32Z","0","0","0","0","0","1","0"
"dc697af0817dbdfe6c61f8977f578865bb7045aa","2018-09-14T05:32:03Z","1","105","0","105","1","0","0"
"a69f36b6521f91420ea33c969c99e28873bea93e","2018-09-02T06:53:33Z","0","0","0","0","0","1","0"
"d5c788fe80bf4cc7b0c1dfd710ed721f086c7a5d","2018-09-01T17:25:43Z","2","60","0","60","1","0","0"
"021fe45c8d976b38f207aec3c34c6d6ad6853e72","2018-09-01T12:56:43Z","0","0","0","0","0","0","0"
"18881e549f3e906522e7832a1ef1bad5eb949706","2018-08-15T13:54:35Z","1","1","1","2","1","0","0"
"ed2f3510d8a0fa683cfd26b0017a8c09155c6c11","2018-08-07T06:02:04Z","0","0","0","0","0","1","0"
"5290340b971a0c0b28043414973372bedb2a57d8","2018-08-06T05:25:12Z","6","25","4","29","1","0","0"
"9514d42032490dd3449ee83e4e48c48367595409","2018-07-31T02:38:23Z","0","0","0","0","0","0","0"
"2cc140eaf41f2ce72941f2aeb77dd17d1535a519","2018-07-31T02:38:23Z","0","0","0","0","0","0","0"
"c4934fc89e8bb375980c8f94fd34bcf849979c21","2018-07-31T02:38:23Z","0","0","0","0","0","0","0"
"7feb5552c16c2426582d1547d5d9c79eb0046502","2018-07-30T02:03:24Z","1","13","1","14","1","0","0"
"fce659c41cb0f06b683ac951d45a7d1f9ee1a8c8","2018-07-23T11:13:53Z","0","0","0","0","0","0","0"
"2e899f5fa83d4504c830f96ded38a27763f80e5f","2018-07-20T06:03:43Z","1","3","5","8","1","0","0"
"4580d781db955d230fb4415c90302007eb35bbf0","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"6fdab6f89c4c69e5479dfc3c3ce5a815dde5222e","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"145b6523e940904b3cde329feb0477ff9e372a3a","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"1d03d356854ac46cfe16420d3521519d514637e5","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"71396bc63231cc43e111abc5aaade77c486f668c","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"511d70838ad112784b637e8a3a3947d54a9c9a59","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"1e31052767cd8ddf4c0e7a278fc9473eaeab5ccc","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"e1c88c53f3c1ccbef07f68183abe5647e3c932a9","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"de16081c792865ec391f91842fa4ba4ec5aea0db","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"e9d1ce172070570c2d6449b6d3ccf63170b9e084","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"3bce3c41f258a176bc20e889acceec1fc5a7a409","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"c71729c560f8e58015e3137e5795b15de942ed8a","2018-07-18T04:14:16Z","0","0","0","0","0","0","0"
"3cbf5d0a8fdf5b129d4017ceab1bce603fd1b760","2018-07-16T05:56:07Z","1","8","7","15","1","0","0"
"6f99f5a226ce61648cbfdc6750a441ad73a09979","2018-07-12T08:48:34Z","0","0","0","0","0","0","0"
"252dcb617528436d78f899307f0041048be87020","2018-07-12T08:48:34Z","0","0","0","0","0","0","0"
"72971341b206a2edc3a8e68b1ba73cb44aaf7c59","2018-07-12T08:48:34Z","0","0","0","0","0","0","0"
"32f420524058d1b6d746df5e74b1ea9f7be8e574","2018-07-12T08:48:34Z","0","0","0","0","0","0","0"
"36e66a8714aa3c5a0eaa5f98a815635fe12035a0","2018-07-12T08:48:34Z","0","0","0","0","0","0","0"
"7ee1777e7ba5ce52e41f7c4aa90b546493af38b9","2018-07-12T08:48:34Z","0","0","0","0","0","0","0"
"d8dc9ad576000620961bac62f81bf4bbe7107731","2018-07-11T14:17:20Z","0","0","0","0","0","0","0"
"8ae8842f81db5a85af9031588b151e3a6bce3111","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"ddb82292f9b510e33652edec8517d94daff89a6a","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"83ade321bbb75c4fc53e3086d00b89715808715d","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"a4ea8a6bfcad4bcdb9138e2cf209f61068567391","2018-07-11T13:31:35Z","0","0","0","0","0","1","0"
"2d32852d189a7b89451f97a2f52eeed767eee401","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"3ef3510ad359ef18339c9e2b51ca4b895ab10d7d","2018-07-11T13:31:35Z","1","1","1","2","1","0","0"
"82cb0eb7d6ecd5c77737236c9630adec22ad0a82","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"2c428d3306e8cc24649ad37df35ebbb6abbdaf20","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"5fa9e8677d4e5d7f2c8dbb545b4c6767da74c671","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"b57abfdc57b65913d9c2edcf7de59aa57683b9fb","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"2f7906d3dbc1a1a63863990eb283ae25aa09a0e7","2018-07-11T13:31:35Z","0","0","0","0","0","0","0"
"d56f86b47ef1f75a59b4bec682707e393b082463","2018-07-02T11:25:25Z","0","0","0","0","0","0","0"
"e558be2b89cc2358c74ee9b20d54bb18677e3db2","2018-06-25T06:53:33Z","2","35","6","41","1","0","0"
"66cab7b41e42e36e99f48c68ea3db57e7a84678f","2018-06-25T05:55:49Z","1","21","1","22","1","1","0"
"4f431bb7ead8e0a4742c5043d0adb7b45dd1501c","2018-06-22T07:37:24Z","1","1","1","2","1","0","0"
"d411623da63a167e870d702834b10216ca3f6f3a","2018-06-21T05:42:53Z","2","17","14","31","1","0","0"
"d121e839c98705724637bcd91a686e3d0e9dc434","2018-06-14T12:28:31Z","3","77","8","85","1","0","0"
"c397bd0211970b8e0d7ac29ded8d8f8e213feeb2","2018-06-13T07:18:48Z","2","55","3","58","1","0","0"
