"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d52a0de2acc545a1c6cf94c43fee70cb9b059378","2018-08-27T12:59:20Z","0","0","0","0","0","0","0"
"3670d97835f15d0966e29fb8f52785ca3e87c2af","2017-12-11T20:02:25Z","1","6","4","10","1","0","0"
"b98135699ab8bcd9622f74172df22e586850feed","2017-11-14T12:54:13Z","0","0","0","0","0","1","0"
"0e32fcea992a0a1159033d0c3bbaf160707756c3","2017-11-14T12:42:44Z","3","36","12","48","1","0","0"
"b035bf56be70ec039a493abb8e5c0235881250e6","2017-11-14T12:35:35Z","0","0","0","0","0","1","0"
"66fed14fbe3b77330567981657f95cf5b38673dc","2017-11-14T12:31:24Z","0","0","0","0","0","1","0"
"5428a2b095d83012663dfa0629f81f925c156d6d","2017-11-14T12:02:49Z","0","0","0","0","0","1","0"
"1ba2f43a298d16b140f0629df35a8f8be3bc69e6","2017-11-14T11:56:40Z","0","0","0","0","0","1","0"
"bbe35ff77d736e4a38072ddc3659b122c46367c1","2017-11-14T11:47:55Z","3","82","60","142","1","0","0"
"d459d1340d5621829b8821f751d1e00be125f5cf","2017-11-14T08:37:00Z","0","0","0","0","0","1","0"
"66fbde49d58670f7b46ff010da22d01e3c4d5b72","2017-11-13T13:45:55Z","1","13","0","13","1","0","0"
"69417b5af70cd280b90462fe835d649f43bd9cf3","2017-11-13T12:36:15Z","0","0","0","0","0","1","0"
"761731122af864fc4b925e926a6827510a7f07c0","2017-11-07T16:06:03Z","0","0","0","0","0","0","0"
"0be1c4d492576266e6586d6c18c0704f10c609a6","2017-11-07T13:56:55Z","0","0","0","0","0","1","0"
"fb0e64c249dc97a3820daa894a44f84a7d4a8cd4","2017-11-06T14:08:02Z","0","0","0","0","0","0","0"
"947f94b23bf1d3be225b44299bf0403406e5ac85","2017-10-17T09:10:56Z","0","0","0","0","0","1","0"
"e6d912b0614b453e8cb4474e4498b1ddc25746be","2017-10-17T09:05:58Z","0","0","0","0","0","1","0"
"7f5e0cec0a7c021af9a9feb513fba14b1e0855a4","2017-10-17T09:05:54Z","0","0","0","0","0","1","0"
"0be66fb1b12c480a3247992febe0a9ea52a193c8","2017-09-19T09:11:37Z","1","6","1","7","1","0","0"
"19c6edb2ce5c1e8ed995423ad8ab34af37e1f057","2017-09-19T09:07:12Z","0","0","0","0","0","1","0"
"618a4f17f13751539c0879ca79d7f534631fdd99","2017-09-19T09:07:12Z","1","6","16","22","1","0","0"
"dfc6198136a5de39e8f59744a45e8353812ef13c","2017-09-19T09:06:48Z","3","163","68","231","1","0","0"
"b1a0581199238f3162bebeb4869a524c0397cc32","2017-09-19T09:06:29Z","2","18","17","35","1","0","0"
