"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b0ea7dfc09a5ea98c6815e612d03948c0b1ca7bc","2018-09-27T07:23:11Z","0","0","0","0","0","0","0"
"427ba3c5a0413ca7d5414e621adfc365a202303f","2018-09-27T07:22:45Z","0","0","0","0","0","1","0"
"e733487a868cd5672df1ce7d02817c0d07e6c9b1","2018-09-14T09:29:58Z","0","0","0","0","0","0","0"
"a10a4fc7923970f9c347049573acd3c6cb40cf29","2018-09-14T09:23:57Z","0","0","0","0","0","1","0"
"32d8facd1533b8625366600c1d8833023f3aaaa9","2018-09-14T08:37:15Z","5","59","40","99","1","0","0"
"4ea7c6bf960949d4e5b487048f00c880f9321b90","2018-09-14T08:32:20Z","5","49","39","88","1","0","0"
"f7027620e6234df103e60561e801e7b4064c7b41","2018-09-14T07:57:07Z","9","51","162","213","1","0","0"
"d110d36ff19da96b4d18385f9b8fa5a374be97d3","2018-09-12T07:27:46Z","1","2","1","3","1","0","0"
"5c7409d05990c4f2467f008b9e7ee9215c1f2cbe","2018-09-12T07:07:15Z","7","135","16","151","1","0","0"
"e419bfa6dff1962020c891791b87dbab4e2d3ab7","2018-09-11T12:50:55Z","6","34","1","35","1","0","0"
"b7c46ef7c87c2d81377431bdc5cf7370c4919d86","2018-09-11T09:19:49Z","6","18","18","36","1","0","0"
"2eb5797b49226d9be3d4fb501effd6e30ad5a51e","2018-09-10T13:21:16Z","6","34","1","35","1","0","0"
"ba4cacc7263090b0631a12116f4e8847971d6f21","2018-08-03T08:11:10Z","0","0","0","0","0","0","0"
"bf334a44c1e2bcad61c12762b7157e76f2a137d3","2018-08-03T08:09:52Z","0","0","0","0","0","0","0"
"2c89c866c254581d4603778a56cbf1b02f8f7f58","2018-08-03T07:26:07Z","0","0","0","0","0","1","0"
"e898b7cedf5658cb8279905f345ed79e292b9ada","2018-08-03T05:29:41Z","7","286","5","291","1","0","0"
"34f4c4d25932ddfb9bf8534058db321a4ce9f7b2","2018-08-03T03:43:21Z","2","17","15","32","1","0","0"
"af1ed128197d6b7af8fce9c73e2e459d50aaadb8","2018-08-03T03:22:28Z","1","5","2","7","1","0","0"
"99bda7ce55a0d42541f4140a1a579c5f234a83a3","2018-07-17T05:37:41Z","7","281","5","286","1","0","0"
"627f7e04b9df209665e93a4e6356987ae2225ddf","2018-07-13T01:37:53Z","2","28","9","37","1","0","0"
"85717fb33d9781c3576260f60aebfa2184aee52e","2018-07-12T10:45:44Z","2","28","9","37","1","0","0"
