"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d1a92a262e7f0577db427246985496f70ca95506","2018-09-27T17:13:19Z","2","36","20","56","1","0","0"
"63b0757417b7fb26030d182dbade532d951ef023","2018-09-26T19:46:50Z","0","0","0","0","0","1","0"
"3f4e5e2cfaa3b2ce4fd14c9e68e871bbcfafa0ee","2018-09-20T23:43:23Z","0","0","0","0","0","0","0"
"1f3b18e1646704792804072e89f04d27b207e886","2018-09-20T22:26:26Z","4","17","10","27","1","0","0"
"0786884eab33c7a41091d66d20149bc25d49353a","2018-09-18T22:00:46Z","1","3","0","3","1","0","0"
"4840f31183e6fb1b7183c6bbd893f6054699862c","2018-09-18T21:58:16Z","0","0","0","0","0","0","0"
"a045fb951bb64e342d0fcb7fa04fab9d414d7b90","2018-09-12T17:22:40Z","62","649","222","871","1","1","0"
"780e744b821322dc9fd5854ebd19bc93dee4411f","2018-09-12T16:56:31Z","0","0","0","0","0","0","0"
"8cb1ed7742d471aa17589101bf932f06f43a7bb6","2018-09-12T16:56:13Z","1","2","3","5","1","0","0"
"982f204cbd9ee0ff814dd310b4e42ddfbf064414","2018-09-12T16:39:54Z","1","5","1","6","1","0","0"
"43912a7d684005409a4c62710a559f57a79b9bd4","2018-09-12T16:38:01Z","0","0","0","0","0","0","0"
"0d1e22ca8b37737b1061b349f7e168de47b65463","2018-09-11T16:00:22Z","0","0","0","0","0","0","0"
"58429e5dd193bce3edb86d5f4af7c65520275678","2018-09-06T21:13:12Z","0","0","0","0","0","0","0"
"38883b78689c6b5bc34bf773e07cf3bc14e9bc42","2018-09-06T18:54:12Z","3","17","10","27","1","0","0"
"933a04fac1f6f57bb21f24034175c362dbb7a94c","2018-09-06T18:53:40Z","1","0","1","1","1","0","0"
"bd98b15db6f85c0df87be9f91f45b6d4535235ba","2018-09-06T18:13:23Z","3","18","10","28","1","0","0"
"8949483a1e5ac717b2a311d7d86ad739e9b203c3","2018-09-04T16:53:28Z","7","46","26","72","1","1","0"
"152f694776714b64a2fc3ee192c6de251db6e076","2018-08-29T19:30:52Z","1","9","6","15","1","0","0"
"35d8a2fde22c3dc71300a1ef558a39b8ed834a56","2018-08-29T19:16:27Z","2","10","9","19","1","0","0"
"84bcc007e3c4ac60af50d8e57adeab30749375b8","2018-08-29T16:05:01Z","1","3","1","4","1","0","0"
"98353a7164e4a55ca74538ea720069946193de28","2018-08-29T15:35:52Z","25","163","97","260","1","1","0"
"68be24907450bfb2f4d6a94015774462e401a97e","2018-08-29T15:33:41Z","11","52","11","63","1","1","0"
"0da111bcd138de739ddbe13f93c799622ed17bfc","2018-08-28T15:54:47Z","13","78","55","133","1","0","0"
"3ea184a99a9bc4365776f4719fedbce0be6fc1ed","2018-08-28T02:18:58Z","25","163","97","260","1","1","0"
"22746966b0a127c6f2e23dcdb2174c5afc92d9dd","2018-08-27T23:24:03Z","0","0","0","0","0","1","0"
"a83aa3778d5890a17031eda3b67618abeaf42df1","2018-08-27T22:51:55Z","0","0","0","0","0","1","0"
"a0c4f48757e5e537298a7173dfbed949ab05d5cd","2018-08-27T22:20:59Z","2","3","3","6","1","1","0"
"a8c0f47fcabbdbe5db5fed6afeb65360ec5e36a6","2018-08-27T17:22:05Z","2","3","3","6","1","1","0"
"ae3e3ada26ef73efdf3ea6b725b6f2fe19ef768f","2018-08-27T17:20:50Z","0","0","0","0","0","1","0"
"74d09c6cd5178d1601fd7b1559a5aa328078bc4f","2018-08-27T07:02:35Z","0","0","0","0","0","1","0"
"6776cf7912d7f6e93e9a0859232f1f54c45406df","2018-08-27T06:27:16Z","0","0","0","0","0","1","0"
"79ee9c12b720dfeece6ac45dcf602ca5fe831bbd","2018-08-27T05:35:00Z","2","3","3","6","1","1","0"
"4cd8b74588db711f7c4e99628771d0ee7a5ea16f","2018-08-27T02:14:06Z","0","0","0","0","0","1","0"
"f83c6219a32456b24c9a78cd597f97943c938669","2018-08-23T16:15:08Z","0","0","0","0","0","0","0"
"c387047a61398da3da93b90517505379b3d9c76b","2018-08-06T15:46:51Z","1","9","2","11","1","0","0"
"96f159e542a9b6577e907fe7e1319842293d584b","2018-07-31T15:02:07Z","0","0","0","0","0","0","0"
"0ad6d19d7242df442ff709acb2d0beebc98ce5d0","2018-07-23T17:53:15Z","0","0","0","0","0","0","0"
"2ada5f539b60ee89c2a6c2ed023675965a5e871b","2018-07-23T17:47:04Z","0","0","0","0","0","0","0"
"af0f3b50f21da66008efeedf16b80ae6de8d91f6","2018-07-23T17:36:45Z","0","0","0","0","0","0","0"
"2a50eedd0e3d932f2d424e5204a1337cc3d7966c","2018-07-22T13:49:03Z","0","0","0","0","0","0","0"
"71fa34a822b9593e2bf4b59898ee1ad2ba9c65b6","2018-07-18T18:41:17Z","2","25","4","29","1","0","0"
"a108176e6d2ae9c475f3eea12987ed2d7fd823dd","2018-07-09T17:57:12Z","0","0","0","0","0","1","0"
"0c13d77e7815894a7f444df59a6ee487c8711f06","2018-07-04T14:18:52Z","0","0","0","0","0","1","0"
"2631d09367bf3312e5f7331f81b36f0928e8f676","2018-06-29T16:25:55Z","10","250","14","264","1","0","0"
"9f257b67d9329c0cca40eec9ab242e3ab7e7797e","2018-06-26T21:50:29Z","0","0","0","0","0","0","0"
"add640d3bb42170fae18bdd1bdaa0277dce12929","2018-06-26T20:10:51Z","0","0","0","0","0","0","0"
"8bda799672d44fd2994d2498441859fae3ccb530","2018-06-26T19:26:19Z","82","3877","2621","6498","1","1","0"
"3cc95c2de0a3749fb2ec365000e9026ebe0b6ff4","2018-06-26T19:17:32Z","0","0","0","0","0","0","0"
"32f67f43b574605ea7bdb205f81f359edca05f04","2018-06-26T18:59:41Z","0","0","0","0","0","0","0"
"5121a354b4e6a14c8b07da71678d9e74e90d8472","2018-06-26T18:27:06Z","0","0","0","0","0","0","0"
"58a48653ca3bd0d53567dac41e8c5794b1c54ba0","2018-06-26T18:06:33Z","0","0","0","0","0","0","0"
"a97133bb606559de731fa2a4b73fd52ece9b5c24","2018-06-22T22:09:26Z","33","1539","181","1720","1","1","0"
"c228ef117553ce5ac39ef1661b55d3c7f29c95c0","2018-06-22T22:08:36Z","0","0","0","0","0","0","0"
"3579b419737270b1704ed2b73ae4d3d43f461a57","2018-06-22T22:07:55Z","0","0","0","0","0","0","0"
"45c12b1add874bae63b9678a6139008157eedbcc","2018-06-19T20:06:32Z","16","616","30","646","1","1","0"
"dcdb3b520d002de295c416d160feb26cf7c7b313","2018-06-14T23:01:12Z","0","0","0","0","0","0","0"
"915846db38873172bcb0eeeeefff4ff86a733732","2018-06-13T16:22:09Z","11","163","37","200","1","0","0"
"a346bf241b4eae725e19cff00bfd179d70a596b2","2018-06-12T21:45:57Z","7","380","660","1040","1","0","0"
"36b118fb223a96f9c6180e2053c67f1825a90747","2018-06-12T21:41:51Z","3","29","82","111","1","0","0"
"8c514adc276ecac6eff168f978ff0c363b9557bd","2018-06-12T21:11:51Z","1","4","6","10","1","0","0"
"519f887f5caae1e09a221f789911c07aab27d77e","2018-06-12T21:10:16Z","2","29","93","122","1","0","0"
"076b865240758344445a53b8a47f2d3d8bc3da72","2018-06-12T20:48:22Z","5","220","18","238","1","1","0"
"2fb28a102210058325f62a7638cc7779cb05fe2c","2018-06-12T20:32:05Z","0","0","0","0","0","0","0"
"d460977ca3c1a6abebc4b7889bc3ef018ecf5057","2018-06-12T16:36:04Z","5","220","18","238","1","0","0"
"5fac07e1471619aa192e5ff047583bb81f7fdfae","2018-06-12T16:11:38Z","0","0","0","0","0","1","0"
"5c78b88bb1160d97e446b74c2d972f50806c0fba","2018-06-06T20:02:01Z","4","12","13","25","1","1","0"
"6f5f8c5670dc0ddd8a779352819925d3ddc86a01","2018-06-06T18:52:42Z","0","0","0","0","0","0","0"
"44b1a4f9ffba43f1889039c8758f3e388ec51291","2018-06-06T17:29:24Z","4","12","13","25","1","1","0"
"0d366313f9348bd29a4d21dd31c71dc1045bd4db","2018-06-06T17:08:44Z","3","11","12","23","1","0","0"
"65a1a378805643f28c28d801f3344eea6c4e13d6","2018-06-06T16:55:32Z","0","0","0","0","0","1","0"
"e683a7ba73b3c5897296924aae01a69c8a732253","2018-06-06T16:46:01Z","0","0","0","0","0","1","0"
"3e1ad5f56d9752377e6f1b1fbcf632a2bb763545","2018-06-06T16:34:36Z","0","0","0","0","0","1","0"
"9aceabbbdc39a1ca916ea233abffdda7c65ca2bb","2018-06-06T16:34:08Z","0","0","0","0","0","1","0"
"8832dbd63f0ab562930fd26745fdf26fd1994ffd","2018-06-02T20:10:12Z","3","43","30","73","1","0","0"
"a260b62ca8e3386291ef8b7cd78dc7b70eac4121","2018-06-01T04:17:10Z","0","0","0","0","0","1","0"
"fc00b78b0221508704b8f53bfc5b8e722ee2a424","2018-06-01T04:16:18Z","0","0","0","0","0","1","0"
"cd93e8ff1f09e34d94e2471a3c0f84d77779f252","2018-06-01T04:16:00Z","0","0","0","0","0","1","0"
"1f2ca3a0a2b42041bed6aa493ad4dd61c8ff351e","2018-06-01T01:12:28Z","2","3","3","6","1","1","0"
"863279245d29c544ac0f0a12b17a2e7806bb3434","2018-06-01T00:58:04Z","0","0","0","0","0","0","0"
"47787cbf77f18cc9031b92d797ae5373e6df8a2a","2018-06-01T00:57:41Z","0","0","0","0","0","1","0"
"1bc5cbecbd0e7d5c35ebbb96fba1b8da5e413632","2018-06-01T00:29:56Z","0","0","0","0","0","1","0"
"ea5475ca7de0e099ea4757f3ae6edba36e9d7854","2018-06-01T00:24:58Z","0","0","0","0","0","1","0"
"b62aab23bee5ec1413e7c2559daaa8ad60401ef4","2018-06-01T00:24:42Z","0","0","0","0","0","1","0"
