"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"6a2406043a0443c91471dd90c99243900848bed7","2018-08-14T15:15:34Z","0","0","0","0","0","0","0"
"c0fed6f7ee5423ae450ec61e038b43a2d0994fa5","2018-08-14T15:00:43Z","3","13","10","23","1","0","0"
"e43ead1f0631cec75788d35224a58226c2e757d2","2018-08-14T14:55:59Z","1","11","7","18","1","0","0"
"b66a4eb2dff46366e93e15102447759c141244cc","2018-08-14T03:51:55Z","2","2","3","5","1","0","0"
"018bd92c641ecd086c2ac72cf26a81c3da6bce8b","2018-06-18T16:51:16Z","2","11","0","11","1","0","0"
"2f6d92dc207c75b453770c74a7fc4da009acf1ae","2018-06-18T16:41:30Z","0","0","0","0","0","0","0"
"4b6d5876eda2122b36a9b5273ba8f720084c29c3","2018-06-18T16:40:36Z","1","8","0","8","1","0","0"
"1800cc76b938526b87bb3f9000c8c8dcdcd660b9","2018-06-18T16:21:35Z","1","3","0","3","1","0","0"
"cef544747c82d5a778f775413926c8df4acfe760","2018-05-17T09:21:42Z","3","43","15","58","1","1","0"
"28aff486c98ddb6da25c2ff88e7115963672b381","2018-05-17T09:06:25Z","2","14","9","23","1","0","0"
"45982cf82d260c9abdf608308d3716611d53a260","2018-05-17T08:54:05Z","0","0","0","0","0","0","0"
"b19baf9c0e09e96b9996be17d2edc6fa5e3dab38","2018-05-17T08:53:04Z","1","2","7","9","1","0","0"
"913daa88ee2de11579ffc25bd2d701b172237cf5","2018-05-17T08:52:23Z","1","23","2","25","1","1","0"
"7c0fdea47f723bab9f6172df035ceccecfb8d180","2018-04-14T08:51:47Z","1","11","4","15","1","0","0"
"c877b1152ec7d66c6c31e52c936dc5c1accb9578","2018-03-20T12:57:11Z","1","2","2","4","1","0","0"
"9611a3a30de7f3f8238bd3a024f77193ffa6110e","2018-03-20T12:08:45Z","0","0","0","0","0","0","0"
"11ae2f7697c74c682a9093b20197847dd8e723d8","2018-03-20T12:08:04Z","1","2","2","4","1","0","0"
"fda09595a9eff538e7e418cf49b55cc06d9077c4","2018-03-14T12:42:45Z","1","1","1","2","1","1","0"
"55725759d8ddbd2cc1e9505d1e0069fdc93f0012","2018-03-14T12:21:49Z","0","0","0","0","0","0","0"
"9f8ad95a16b64865fc115f3e5b6333b5437db602","2018-03-14T12:20:42Z","0","0","0","0","0","1","0"
"e2f5616e44b58596dfd93970af359146abebb68e","2018-03-14T10:51:46Z","1","1","1","2","1","0","0"
"bfba91fab9bad9f006bb93d8c3b19635fca405a9","2018-03-10T06:02:41Z","0","0","0","0","0","0","0"
"7542d445fe5604667519e6cd3d22153a4f713e99","2018-03-08T06:54:54Z","1","1","1","2","1","0","0"
"f7f11564dbc19f51c1e5c136737ba520c4c07b23","2018-03-08T06:46:01Z","0","0","0","0","0","0","0"
"fb59e4a133ed5a92547939a071859bae4759c707","2018-03-08T06:45:10Z","1","1","1","2","1","0","0"
"f32664074d18e40c4b689bc4183b0a06b16c4699","2018-03-07T16:19:52Z","0","0","0","0","0","0","0"
"8e70853d9aff4299e36fefb3a96b88c775ba730a","2018-03-07T16:11:56Z","15","398","1783","2181","1","1","0"
"43337091b86027fc00eeffcc92ddf63423fac88b","2018-03-07T15:58:24Z","0","0","0","0","0","0","0"
"cc186b58391f96ee8ff0b87ccda33ec6610965e4","2018-03-07T15:58:24Z","3","28","17","45","1","0","0"
"6a5373c70fb6e90f12e30a9a71263136c11fcac5","2018-03-07T15:58:24Z","2","1","1571","1572","1","0","0"
"703654bceee18385362a32d23b3d3ac9470388a1","2018-03-07T15:58:24Z","6","83","12","95","1","0","0"
"782bd0893856b66c51028c759ad73b534d607a29","2018-03-07T15:58:23Z","5","229","171","400","1","0","0"
"59b649f10da0a1253bf38c3f64d5771348539919","2018-03-05T14:35:02Z","2","56","4","60","1","0","0"
"6daa61e7ce04c3ec19e1f60955b1097a46e0a637","2018-03-05T13:25:47Z","0","0","0","0","0","1","0"
"152fdf6c51538d2c543a1b8f1103c698d583e98e","2018-03-05T13:22:22Z","1","5","12","17","1","0","0"
"54ff12ffd7a41dd59e9c7a50ead75a1fb63851e6","2018-02-25T13:51:30Z","4","20","12","32","1","0","0"
"d1d8f2c904fb9d7678c86a0d30eab152bed6609b","2018-02-25T13:33:29Z","0","0","0","0","0","0","0"
"8af4dc540b210d3c28b66c87d0f6b75b8c7f0d02","2018-02-25T13:33:29Z","2","15","7","22","1","0","0"
"31587d42092af0ad2eacda74ccbb020a26507e3e","2018-02-25T09:14:26Z","1","1","1","2","1","0","0"
"d91dffcffa3d282f8197ee4746aade19399d08e4","2018-02-25T09:10:57Z","1","4","4","8","1","0","0"
"327de6148f997feba334bf60c0973a9ed1cd9a2d","2018-02-05T15:34:58Z","4","1604","15","1619","1","0","0"
"76762fdb6390edb6450cc5f4f50c372c34f02f42","2018-02-05T15:31:23Z","0","0","0","0","0","0","0"
"98edbf133c817109da2ae2379c1992cf92c0051a","2018-02-05T15:31:23Z","1","2","1","3","1","0","0"
"ea1e823e4a3855a5fec8aa9fa0f6959302d8ff27","2018-02-05T15:31:23Z","1","20","5","25","1","0","0"
"1a466180f45ea1a4f07560395a559330dc7ef6f2","2018-02-05T15:31:23Z","1","7","0","7","1","0","0"
"fb9abab02f974ce4d2d997fa1f8cb337385c055a","2018-02-05T15:31:22Z","2","1571","1","1572","1","0","0"
"729b36d09820234cae3c4db305777311b3ff2eff","2018-02-05T13:52:28Z","1","5","9","14","1","0","0"
"00b8db894c83f2dc2e9930531c36532910e5ca1a","2018-02-05T13:38:38Z","2","2","1","3","1","0","0"
"41774fadd9610aec7e39a69f01111ebc29e50c49","2018-02-01T10:46:51Z","7","90","43","133","1","0","0"
"e631c3c6b3c3b2ef998136e0c6af59cc4e8b3c14","2018-02-01T10:42:40Z","2","2","1","3","1","0","0"
"15d5173cb87152c8d5343d23a53293745db19eaf","2018-01-22T14:14:27Z","0","0","0","0","0","0","0"
"ae715a85871ee19b5f689c3e3aa7c5cb2728ebc4","2018-01-22T14:13:07Z","3","10","2","12","1","0","0"
"46e3027dd638d26d0456b141fef7ba2148cd1f56","2018-01-22T14:13:07Z","1","19","17","36","1","0","0"
"b24bf299f9890aff9bab3b24cdf3ade2f80a37e3","2018-01-22T14:13:07Z","1","7","0","7","1","0","0"
"b5109b38200ce2a2cd0cc0de9c72a4140375b96e","2018-01-03T14:20:03Z","0","0","0","0","0","0","0"
"07d088e02be9d91d24bacdc2eba2da7a8652be4e","2018-01-03T13:35:46Z","1","27","18","45","1","0","0"
"fcc8f192d2f7a86c636cc0b4cd938f7e29a4ddda","2018-01-03T13:33:12Z","1","2","2","4","1","0","0"
"e097956fa4ff8c501d3b165581d3e97e3f7bb1f0","2018-01-03T08:28:22Z","1","2","2","4","1","0","0"
"23f22432f969e9aa85e040379673766d7c0dccf7","2018-01-03T06:30:07Z","0","0","0","0","0","0","0"
"8259550e6d84d8c6d1daabb2d435f2e6aa0a6151","2018-01-03T06:29:32Z","1","2","0","2","1","0","0"
"a71366353fb9e2f95ee9d48df1ed55b02e8507ee","2018-01-03T03:59:58Z","1","2","0","2","1","0","0"
"f3c7db31872e66dc3d2d209a7571b6b7a74ef7c0","2018-01-02T12:22:40Z","0","0","0","0","0","0","0"
"951f6e3693163d2c683cad0befb8ccc2eac26fff","2018-01-02T11:18:02Z","0","0","0","0","0","0","0"
"4974e9ddc7ea5d8c79abc60b231cc7b9d5a69335","2018-01-02T11:06:51Z","1","13","2","15","1","0","0"
"723bf043afd04384a312e4f55e1f7ea30830e0fc","2018-01-02T11:00:49Z","3","6","12","18","1","0","0"
"d01eb1ec5955b7fd2a33404bd6e4cde8213dce60","2018-01-02T07:30:51Z","0","0","0","0","0","0","0"
"28de6def2e62fd9eb37a110ade83094df07d5864","2018-01-02T07:30:44Z","1","1","1","2","1","0","0"
"65bc6de2ff82f4571b0868e6f3ce8d45c756ed42","2018-01-02T07:30:14Z","2","16","0","16","1","0","0"
"ba487a78fc03c07f6e0f7692864d10440741fa99","2018-01-02T01:59:21Z","0","0","0","0","0","0","0"
"7ef330818801fa643b7d733228d2489e500d573b","2017-12-31T09:36:25Z","0","0","0","0","0","0","0"
"b6d3c05faf17925fd79f8167376a90361134b559","2017-12-31T08:52:42Z","3","42","17","59","1","0","0"
"0a54272c59ba99bcea8bc562dd7a539ce98b0ed7","2017-12-31T08:30:01Z","17","525","380","905","1","0","0"
"2c4f84738026869c5c1292cb45e60ee3fea522a4","2017-12-31T08:23:45Z","1","21","15","36","1","0","0"
"ae699b906156ae07c7c08d629a06e0e950d50656","2017-12-31T05:15:25Z","4","7","38","45","1","0","0"
"c796ba9f79c65129b6687ed6270d0fc4616e2ccd","2017-12-31T04:10:10Z","1","1","4","5","1","0","0"
"f9a37689aec69aa678402e4d7251140a58cdcbe2","2017-12-30T13:30:29Z","1","1","1","2","1","0","0"
"2622b70c6f444033ce69a673f4be713af1e11eb4","2017-12-30T13:29:35Z","9","40","40","80","1","0","0"
"e5c6786387e35e4b144f21462dc2340b49baa366","2017-12-30T13:18:52Z","1","16","8","24","1","0","0"
"814e3a0bd697d332abd34f28a905a0eca6f20c70","2017-12-30T12:56:50Z","5","113","37","150","1","0","0"
"2bf74e97788ce575a408f3e2e1b058ebf760595f","2017-12-30T02:22:28Z","5","215","257","472","1","0","0"
"0b12f03506a61171da6a5f921b94b1fc51d48002","2017-12-30T02:00:37Z","1","3","4","7","1","0","0"
"0115596cd7efa7bd30ba7dddc3c580b305a1bb1a","2017-12-30T01:59:16Z","3","39","6","45","1","0","0"
"a6d7c9f7817301458b44e64ea2388aca963fba72","2017-12-29T13:10:19Z","7","244","145","389","1","0","0"
"e94a59de192500bbe5545fb3c68d60175fe0f12e","2017-12-26T16:08:35Z","5","49","16","65","1","0","0"
"b448bbd344a5169e01e2cc5bff47641659250b30","2017-12-26T15:17:17Z","8","59","72","131","1","0","0"
"9e85d7d76a9231ea11dc27f486b4ff120543cfa0","2017-12-26T14:50:31Z","2","15","3","18","1","0","0"
"d3ac70b392b3107fd6ce968c0d66e870c9c2d8cf","2017-12-26T14:10:01Z","5","161","29","190","1","0","0"
"26ce9615d4cb728d31ff8591e34ff6903c3dd211","2017-12-26T09:33:01Z","1","0","1","1","1","0","0"
"5e3c8493f15d4a0b80b7644372b44b3de919921f","2017-12-26T03:02:44Z","1","23","19","42","1","0","0"
"ef1e7812dd817afc382cad3bd8ce543048fcae79","2017-12-23T02:35:46Z","1","2","2","4","1","0","0"
"4eb4adc638ff085ee15b32a8a061474ddd04503a","2017-12-21T12:18:19Z","0","0","0","0","0","0","0"
