"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4e761b6be2991e0f99a22b6c121caf021bb09b16","2018-08-01T18:46:54Z","2","12","0","12","1","0","0"
"9de8c3b50c4c7bba5518c7d9b43b4d80464087d3","2018-08-01T12:04:19Z","2","12","0","12","1","0","0"
"a1ff935b7c29c4d41bb004405f67293121f5cb90","2018-06-02T08:34:14Z","1","2","2","4","1","0","0"
"85ad62d7b2f5d0365fabd7afca88cdbeec5c368d","2018-05-26T02:56:44Z","1","2","2","4","1","0","0"
"bea138a075df626f9f70258c2105abb7d472049e","2018-05-17T13:18:11Z","1","2","0","2","1","0","0"
"37fa6c8f80089ac58970ac505fedf2757d9eec7e","2018-05-17T13:06:20Z","1","2","0","2","1","0","0"
"9f0be4179ea60ce93e06ef007cad92a48099f29c","2017-05-31T16:37:17Z","1","3","1","4","1","0","0"
"dae7a04d2ac3351faf56a79e98af1846051917bd","2017-05-11T17:56:53Z","6","84","24","108","1","1","0"
"53dd8151ab729b5d7ea6c5c0f2f0eca2282b2ef0","2017-05-10T18:19:40Z","3","24","3","27","1","0","0"
"28270220fd2b690306a501cd0c4e59ef30e057c3","2017-05-10T17:08:51Z","2","15","8","23","1","0","0"
"330772568896311865f2b9685f44b92ee382fb9e","2017-05-10T16:45:01Z","19","132","90","222","1","0","0"
"444b66a1fd347eaa70c42d312df237f576494e24","2017-04-23T07:02:24Z","4","20","98","118","1","1","0"
"5bf0ca176c45d092230768b9626978cc23711388","2017-04-22T17:23:21Z","84","1591","768","2359","1","0","0"
"2d737a37398fe20ca95261af6a7bf3780adf2649","2017-04-11T18:14:54Z","4","10","12","22","1","1","0"
"6c50e4e7ea4a886e5108e87b654e8a39f7b40031","2017-03-29T16:58:54Z","0","0","0","0","0","1","0"
"43b759cc09202ba4f9bae22d532ce1aa00fee71c","2017-03-28T18:24:52Z","32","396","400","796","1","1","0"
"a9a32295aa347a61b2668ed0b983d00f99c19d9a","2017-03-20T16:31:40Z","0","0","0","0","0","0","0"
"fb15f6099bc664dd1466de37b2f09a8cf56f61d9","2017-03-19T18:25:57Z","3","39","3","42","1","0","0"
"e3a899677da22d9db80d4b198b7cb88411735a1c","2017-03-12T15:55:10Z","4","9","109","118","1","1","0"
"dc9406cfd81f2959d436d0d63af21cdb4a9329b1","2017-02-26T12:41:34Z","19","474","155","629","1","0","0"
"d3e0fbb3b07ba2304f6ae1cb62fe69e07683b2e6","2017-02-23T17:01:55Z","21","184","302","486","1","0","0"
"6c644ced53b52fc269375c78ec948b3fad69f9b7","2017-02-15T17:23:51Z","4","25","15","40","1","1","0"
"52c663810e99ee5b9d02fcc3b1afa97e4078e11b","2017-02-11T17:52:40Z","30","137","81","218","1","0","0"
"5c39d5d2cadf9339245a5bae9749aa22774c836a","2017-01-04T17:39:17Z","1","6","0","6","1","1","0"
"f382793a7405a5f002c3d83b7ebad47cc2e6b7da","2017-01-04T17:22:29Z","0","0","0","0","0","0","0"
"63f7532ed763b04ff4df516260f1ccf24bd25815","2017-01-04T17:14:55Z","3","7","24","31","1","1","0"
"b42a58b68c26bdc13be10ae7a0cf88c236c55b29","2017-01-03T15:49:07Z","0","0","0","0","0","0","0"
"4749121c95e75295c84ba8427a2a83241722a76f","2017-01-03T15:30:35Z","7","17","14","31","1","0","0"
"0a5d53764e35ed091f796e4bfdaa0c0f171c9d0d","2017-01-02T18:16:43Z","0","0","0","0","0","0","0"
"4aa96899946a4b9d9d1a5425ad59470720e7944a","2017-01-02T18:13:22Z","0","0","0","0","0","0","0"
"b297f176d25d92b5dc01e7647a88efaf379f4189","2017-01-02T17:44:53Z","9","142","42","184","1","1","0"
"be9e75596a00e31359197a52489a6895ac516658","2017-01-02T15:09:58Z","34","2371","60","2431","1","1","0"
"9afd4e1e264a226633d6e7e883d89062addc7836","2017-01-02T15:01:45Z","0","0","0","0","0","0","0"
"59b89d33f8feaa1c7febabf2d05de1088aad1153","2017-01-02T06:44:00Z","0","0","0","0","0","0","0"
"45dccd5c1dc7745a1685a2c503eecffd665a7db7","2016-12-16T15:14:11Z","3","0","9","9","1","0","0"
"1821c909f15a1e58ce60b56332654908d6665442","2016-12-11T14:23:02Z","2","22","18","40","1","0","0"
"18d1fb8400c59ca7bffeb8fa8775a3bc6aa2410d","2016-12-08T15:22:34Z","3","11","3","14","1","0","0"
"1df0c5d300fdd63ec2187d88b30894a40a683d46","2016-12-07T16:41:39Z","0","0","0","0","0","0","0"
"7472ceec93e02b325344457b2528cb320df9af69","2016-12-05T12:14:53Z","2","7","1","8","1","0","0"
