"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ea6a97880d3be6b5a7a5ed3c501baa39c82a057b","2018-09-29T08:10:37Z","0","0","0","0","0","0","0"
"f6352d58c530ff8862b022443d4399d7bfccc54c","2018-09-29T07:30:23Z","0","0","0","0","0","1","0"
"2c73c62ab6b4b368258009a585f03f99b07d694c","2018-09-27T06:06:37Z","0","0","0","0","0","0","0"
"232d186eb7e82ec5d7655d2b998323b52cd39d7d","2018-09-25T07:10:54Z","2","11","10","21","1","0","0"
"a805475d1cca51c70fdfa9974d24b1052b83f110","2018-09-20T07:58:05Z","0","0","0","0","0","0","0"
"8519150737d6ef5f69808665b3a9dee6dc676954","2018-09-20T07:57:20Z","0","0","0","0","0","0","0"
"03ea2d4bc20a4c4e7e766250dbc3bbf7415c49fe","2018-09-20T07:55:48Z","0","0","0","0","0","0","0"
"cdbdeea762ba474f516057ab7a39f8958f71fdca","2018-09-19T06:08:01Z","0","0","0","0","0","0","0"
"fb23106780899e873a2b13f555aed74917fc7416","2018-09-18T11:09:55Z","0","0","0","0","0","0","0"
"0053530ae21fc3a99cd6cc0d087243e8b403f525","2018-09-18T11:08:01Z","0","0","0","0","0","0","0"
"e6f5899041fe57cbc17c4f73605d74303dbf5a24","2018-09-18T11:06:43Z","1","1","0","1","1","0","0"
"58dfb08d499614511130148e7d8a0de4538e286c","2018-09-17T16:29:41Z","0","0","0","0","0","0","0"
"337f994b0cb09be910a47bd3a70ae7c0b3ceeed7","2018-09-15T14:17:49Z","2","5","8","13","1","0","0"
"f2a8bd9cafa225a57c97284e65b236b6f4397218","2018-09-11T23:24:55Z","0","0","0","0","0","0","0"
"46840f38b1d17f28641b82df2f800a5843698481","2018-09-11T10:13:26Z","2","2","9","11","1","0","0"
"bcdbfd8a3f1db7e04513caf5786d12eff91c6b1a","2018-09-11T10:12:49Z","0","0","0","0","0","0","0"
"f6dd2b0bd9612709378b6bc9b18c7b15040c551b","2018-09-11T08:24:56Z","0","0","0","0","0","0","0"
"7d7e602ac64840d16d11d6e0fac28acc26307527","2018-09-11T08:23:20Z","0","0","0","0","0","0","0"
"22acc2cb3060393c16ea7c0744c0f1c224d72be3","2018-09-11T06:40:12Z","2","22","5","27","1","0","0"
"d90f5299562e70be5f41db94224b6bfd36d8cecb","2018-09-09T04:51:13Z","0","0","0","0","0","1","0"
