"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"13251091da5ae3c90f85771a5dc0b72174c51daa","2018-06-25T17:14:30Z","0","0","0","0","0","0","0"
"0ffecb0af7428dccdf68c4f2f1b32b585a130941","2018-06-24T17:58:48Z","12","635","399","1034","1","1","0"
"8376d82089ea894fd1dc8f63069abaf883fcaa45","2018-06-23T20:03:15Z","0","0","0","0","0","1","0"
"000253b3d1933e45411d91e3c3c453a8a1dc6278","2018-06-23T06:21:39Z","3","29","1","30","1","0","0"
"66ea4c1ea448979000a01880c7ebd89c45c21471","2018-06-22T16:50:39Z","11","607","399","1006","1","1","0"
"d7a393303fe8536646797ae4f85999f40066864a","2018-06-09T11:27:36Z","8","42","48","90","1","1","0"
"a4d225b0f663761efc943cc167d868cf92986a29","2018-06-09T11:23:49Z","0","0","0","0","0","0","0"
"0e0c7e970933609325c0a44ed126e3f731f5d81e","2018-06-09T10:32:03Z","8","42","48","90","1","1","0"
"abdf97052596380b8d4b838c6ab4a7c1bf854522","2018-06-06T16:57:18Z","1","0","6","6","1","0","0"
"7b55268f86b48add8e950030007c63ada51f6e35","2018-06-04T14:41:23Z","0","0","0","0","0","1","0"
"0df5bdaa2ccc9bf5866a5bd2701b5c7d3257f308","2018-06-04T07:08:44Z","0","0","0","0","0","0","0"
"2b0bde68d25c608cfd4f45663f0263ff93de209f","2018-06-03T20:15:13Z","8","101","402","503","1","0","0"
"809a0a9ab6ce1589b558dc1c89017d9357aa5afe","2018-06-03T19:33:34Z","1","20","15","35","1","0","0"
"1bb6b568622747e098f577bd1d9891c2589fdb8d","2018-06-03T18:48:19Z","11","58","58","116","1","0","0"
"c173a41e892790b409ae226bd7c944d1b758b67f","2018-06-03T18:48:19Z","5","22","15","37","1","0","0"
"a95431c0187f0b4d55e532429ed47fb70dfbb88f","2018-06-03T18:48:19Z","52","60","79","139","1","0","0"
"7027710b3141e3f94bb0de7a8ce732d23f8b2bad","2018-05-30T12:29:22Z","1","20","7","27","1","0","0"
"9cf1f2f93640a00a8d3a6bbf026d8491de74fd9e","2018-05-21T18:20:30Z","3","32","4","36","1","0","0"
"53522f69e08bb4efabe92de966948c6eeccb46de","2018-05-21T18:18:26Z","9","8","388","396","1","0","0"
"b8a5ab1dcbae020771708cbbeeb6a44ddf4b0e95","2018-05-21T18:09:20Z","35","1266","415","1681","1","0","0"
"b67552cf534ade29e6e44bcc51af2558add751e6","2018-05-21T18:02:37Z","6","112","42","154","1","0","0"
"aee6d1756e0e11f70f3f619cbfc183998ea55b68","2018-05-20T16:15:50Z","7","348","37","385","1","0","0"
"35bf7377830e9bd186298b5f9bb4f01b7532003f","2018-05-20T16:08:50Z","1","25","9","34","1","0","0"
"80b4acf7da34776bada8110c8794b099ac4b116f","2018-05-20T09:22:10Z","25","1220","130","1350","1","0","0"
"9e961556534638b44d3394c7f863110db0c54ab5","2018-05-18T15:46:24Z","1","19","12","31","1","0","0"
"db4d251fd49c340b5105ec437f371c4763035830","2018-05-18T15:34:10Z","3","132","55","187","1","0","0"
"dfa0f825882bd5a8325a7df8e95be316ddfa62cc","2018-05-18T12:30:09Z","25","1104","94","1198","1","0","0"
"2c3f5ed359f3eca88641ee6cb0f99c98fd429714","2018-05-17T19:09:03Z","0","0","0","0","0","0","0"
"53e092d79dfc8a576c75d4a05c868e1780520f25","2018-05-15T19:17:09Z","2","0","62","62","1","0","0"
"a8ba3865b1ff4b5582850e548eeb7b49eef8cf6f","2018-05-15T19:14:19Z","4","4","199","203","1","0","0"
"78bf648a3929a38e40fd15a57bd44a0eb5299ead","2018-05-15T19:03:54Z","7","23","18","41","1","0","0"
"e90c84c61c25bb2a5c741bb3c76c2343805e4373","2018-05-15T18:21:12Z","4","104","1","105","1","0","0"
"fcb87e16be891042b601ab19cf8c6f1ec84bc901","2018-05-15T16:56:02Z","0","0","0","0","0","0","0"
"a6884f1905880af775e5dd1bd52a858749d807b7","2018-05-08T19:34:57Z","7","347","35","382","1","0","0"
"a1f3380cde463db3e43094c9b2944cd87ce544b1","2018-05-08T18:51:42Z","0","0","0","0","0","0","0"
"d0d780ec837c3f154d0385318ad6683dbf0099c7","2018-05-07T19:19:29Z","1","0","61","61","1","0","0"
"33e492a1ca93b47697e02a04c5516f7c241ec32c","2018-05-07T18:50:40Z","1","3","5","8","1","0","0"
"44a2c7df0ba9780221d2ff1b611fd4eb340abfa1","2018-05-07T18:46:26Z","1","1","1","2","1","0","0"
"93754ed2aae7c0df69819fa34d13ee6eebd22b21","2018-05-05T17:22:54Z","6","236","37","273","1","1","0"
"577040ec46e875701490bcbbb177e50065eaed91","2018-05-05T17:16:43Z","8","481","89","570","1","1","0"
"bbc3b0f828c44153ab2519911799658df1e6d232","2018-05-05T09:50:49Z","0","0","0","0","0","0","0"
"d6cb30a674240186c3d7425b5ee7849186ee758b","2018-05-05T09:50:49Z","0","0","0","0","0","0","0"
