"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"db877f57bc2ee6d4f712107dc1f81adabbd5bce3","2018-09-19T09:32:34Z","1","1","1","2","1","0","0"
"1dab5919a3ca68fa735a503faa24914fb9df05f4","2018-09-12T03:06:06Z","4","115","92","207","1","0","0"
"145a6a73e660bb7e14cf18c05b0e6e6bea261a7f","2018-09-05T02:37:58Z","6","1840","0","1840","1","0","0"
"a5336351a1d049d88a73781b8a06ffc0dfae0b0f","2018-09-05T02:11:38Z","2","23","23","46","1","0","0"
"76a7a5b73c9d2b66605ca53f686d61963bf2ceea","2018-09-04T09:02:17Z","3","445","28","473","1","0","0"
"bcd050f981a934d57dada57be095d1bc4239b18f","2018-08-27T08:53:27Z","1","67","134","201","1","0","0"
"3b165e23b9635b85071a6312c3d3a5e160f53561","2018-08-27T05:54:18Z","3","2054","1691","3745","1","0","0"
"f6ef263fa799032c5d3376f37f9163afccdb751c","2018-08-17T09:56:37Z","37","566","375","941","1","1","0"
"0a2710736a5ae0830d9b4ee83300bb13e86f171f","2018-08-16T06:59:15Z","4","50","54","104","1","0","0"
"def84397f0668bb3705a97753b23ac09ef8a028d","2018-08-16T06:16:36Z","0","0","0","0","0","0","0"
"ee48096594b475c1999743e803b0940b260ed2f0","2018-08-16T06:15:20Z","2","4","4","8","1","0","0"
"b085f5e56a085611e12b263f9b54fb90098fe8c2","2018-06-09T05:33:23Z","0","0","0","0","0","0","0"
"34d4c36ae050e94dae70573cc94ce65ff588bd87","2018-06-09T05:28:26Z","0","0","0","0","0","0","0"
"1c19b0fd068266a180c13dfa52626b3cc08f111c","2018-05-22T03:38:04Z","3","318","252","570","1","0","0"
"bc062871adf4f772c004675ea4c5e9af07227c29","2018-05-21T03:08:31Z","22","222","218","440","1","0","0"
"4bf41570b19d29aa0ad1968cdbb802d0afdd406d","2018-05-18T09:12:12Z","27","692","2173","2865","1","0","0"
"efd00addc291deac2a5574e4d5583dfc21d42be5","2018-05-10T02:29:25Z","13","3297","70","3367","1","0","0"
"e743a267fdd845b5c2da2f38365bb00360395ad0","2018-05-03T03:25:48Z","3","27","8","35","1","0","0"
"d57c6b99bfb8bea11f8baf62d58e1ff332954ac9","2018-04-28T09:49:39Z","1","14","4","18","1","0","0"
"5a260b4e99818a9c5a7a0810af9634fda6ce7db3","2018-04-28T09:18:39Z","4","126","154","280","1","0","0"
"f50fd907a70d6ea354bfff0b945f65cb5546b701","2018-04-16T09:45:39Z","2","17","8","25","1","0","0"
"0f505a80bad05a7cce62ffeb093ac81e57c39225","2018-04-16T05:22:38Z","8","6","112","118","1","0","0"
"a978a61b02ca68298e2f0cd45ab46d33fe330ad4","2018-02-09T07:58:55Z","0","0","0","0","0","0","0"
"d9b9305cbf3e6c5fa72b65639fb5754fc0e1b1e8","2018-02-09T07:58:38Z","1","16","14","30","1","0","0"
"bcbda0b53f9e977361baeb382fefc97124a25184","2018-01-30T09:49:05Z","0","0","0","0","0","0","0"
"37ef988d00d370483d5940c54e1bf4f47c88a171","2018-01-25T02:57:41Z","1","0","21","21","1","0","0"
"5bb0d98ce612f3eafcc98483d7c7f0dc5790b4d2","2018-01-25T02:48:50Z","2","9","9","18","1","0","0"
"952ec9d7417b761f250897f95f90aa11076f41e7","2018-01-19T09:07:17Z","0","0","0","0","0","0","0"
"2ed78589286f5c700ba70b07a4eefc73fe5e5a01","2018-01-19T09:06:50Z","1","4","2","6","1","0","0"
"9d3a4b2da01877799b0db90d278332de2371d5b9","2017-12-12T13:30:45Z","0","0","0","0","0","0","0"
"97681bb982a6b2f0491991923762084632f208ed","2017-12-12T13:13:59Z","0","0","0","0","0","0","0"
"e5db1723738fcfccdeebe89f08d41de4f6f04dc3","2017-12-06T07:20:16Z","1","20","8","28","1","0","0"
"3cc4235cd77bd620daceac72e771d9307a04b197","2017-12-06T06:13:33Z","0","0","0","0","0","0","0"
"0011fd51e6c8e17a2b5b512eb42a83a2e4a7c872","2017-12-06T06:13:09Z","1","1","1","2","1","0","0"
"f2ba24b911de9ba554f244a089e067148b399ee3","2017-11-24T06:14:32Z","0","0","0","0","0","0","0"
"b29739c224792f9f2ad81b4cc8466fb70d23e65b","2017-08-16T01:45:31Z","0","0","0","0","0","0","0"
"d411d35283917940a8e12aafcbc1c5429e5db7d3","2017-08-16T01:45:04Z","1","1","1","2","1","0","0"
"6bd0afb3cdc921e5ffb8688455f6c9c612949ed4","2017-08-14T11:32:51Z","0","0","0","0","0","0","0"
"da1e03db48203aa4d54f6a967818d8f13f367cd8","2017-08-14T11:30:07Z","0","0","0","0","0","0","0"
"3dd90515f89435b86c2c01db4a5f32528118d84a","2017-08-07T03:20:22Z","0","0","0","0","0","1","0"
"bf156dfbf34197ce84de50572c48767b28f7e97b","2017-07-14T08:58:44Z","2","7","5","12","1","0","0"
"f88195f3a48d0f7402c05ee43d9a926d3f3e70c9","2017-07-10T06:17:45Z","3","29","2","31","1","0","0"
"59951713bc9a8dcdd176ce71fbd525109a707b15","2017-07-10T05:55:17Z","5","43","8","51","1","1","0"
"1219d3a94eee8146df218beb3b8f6bd9302cfff8","2017-07-04T12:01:04Z","1","21","7","28","1","0","0"
