"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"147dbbe73d9278072defaccc3f59942d2651e176","2018-04-24T02:57:24Z","0","0","0","0","0","1","0"
"73a2acc1e54cb44f22774f5065204b5e2f014117","2018-04-24T02:51:59Z","3","11","11","22","1","1","0"
"8a9b2f57106f95bd37d9afeeb0d9a8a6112f0cbb","2018-04-23T11:00:09Z","0","0","0","0","0","1","0"
"103621baa2295dcb6d906d59d973f2c12b6f45f9","2018-04-23T10:55:28Z","0","0","0","0","0","1","0"
"063b7cadfc1583da8b3a332bfa7f3c83f941639e","2018-04-23T10:55:28Z","2","5","3","8","1","1","0"
"5a8a967cfc7bc33d266bfdd9538aaa600ff4008c","2018-04-23T10:55:28Z","18","58","28","86","1","0","0"
"874f3fb62d601dbb58ce7bebb7ebbc2da5d9ac67","2018-04-23T07:53:36Z","0","0","0","0","0","1","0"
"851841e52c248047f1da650290948a34feb5623a","2017-11-07T06:46:47Z","0","0","0","0","0","1","0"
"b9f89ace70895267227529feb5829775d631402b","2017-11-07T03:42:05Z","0","0","0","0","0","0","0"
"bd6732ee116f91aa53b195d615d47cc6416ad9aa","2017-11-07T03:09:58Z","0","0","0","0","0","1","0"
"4d4ae58826cf4e330c91145f08ef827f3072e000","2017-11-06T16:47:35Z","1","10","16","26","1","0","0"
"0d255342c9b5bedd2c139cd8e19ec9cd87e23291","2017-11-06T15:22:54Z","16","44","29","73","1","0","0"
"a80ca4c7e09fc387a7dd38d61326c0b66cd4da22","2017-11-06T15:20:07Z","8","67","100","167","1","0","0"
"3f25fdaf93abcf0c596af32063628f434bb9a067","2017-11-06T15:16:38Z","0","0","0","0","0","1","0"
"ccf1457b46e35dbbeb8e7ceccad4c58b68dfee0e","2017-10-15T11:39:31Z","1","1","1","2","1","0","0"
"62f753ec9351328c28dfeaa03e6a3690bc057a4a","2017-08-22T03:36:37Z","0","0","0","0","0","1","0"
"a0724f3c5275783bed21c4d436a0b475c6df0842","2017-08-22T03:24:14Z","3","94","8","102","1","0","0"
"61472006502df6deb73605cd680f61f9d44607a3","2017-06-27T08:44:18Z","1","2","2","4","1","0","0"
"f4c9992a93aee659d2bb6af95b06d5ac66ed3395","2017-06-25T07:12:57Z","0","0","0","0","0","1","0"
"d1e87cf9b8b7db8167330bfc5857ab2cc4426ce1","2017-05-24T09:16:45Z","0","0","0","0","0","0","0"
"c2119b110ca820555e7b8026e7155bf90b42141a","2017-05-24T08:01:31Z","0","0","0","0","0","1","0"
"5eea2cf45bf5ed273b12372b857479a164a4c4b2","2017-05-24T08:01:14Z","1","33","19","52","1","0","0"
"b34e0b90139ba13350d293f4b8dbe69c7604f3be","2017-05-24T06:56:58Z","2","567","0","567","1","0","0"
"b297f0dd59c6fb355867412c391402ffc36d670d","2017-05-24T06:56:35Z","1","127","0","127","1","1","0"
"6c89a3b4b3fa6611c5ab01d7d269378b4857b42d","2017-05-23T02:59:17Z","1","4","2","6","1","0","0"
