"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e1a2a9e8294324c2a5bc38ce58f965af62b6a578","2018-09-20T16:56:57Z","1","7","0","7","1","0","0"
"38887c5696d98406d4a296ee83247db5317ca0b3","2018-09-20T16:56:57Z","2","3","3","6","1","0","0"
"23c8d34edbcf8418c26eb1eae40c01f7d693ccfd","2018-09-20T16:56:57Z","1","1","4","5","1","0","0"
"e62cc87f4fba213b103db20721f921b4a6872bb7","2018-09-20T16:56:57Z","0","0","0","0","0","1","0"
"94613ae08a60ee738cce2c000c68605396f649bc","2018-09-20T16:56:56Z","1","6","2","8","1","1","0"
"a5623eab4eb3c722b542b8dc04ee1d9b657072b2","2018-09-20T16:56:56Z","5","8","59","67","1","0","0"
"c9a8ad9b8b7666b128badc98d3b37f6111820871","2018-09-20T16:56:56Z","0","0","0","0","0","1","0"
"953f773df1f2c586d4459f7543cccb1e7281311e","2018-09-20T16:56:56Z","0","0","0","0","0","0","0"
"b364e659baaf605fa7ac41ac82d6ede961d20443","2018-09-20T16:56:56Z","5","18","17","35","1","0","0"
"cbcdf543d16dc800610a44dc1825de836b69a593","2018-09-20T16:45:39Z","0","0","0","0","0","0","0"
"4f6ceb6ab8243cb1354b96e47d113874547fc9e3","2018-09-20T16:19:19Z","0","0","0","0","0","0","0"
"22347034777e9737f08133fbbb354340f02eaf4b","2018-09-20T14:34:57Z","0","0","0","0","0","0","0"
"1e8e69ebfd1572b3014279ff77ae582f69993fe1","2018-09-20T14:29:17Z","2","3","3","6","1","0","0"
"9eeb4d6e3c4597ad9ab1bd9e7a11f1b5c891300d","2018-09-20T14:29:13Z","0","0","0","0","0","1","0"
"00c9d8e4aaba54b8de9fd825f06ae2b544357c9f","2018-07-31T19:08:48Z","1","11","11","22","1","0","0"
"dd1458fdf7504e3e5a66aea3d0a42b785afcbe91","2018-07-31T18:43:10Z","2","38","0","38","1","0","0"
"eb1e12cc19d961deb9437f35cf855129c6492958","2018-07-31T18:30:29Z","0","0","0","0","0","0","0"
"3df29d3f900a951b9f2c8f16c0af50ec8cdedbf3","2018-07-31T15:24:47Z","2","8","3","11","1","0","0"
"7848745c9870671b851fca315956debe4adf1d7a","2018-07-18T13:51:50Z","0","0","0","0","0","0","0"
"d9d322b3d21548e61ce0a100769b21ca1d08cefa","2018-07-18T13:49:32Z","1","6","3","9","1","0","0"
"602d97acda00849e4396fbf20aa8ebfce392a42d","2018-07-02T18:58:05Z","0","0","0","0","0","0","0"
"b9054a93754557c68c09d175aedce279dcfa45ee","2018-07-02T18:53:44Z","1","7","0","7","1","0","0"
"2d21725bf19b7e66d3e40f78d80c3d2a7fc10c3e","2018-06-25T19:21:57Z","0","0","0","0","0","1","0"
"cf10855ac2c69663b7df09324b4be3df5c1c22c0","2018-06-25T19:16:07Z","0","0","0","0","0","0","0"
"7c48ddb124287b10bf3d8ecf3b10d566a0fbf62f","2018-05-16T16:41:27Z","0","0","0","0","0","0","0"
"732ed77dcfc1f24138b6d99d350784f6957d0674","2018-05-16T16:06:25Z","0","0","0","0","0","1","0"
"44c5487ca5728684fc23f2f3c9400dbb161df99a","2018-05-16T11:01:14Z","0","0","0","0","0","1","0"
"39521254609e3ef366abbcb666c730d8c9a47da4","2018-05-12T06:55:06Z","0","0","0","0","0","0","0"
"ebc9b6c885f2ccd7cfb55ab34eb4200fdeadfbc7","2018-04-28T14:50:05Z","0","0","0","0","0","0","0"
"f40138249296a85bc0c3fea3ad586b5496b1d0c7","2018-04-28T13:49:42Z","0","0","0","0","0","1","0"
"d8338a550d7f198a4b8ae35295aa9bdf44359f8d","2018-04-28T13:38:38Z","6","238","112","350","1","0","0"
"9b6abc8ba91d0f687cc358d24c818fd4ccbd5cb2","2018-04-04T07:15:52Z","4","79","7","86","1","1","0"
"67024ba681883190fcdaf5415c549c0649d30ceb","2018-03-17T08:32:18Z","1","3","2","5","1","0","0"
"d1070b46b65389d35a9a217bdd9e7298a533670d","2018-03-17T08:14:44Z","1","5","5","10","1","0","0"
"92ead7b38b0823d3aab73f58d085bdb313597ad4","2018-03-11T14:15:49Z","0","0","0","0","0","0","0"
"2ae972a7807a7e3f1f05bfab2ba7800c1a908cc8","2018-03-10T16:24:06Z","0","0","0","0","0","0","0"
"d79317a7b03882e0e624ccb7a0458463e4576bf7","2018-03-10T16:19:32Z","0","0","0","0","0","1","0"
"445aafc47f668d2f1aedc55d13d699c598686714","2018-03-02T18:07:12Z","1","10","3","13","1","0","0"
"c4b06a76615c5b9964c7b10b45969c313df1f5f9","2018-03-02T18:02:48Z","0","0","0","0","0","1","0"
"349d3171c33ccab4f1ebc30c5f13136acec97acf","2018-02-28T08:17:35Z","1","20","0","20","1","0","0"
"016cd46e163ae722b96b2bcb57b7f0ecce30442d","2018-02-21T19:13:04Z","0","0","0","0","0","0","0"
"2ea804bbcec68be94bcd0aa9472e542e87d0a6bb","2018-02-20T15:31:24Z","0","0","0","0","0","0","0"
"4faa8b0a034d6e70a2f6f846c7e64569502c2230","2018-02-20T03:22:06Z","0","0","0","0","0","0","0"
"ffdec7182981e33f905989e6723d26f279cfa526","2018-02-20T02:22:45Z","0","0","0","0","0","0","0"
"ce3b14af023703ff55171233ea4e576c11e1e7a8","2018-02-04T14:54:50Z","0","0","0","0","0","0","0"
"b7687ca1540d6468467bae4f16f764bcc8be4c56","2018-01-25T20:34:29Z","0","0","0","0","0","0","0"
"735a1ce95156246bfd9638687b5e8a1c8b7357fe","2018-01-25T04:16:35Z","0","0","0","0","0","0","0"
"64561b7b7cf2c63d4cb29d2e3e5bc36817240f11","2018-01-18T16:31:41Z","4","39","7","46","1","0","0"
"86a77315c03e28b197ccb2947caf706732d11849","2018-01-18T13:04:24Z","2","5","5","10","1","0","0"
