"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ee0d43bbde37e258c36de1003436dbe3fcf88077","2018-09-28T19:32:19Z","3","4","4","8","1","0","0"
"93b704b459c6f537d3b1651008c49ce1db2e0ca1","2018-09-28T01:42:06Z","3","5","5","10","1","0","0"
"10036aa764f9678ef2c86cde40ddcaf72d32dc95","2018-09-27T21:27:21Z","2","46","2","48","1","0","0"
"fcd00bd4af61a640c54715bdce79455ecedd9060","2018-09-27T04:22:54Z","0","0","0","0","0","0","0"
"c20a5e8805f64097430cf0722011f20862a8df9c","2018-09-26T18:08:30Z","6","251","122","373","1","0","0"
"8ace535995522bec0557d4217e0d98b3dc76cf1e","2018-09-04T04:20:23Z","1","2","6","8","1","0","0"
"f2da4be93e436258aaa52f3b053b842838dd33d2","2018-08-27T01:57:44Z","4","1","139","140","1","0","0"
"4aaa0370abc26b023ceebe9df5f0d5c326ab0aa9","2018-08-22T18:56:35Z","1","2","0","2","1","0","0"
"c6abcf5b84cbce6ad425475b5cdc0b9e4f886578","2018-08-22T06:50:25Z","1","1","1","2","1","0","0"
"d0e40ca726aaad4dd56e8a5cd5ed2432af416bdc","2018-08-18T18:21:53Z","0","0","0","0","0","0","0"
"69233f1bbf197948691dfe291a0c656dfa8efb0f","2018-08-16T20:21:21Z","2","17","1","18","1","0","0"
"f6b3893a05ce8c3d0e00900c286f4b4e9abad403","2018-08-16T20:19:45Z","1","6","0","6","1","0","0"
"f1dfb809315fd90b5b3ee1e3074cde55328792a2","2018-08-16T20:18:25Z","1","10","0","10","1","0","0"
"222a110eb132056793b4d91f2bf846220a1e44b8","2018-08-16T20:17:27Z","4","14","0","14","1","0","0"
"6ece0ba2548ee5bad430f8690077e34a2d3074f9","2018-08-16T20:16:31Z","2","11","30","41","1","0","0"
"8e7b5be3d42e151aef2cfe48208209635a46e447","2018-08-16T20:14:34Z","4","174","0","174","1","0","0"
"1171668c25526bf360549b9670dd5b67aa45e355","2018-08-16T20:03:32Z","4","48","20","68","1","0","0"
"1f58bd71c09fb90165de4161832d14a0698f731a","2018-08-16T19:55:11Z","1","6","1","7","1","0","0"
"dd0c251b3d4b2058d35456a1a7e85b3ebc160449","2018-08-16T18:54:56Z","2","5","3","8","1","0","0"
"21097a4122bf969fb387d7745046f7d661d6e07d","2018-08-16T18:02:53Z","1","7","3","10","1","0","0"
"3b8146a06e889fa71cea138e5f4dec66742170ac","2018-08-13T03:00:05Z","2","32","5","37","1","0","0"
"afd6de3e305ed7f88c8f8a2f478b25e1af1e4e7e","2018-08-10T05:12:42Z","0","0","0","0","0","0","0"
"cfa33be24bd1f96102a9fa0cfc9a8bc25603e484","2018-08-10T04:18:29Z","1","19","2","21","1","0","0"
"5a48ca99b6787c7f811045d1f98b26db6ce073b7","2018-08-02T05:29:10Z","1","2","1","3","1","0","0"
"889fa4da7e8c708539fa8deb9253fad294dcc7a1","2018-08-01T20:35:56Z","1","6","3","9","1","0","0"
"682a867a91de7ffddd5f36b4505750f54b1f345d","2018-07-29T21:21:24Z","0","0","0","0","0","0","0"
"9e30f4f6f9e213fc09a313144ec5455a78488e75","2018-07-29T02:24:30Z","2","169","30","199","1","0","0"
"f3f1e585dcd6f625ea33513c5ae3512db3184ba8","2018-07-29T01:55:33Z","1","35","0","35","1","0","0"
"14bfeefb4dea4a5f57c88d97cde566ae3b143080","2018-07-29T00:51:44Z","6","108","9","117","1","0","0"
"a935859b24916d45287b692f87765a14c3cd29d9","2018-07-29T00:47:01Z","17","491","40","531","1","0","0"
"4c3e6ed139b335aff487391897ad399a5d703b63","2018-07-29T00:39:40Z","5","56","3","59","1","0","0"
"c7c2921b2fa05b6d0fa9e6c2934c08fc84dcb71f","2018-07-29T00:38:47Z","2","28","2","30","1","0","0"
"4acfca27f88627a78473a982c004a4a18875e8d4","2018-07-29T00:38:18Z","10","105","28","133","1","0","0"
"eb870bc84c322aaec73c719f5688d1aa2dccecc2","2018-07-29T00:34:40Z","2","11","3","14","1","0","0"
"36f74e955bb8cd6814040075229c5254bedef685","2018-07-29T00:32:59Z","1","6","0","6","1","0","0"
"2786cd279cd8feb5965060da27f141d7c8ccf1e5","2018-07-18T03:37:20Z","14","611","460","1071","1","0","0"
"ab228832f24e53436d058a96ff9483376a917b02","2018-07-15T20:22:41Z","0","0","0","0","0","0","0"
"f999e87f17324b006083cf6f607ca110b956b9df","2018-07-15T20:09:57Z","0","0","0","0","0","0","0"
"6ae2287d5759a75dce7fa5b5daebf0d9adc6353c","2018-07-14T21:52:54Z","6","170","31","201","1","0","0"
"cfebf2739359961c08bad01dfa2251492df9162e","2018-07-14T21:29:32Z","2","7","4","11","1","0","0"
"603f4bd7a3657e8721ab74d4363848e337d27d78","2018-07-14T21:28:42Z","2","14","11","25","1","0","0"
"97d58aeaa1ca0ee8b70cb9f1491edcadc5635aae","2018-07-14T21:08:22Z","1","24","13","37","1","0","0"
"c6f001bb6ccecd3f010958587ee73a75ec0c2cd6","2018-07-10T04:22:58Z","1","1","1","2","1","0","0"
"a98db5bef270e0afea904708de1a88972b0aa6b9","2018-07-09T20:45:50Z","3","84","15","99","1","0","0"
"da888df4639a870b4a4b1ab094904f3cac194bf2","2018-07-08T23:43:45Z","0","0","0","0","0","1","0"
"5624afbc3273c670ab22efa169bd3493f7a39897","2018-07-05T02:59:12Z","1","20","20","40","1","0","0"
"c3aa99677adbf34be56d6852277b6abb618c218a","2018-07-05T02:58:55Z","8","20","20","40","1","0","0"
"1902363eac7e9e73b9676853e1ab7c8ffc9d3923","2018-07-05T02:58:36Z","1","1","1","2","1","0","0"
"58d570a6f19757d468cceb97aba86a33180041ef","2018-07-03T05:41:18Z","1","5","3","8","1","0","0"
"0cf5ef221cd6d7e850b848d6c1ff537a48921edd","2018-07-01T21:17:31Z","299","551","288","839","1","1","0"
"eb94dc5c484d05344401cdccf74fd21f0f326d62","2018-07-01T21:01:38Z","6","120","115","235","1","0","0"
"97627e7fb95f4e01ec8e57061f32439e530f26b1","2018-07-01T18:30:52Z","10","206","135","341","1","1","0"
"60e8359324502854c2ee16bc61dcf562daf42e3f","2018-07-01T10:33:51Z","0","0","0","0","0","1","0"
"9121b1f0c0e90a7491caaa5c9cfcc243fe113486","2018-06-27T20:10:47Z","2","33","7","40","1","0","0"
"80724a52d3db7734721d36503518936e2d6ad16a","2018-06-27T19:56:46Z","2","17","17","34","1","0","0"
"19de6cf97e5e4234457335e084b594f7dcc26d94","2018-06-27T19:53:45Z","1","26","10","36","1","0","0"
"74c3aab72027ca5746228b834d3defeeaf3fd10a","2018-06-27T19:51:06Z","3","35","12","47","1","0","0"
"464cccaa3e7c1ebf277d77ecf24850f691aa88d8","2018-06-27T19:23:00Z","1","2","1","3","1","0","0"
"1007d3e9c5abf6580c7989ef6390134108abd1ca","2018-06-27T19:06:55Z","7","148","7","155","1","0","0"
"0e4d73230b0601350c4271ccac94e0147039afd7","2018-06-27T18:45:00Z","0","0","0","0","0","1","0"
"c001d2dbf68e9199b44ba7e99065da08d0f2b0cf","2018-06-27T18:31:38Z","4","79","6","85","1","0","0"
"539626727ce8131de4f9951c4881a29228d19a1a","2018-06-27T18:29:09Z","3","30","25","55","1","0","0"
"6367c15d324b537013df71590d64b418765e519d","2018-06-27T18:27:24Z","2","24","4","28","1","0","0"
"4e4ff66bd30e11b82b0b7de9ada81d990e8d39be","2018-06-27T18:25:03Z","1","12","2","14","1","0","0"
"4d6fbd9d2ff179057be884ad4137fbb92f81cc5d","2018-06-27T18:23:23Z","4","122","29","151","1","0","0"
"a749861cb22c2139db18a07a84bf59568ee63328","2018-06-27T18:08:38Z","2","68","7","75","1","0","1"
"1db28d072ab46e7997cf8c1ce3c55466e2e5d940","2018-06-27T17:58:07Z","14","1027","542","1569","1","0","0"
"43895d773e8304d9c970e0a3ebd4107014f9deb6","2018-06-27T05:00:53Z","6","71","6","77","1","0","0"
"d09a8d98d7eefe9f2d1120f9d777873b5918b042","2018-06-26T05:09:17Z","1","20","10","30","1","0","0"
