"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d1a54a93300672767b5807f2d13355bd155d5af7","2018-09-22T12:41:28Z","2","8","8","16","1","1","0"
"2bc165c9238aad1695a9424778d9d91c29886e52","2018-09-22T12:41:28Z","0","0","0","0","0","0","0"
"93f872e90871cabfa2e1b1997e617acef3f0971e","2018-09-22T12:41:28Z","0","0","0","0","0","0","0"
"092273455a2c94dedc5cb6b3c200d8fa9e1d2cb2","2018-09-22T12:41:28Z","0","0","0","0","0","0","0"
"8524629b88397f631ef02126db15a78bb1a823ba","2018-09-22T12:41:28Z","0","0","0","0","0","0","0"
"dae99a396e2f07d3cb35ffc45b438cdf21234d40","2018-09-22T12:41:28Z","4","0","0","0","1","1","0"
"ebfeea6aaf5d261624adcfa294d25f81f01b0fcb","2018-09-22T12:41:28Z","67","125","128","253","1","1","0"
"0ee9d4b73311c65f8e7519a4e3959ff345a93d10","2018-09-22T12:41:28Z","0","0","0","0","0","1","0"
"adf48735ee844e380c50171d6e3daceac2af37cf","2018-09-22T12:41:28Z","0","0","0","0","0","1","0"
"f350ca8bd6ef3d562d8525721871b6017adf6c31","2018-09-22T12:41:28Z","0","0","0","0","0","1","0"
"902c86e6fbb059b5fba44669024d8d5a6af7fe2b","2018-09-22T01:16:11Z","0","0","0","0","0","1","0"
"bc94e6a1768208398edc2a90f14bebc41791e318","2018-08-04T03:24:49Z","3","133","3","136","1","1","0"
"8c8ed3109428152c486a82bad7ffe1d673073a43","2018-07-17T23:56:50Z","1","1","1","2","1","0","0"
"823f9eb3e8f811a036a20e68858638fc82ecc55f","2018-06-05T15:36:14Z","0","0","0","0","0","0","0"
"ff155107495a2982f7b9f1afcca7ad6458792c41","2018-04-23T10:28:15Z","0","0","0","0","0","0","0"
"06adc35b16ea3578a9de57d83d470284d0708913","2018-04-23T10:26:09Z","0","0","0","0","0","1","0"
"358f8fb7dbb6f2aab8ec204a3b6e790cf5846cc9","2018-04-23T10:26:09Z","2","8","6","14","1","1","0"
"3eaf09c978fb335f9b5ecded1e8b875a513a23aa","2018-03-12T05:25:19Z","0","0","0","0","0","0","0"
"bbd19211a9042d7e61daad372b3bcea546253a6e","2018-03-09T10:52:02Z","1","2","2","4","1","0","0"
"700da1d62e4af21077b6c4543df6877b654f59d7","2018-03-01T03:13:40Z","1","5","2","7","1","0","0"
"7b8d89f1c0ac92953efa2141062b0e5dbbbdd200","2018-03-01T02:45:17Z","7","11","9","20","1","0","0"
"b818a3f5f76c75a4e5c9de2640d8145f1ba85109","2018-03-01T02:43:16Z","14","36","77","113","1","0","0"
"0c05b4ed5318824341bef4cf74c895583ef62065","2018-03-01T02:33:43Z","0","0","0","0","0","0","0"
"fe445751fdaed8031eebb131c243f6caedb345df","2018-02-18T03:08:55Z","0","0","0","0","0","0","0"
"22702f70af355006d34723388a32251f8477e51e","2018-02-18T03:06:56Z","0","0","0","0","0","0","0"
"5710de9bdf7e760210dd7dede3aac40e2829ca7a","2018-02-18T02:57:56Z","0","0","0","0","0","0","0"
"fa635e054830011ced018bd32a169927893ffa02","2018-02-18T02:55:41Z","0","0","0","0","0","0","0"
"c079e8f48c97d575ae786eadd677a4d35448e621","2018-02-17T14:22:48Z","0","0","0","0","0","0","0"
"c156d0525286c02d13a2f8e946aec77d64e289ec","2018-02-17T14:20:40Z","0","0","0","0","0","0","0"
"9dc57cbd9dc566ddd736aa27bf46d21702abd4d3","2018-02-17T13:57:23Z","0","0","0","0","0","0","0"
"c939da90cbcc58318319a89ddb97e01ee6e1e285","2018-02-17T13:52:58Z","0","0","0","0","0","0","0"
"dfd2f7be9439239ff458a3347c92c4e1c82ae46d","2018-02-17T13:46:00Z","1","1","1","2","1","0","0"
"62d34e281763f818da35f668837974cc127b1430","2018-02-17T13:42:56Z","0","0","0","0","0","0","0"
"ac414e21f415c7fbccb2bf7914e02d95dc1a2011","2018-02-17T13:25:11Z","0","0","0","0","0","1","0"
"ad22b7eca4bf78a7abf2f601003fa77fdfed9db4","2018-02-17T12:56:34Z","0","0","0","0","0","1","0"
"01f413cf547d2215b4bec3a5d575790a9c639d65","2018-02-17T12:50:56Z","0","0","0","0","0","1","0"
"24b9f1a7b0357bd382ac93c1165eb8ea9c109793","2018-02-17T12:50:56Z","0","0","0","0","0","1","0"
"ec0591932b5b54502c6b64318ce8abf6908416f1","2018-02-12T01:44:39Z","0","0","0","0","0","0","0"
"9f147e2c00f94ff5d4215f855b79173be70ec337","2018-02-11T11:58:10Z","0","0","0","0","0","0","0"
"3b7342cee674f553dbd850bd06e71ea4b14b3a2b","2018-02-11T11:56:41Z","6","276","0","276","1","1","0"
"db9eeb21bcb0d62f5b0c087b111aaf0f0ea46e42","2018-01-28T05:51:59Z","0","0","0","0","0","0","0"
"688f4cf2c94827a19756f7b80538602a0fdc4ea0","2018-01-28T04:38:06Z","0","0","0","0","0","0","0"
"4db98785bd3b968fc5b4f2d567a7949a052d1a1a","2018-01-28T04:37:01Z","67","2244","2244","4488","1","1","0"
"dc6c5f9cb75d01143fcbcda7ccf0a8498f2f0baf","2018-01-09T11:24:53Z","0","0","0","0","0","0","0"
"f4c32e54b9fd6eeaa28d9c2a5f1dea4faf83abf5","2018-01-05T08:40:01Z","0","0","0","0","0","0","0"
"76dade5bdafd72996e590135ff5fa46715aa0365","2018-01-03T04:14:52Z","0","0","0","0","0","0","0"
"d8bfa50b4e2c12f7bd39ed19644a08e3b58fbb02","2018-01-03T03:57:47Z","0","0","0","0","0","0","0"
"21cb76c4b8d6c3ebf0f6e69c65fbf07dfc7b5c24","2017-12-30T03:11:08Z","0","0","0","0","0","0","0"
"13c57fc29df41b73445bbb13cde2eea14970123f","2017-12-25T13:37:29Z","0","0","0","0","0","0","0"
"3632140759708a26d6fe55f81482237a032c5689","2017-12-25T12:34:34Z","0","0","0","0","0","0","0"
"492697ad7af122e0180634140f3ccdc5d75b234e","2017-12-25T12:27:41Z","1","16","0","16","1","0","0"
"6f334ba123dee8fceb38fbd4f99a4f94bcf89bf9","2017-12-25T11:25:02Z","6","59","8","67","1","0","0"
"d20d32b3e91529f7dfe83b60f74a1b11ad1a4271","2017-12-25T10:50:11Z","0","0","0","0","0","0","0"
"22538bf5b16a4f0392c5b90542d7e48468fbd8e9","2017-12-22T02:51:33Z","0","0","0","0","0","1","0"
"836546234e4ef53c4a088903ca1e9d1f5faba474","2017-12-22T02:49:57Z","1","2","0","2","1","0","0"
"fd1985743adff1754e14a71c6e24d4b140b7e274","2017-11-13T06:16:20Z","1","1","1","2","1","0","0"
