"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8fbd6bfe6609d86568652cd0f3187be4991e0a41","2018-09-06T07:44:19Z","0","0","0","0","0","1","0"
"ad1679413906b72a1f4df417f17124fc5ca89f55","2018-09-06T07:33:09Z","0","0","0","0","0","1","0"
"d4e71d47c59fbd7b92d19b98be80ca258ca1dbc7","2018-09-06T07:30:53Z","0","0","0","0","0","1","0"
"8e4ec33cf495aba4c7a2d10841d7accde9eedaab","2018-09-06T05:50:45Z","2","2","2","4","1","0","0"
"8a1b01e2eba0c605b3e7ac7d5534080f23b5fbd8","2018-09-06T05:45:26Z","2","2","2","4","1","0","0"
"eb25dbf695b436a843eb70b1ac6e92e6d9df1bc7","2018-09-06T05:28:45Z","3","34","13","47","1","0","0"
"ff6af4c789f8cb79331bf69a9d92bf88d3dc02d6","2018-09-06T05:22:50Z","3","34","13","47","1","0","0"
"efee3733376e94f8ffeeb15d3be9dd5ca72c810f","2018-05-31T02:07:24Z","5","60","17","77","1","1","0"
"994781a65b37644e1707f808870eff8540f7529d","2018-05-30T10:16:00Z","0","0","0","0","0","0","0"
"736722c30a08eb619fc81090cd00f87425fe67c4","2018-05-30T10:14:45Z","0","0","0","0","0","0","0"
"811afbaf45bda5e6c034ec3717ba48c36e6af4d4","2018-05-30T10:12:58Z","0","0","0","0","0","0","0"
"ff7cc0b2c5588be81b75a226ac3aac283d73c248","2018-05-30T10:06:27Z","5","60","17","77","1","1","0"
"a276eb1f13a0b3f84918c7b74165ac40d8e48e05","2018-04-17T14:45:58Z","27","3660","0","3660","1","1","0"
"b063ca7c0997dfc345b294c6d69b0d154becd680","2018-04-17T01:59:23Z","27","3660","0","3660","1","1","0"
"0e5ac399d1e8f1379d731c438c95fe1f93571eec","2018-04-13T09:39:42Z","0","0","0","0","0","1","0"
"9e2f0c8e0ef3363e2bcd255bcd1edb937790c42e","2018-04-13T09:34:30Z","0","0","0","0","0","1","0"
"4d5b8358be531293b5037d2e330c6312b6a8459c","2018-04-03T10:14:15Z","8","119","94","213","1","1","0"
"39fd51e4010d1ca63f9025d05b04a73bfe862d9b","2018-04-03T10:01:39Z","8","119","94","213","1","1","0"
"28852ed93bad3594661415673075a85da376b316","2018-03-21T06:29:31Z","0","0","0","0","0","0","0"
"c71d367000f72b255396e24bc3ae9359ba1ca67a","2018-03-21T06:27:33Z","0","0","0","0","0","0","0"
"ba677b1277a5fa3dffa2a642e89cf6de0d2d7307","2018-03-09T07:23:53Z","1","27","0","27","1","1","0"
"26376353ceb65ca4f275fcc99f662607d403c53c","2018-03-09T07:10:40Z","1","27","0","27","1","1","0"
"c7554d17bfb6460760b53e6fdea4284ba899a677","2018-02-09T09:40:02Z","7","234","201","435","1","1","0"
"3bfc7c629294d13c1a461289f5d6f867b1fc6825","2018-02-09T08:58:47Z","7","234","201","435","1","1","0"
"7f994f71f7dff49cf742813aefff9b4d62c0b402","2017-12-26T12:49:39Z","0","0","0","0","0","1","0"
"363701a2546c65e318d3c6af73d8d32007ed60ca","2017-12-26T12:48:28Z","0","0","0","0","0","1","0"
