"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1564313f8b253685dc7189b0fbb31a42b2e86796","2018-09-22T18:26:30Z","0","0","0","0","0","0","0"
"f922402c92181ba223004e31783863bcd1d883bc","2018-09-19T00:59:45Z","6","311","230","541","1","1","0"
"1c9d5a52253afdd802f345393c9adfc1093cf86b","2018-09-17T03:41:40Z","0","0","0","0","0","0","0"
"6fa8fce61b116f31708dd94a0907e7d34de302c3","2018-09-17T03:30:58Z","8","252","7","259","1","0","0"
"fb7bf8cd11d8577035fdf1ddcac7ad34d52b3f94","2018-09-16T20:03:50Z","0","0","0","0","0","0","0"
"63feb118733c102f198fbea61b117fba410febb2","2018-09-11T08:08:30Z","0","0","0","0","0","0","0"
"a34c6989e343f8c47dc965ba092b5ba50954fadf","2018-09-05T14:10:35Z","0","0","0","0","0","0","0"
"6bac0204a2f540655c55f3b6d11e0f1fdfc285cf","2018-08-04T19:56:15Z","0","0","0","0","0","0","0"
"23722210113e1bebf57614f124b1af9babaeb6ae","2018-07-11T16:46:15Z","0","0","0","0","0","1","0"
"92540b7b8ca92ca266d7e6cc7dff44e2e5ec7c18","2018-07-10T17:46:32Z","0","0","0","0","0","0","0"
"7e050bf763a02891f3295caa56fd3618878f055d","2018-07-10T17:44:25Z","0","0","0","0","0","1","0"
"c3668302fcd14a10ab8abfdd659db5dff0816fb1","2018-07-10T17:44:25Z","0","0","0","0","0","1","0"
"f8656fd57b720ed4a59442460ec7d8cc69d885c6","2018-07-10T17:44:25Z","0","0","0","0","0","0","0"
"06fea5df9de868fe5a0faf40315b565b6d1127ad","2018-07-10T00:20:02Z","1","1","1","2","1","0","0"
"6b4bbfe078d968372909bcadebb1141946af5526","2018-07-10T00:20:02Z","10","1","910","911","1","1","1"
"5e50323270646b042668203a97effccea8339b2e","2018-07-09T02:21:05Z","0","0","0","0","0","1","0"
"4cb141e586131a5100e8770ed32049fdb6238c53","2018-07-09T02:21:05Z","0","0","0","0","0","1","0"
"1c2fa0a1cc33a72444d446d9b15ed08c8fa47e38","2018-07-09T02:21:05Z","0","0","0","0","0","1","0"
