"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"fe37bbfb0c95c2b57fb44855de70ec3c1d6a0a98","2018-05-04T14:43:19Z","0","0","0","0","0","1","0"
"de351d4f00dd034456bf07ae6a1a93f6a46d9f40","2018-05-04T14:39:42Z","0","0","0","0","0","1","0"
"0df87472d1b282e4c8cfe36c08c11b7e025c8d0d","2018-03-21T14:14:19Z","1","26","7","33","1","0","0"
"b6d2e86dfb336ee6dab393e4910b8ad21c93fc12","2018-01-30T09:22:37Z","1","1","1","2","1","0","0"
"fb343d204fe71d8af8b576692f87339404bd8c74","2018-01-30T09:18:14Z","1","2","2","4","1","0","0"
"9153bbaaf55be5ec4917c2c0f63d26dbd30c5a8e","2018-01-30T09:14:50Z","1","26","7","33","1","0","0"
"951bb71d23c595b96c67d2924462749c5a9b07ee","2017-09-21T05:41:42Z","1","2","1","3","1","0","0"
"23ef93830b0dd39d7c12e635b0a35d732ca75a63","2017-08-08T11:51:53Z","1","2","1","3","1","0","0"
"2408aaa79a1b4d540e4d8f0876e3e6d6f9d48b43","2017-07-25T02:12:45Z","1","3","0","3","1","0","0"
"d677e438d42393cfeadffb77152ae90d88f230d4","2017-07-25T02:12:20Z","1","14","3","17","1","0","0"
"c886a7706c5bc104d9c1d742daf73521bb80aeb3","2017-06-29T17:11:34Z","1","14","3","17","1","0","0"
"04decda2c75d9218f00cd1f8cb27e69dc4e4c6d8","2017-06-01T18:56:18Z","1","3","0","3","1","0","0"
"e79f0b63f6f9811e283a993c4e9f3338803c28c1","2017-05-19T00:08:32Z","0","0","0","0","0","0","0"
"f7dd9c91866d91c2a81fa26ac412bafbafefd2f7","2017-05-19T00:07:53Z","1","19","8","27","1","1","0"
"b1abe93964f6118dba45ffac4179512fe2f63dae","2017-04-28T11:23:12Z","1","19","8","27","1","1","0"
"488c593f3ff670419416bcb8c324763a2f3a44b0","2017-04-28T11:19:05Z","1","19","8","27","1","1","0"
"a26cd9edddecbb46bccef1bb4587e931bd20de98","2017-04-28T11:00:41Z","4","112","36","148","1","0","0"
"4a9a67ee4ab6cf4416711e725bcb7860fddac084","2017-04-28T10:57:25Z","2","29","24","53","1","0","0"
"bc9948473bef7d6af458864c99548c3110962d97","2017-03-24T09:12:53Z","0","0","0","0","0","0","0"
"0601241b4bffd5a208b78a4281eaae67eca4d9ec","2017-03-24T09:01:05Z","0","0","0","0","0","0","0"
"f426828d38f56903ef8439308a32165a13914182","2017-03-03T16:06:56Z","3","61","3","64","1","0","0"
"ff6fc8addcf4c2b18e574f72c2e47f8918221209","2017-03-03T16:06:46Z","1","8","0","8","1","0","0"
"c76f8d1fa2643aece62117b8aa38836b345d2a99","2017-03-03T16:04:48Z","1","8","0","8","1","0","0"
"02bac2ffbe9494e61889222eb591cf2b5876dd6c","2017-02-13T22:20:58Z","1","8","0","8","1","0","0"
"049250782aa425c64024942fa64fafd1d8b8b312","2017-01-23T09:34:41Z","2","16","3","19","1","0","0"
"d829134ae4be930774c62524b4a23aa6264e0b34","2017-01-23T03:52:26Z","1","8","0","8","1","0","0"
"4f37fa21a8c0d1919f10941d16a8c86d0c181958","2017-01-23T03:42:53Z","1","37","0","37","1","0","0"
"50002ca2fae52d027ed5845e495f8cba4398eefc","2016-12-14T06:03:56Z","1","6","0","6","1","0","0"
"d9ce9318e0d9617f21165d9abc3a4f292dec2cde","2016-12-14T06:02:54Z","1","4","1","5","1","0","0"
"d7e1019234a08fdb62752c31926c530f71e6e947","2016-12-02T06:39:11Z","1","4","1","5","1","0","0"
"a210e17e5532c5c2f948999181a6f6047f0c29e6","2016-11-14T03:40:08Z","0","0","0","0","0","0","0"
"2b025af160c06f76b862b8e12d5e226dfdcccec7","2016-11-09T12:16:39Z","2","14","21","35","1","0","0"
"71b7108f0eefa0948c528b84b63d60a1f4981cb6","2016-11-09T12:13:57Z","1","1","0","1","1","0","0"
"e0a22585cf50d34f58e1cdfb8d6c1df89b24ba0c","2016-10-11T03:23:04Z","1","1","0","1","1","0","0"
