"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b315cd17b5fab0f1e6bbeaa91ff325bb06d7453f","2018-08-16T14:27:59Z","0","0","0","0","0","0","0"
"0efa44442c2bcfe4e37290ef0d743046fa2fc985","2018-08-16T14:27:27Z","0","0","0","0","0","0","0"
"a78a85ec6e2675db8a41f325df9a073a44312903","2018-08-13T16:46:56Z","0","0","0","0","0","1","0"
"908e6ed745ce24e8328774bb113e497ac86be169","2018-08-10T21:18:32Z","0","0","0","0","0","0","0"
"9afb1dcfc9d9efce7367e219c9f80ff97cbdf029","2018-08-10T21:13:50Z","0","0","0","0","0","1","0"
"9f810700753eefcc8c55f0b52fb8ec0c188e6a9d","2018-07-10T21:32:04Z","0","0","0","0","0","1","0"
"191a758fcce4e4d16ad0438ad4dac3fd01b4362f","2018-07-10T03:36:09Z","4","99","14","113","1","0","0"
"e09c2d7e6236abfc14195823e62aa0276653b38d","2018-07-01T02:55:14Z","1","2","2","4","1","0","0"
"c4ef6b0acc6d8fedbf90a06bcdc7112d59442bc3","2018-05-03T03:14:50Z","1","2","2","4","1","0","0"
"5cb239130dceab95797b7313b19f2d8e95407d8f","2018-02-12T21:14:32Z","0","0","0","0","0","0","0"
"0f113210dd5f13002aa3f9b9008c8ee2802487d5","2018-02-12T21:13:56Z","0","0","0","0","0","1","0"
"3a425c0858a96cec076f81422c0d471672f1b03d","2018-02-12T02:08:39Z","0","0","0","0","0","1","0"
"0498fb7b6bf738cd6e387e8d997d319cd4c2a22e","2018-02-12T01:57:29Z","0","0","0","0","0","1","0"
"8635f6281d68c2061d3163c09dc1f203fbe7c470","2018-02-12T01:48:20Z","0","0","0","0","0","0","0"
"2befa73b9c11ac00ce97fb1df43501bdb6c457d1","2018-01-15T19:58:03Z","0","0","0","0","0","0","0"
"58ff5337314b4561c3533afc03814dcea4f53b78","2018-01-13T22:33:09Z","1","1","1","2","1","0","0"
"a7e888adc388a0d0722ea5822a32dc589364e5a1","2018-01-13T20:49:36Z","1","1","1","2","1","0","0"
"0dc3d9d36928c7f1e8ebd042187309fcd09df9ef","2018-01-09T15:39:40Z","1","3","2","5","1","1","0"
"b8036e97d0bba63fe315312daabad9dc61dcc7b7","2018-01-09T13:35:27Z","0","0","0","0","0","0","0"
"56e8231bd2e27fa4e302081be31cf8768cfc345b","2018-01-09T13:17:43Z","0","0","0","0","0","1","0"
"fe846b12e99978305274280242de365925530392","2018-01-09T13:16:13Z","1","3","2","5","1","1","0"
"4d6eade039db6ee897bdd1cbc8181ac652325cf1","2018-01-09T12:58:15Z","0","0","0","0","0","1","0"
"c84e1d3c5832dd0c0cbf8e5322398e7100ba9004","2018-01-09T12:49:59Z","0","0","0","0","0","1","0"
"9a61de787bdb50babdb2dc91826d5b7e8b447e07","2018-01-09T12:48:16Z","0","0","0","0","0","1","0"
"83d942353340a63b3f6529e1c5a469c1101786d5","2018-01-03T14:13:04Z","1","1","1","2","1","0","0"
"5dc34ee449081d0ce4626d37a453469a2b9408f2","2018-01-03T03:09:56Z","1","1","1","2","1","0","0"
"ffac4af4425d76b27406755ad1cc64f57bc5bcdc","2017-11-27T17:24:12Z","0","0","0","0","0","0","0"
"a58546f8b7e14a3b732e025ae86e57d0ff718760","2017-11-27T17:12:06Z","0","0","0","0","0","0","0"
"055c8b5e8c4cc4c0b7804b08d31f5c78df02be48","2017-10-30T04:06:43Z","0","0","0","0","0","1","0"
"be4561837f898eb8810f9cec6d458a50162bc8b0","2017-10-12T13:11:32Z","0","0","0","0","0","0","0"
"fa42171613bdad1448af298ccdf50c5c8107e7c4","2017-10-12T07:32:19Z","0","0","0","0","0","0","0"
"eb832334da3f2feb9351350bdcc7748d36c4da20","2017-08-27T23:56:30Z","0","0","0","0","0","0","0"
"ffabd37a2955f7cb8e252761f2c81ab1365a8318","2017-08-27T23:49:50Z","0","0","0","0","0","0","0"
"3247913f393b966a3fe83b72462baf2d36c3e548","2017-08-27T20:45:29Z","0","0","0","0","0","0","0"
"4cbec64977ff67604e3e7432ee7a99cff06daf5b","2017-08-27T20:37:11Z","0","0","0","0","0","0","0"
"65829d86847361b9489df29d50f013e7749398e0","2017-08-26T02:04:51Z","0","0","0","0","0","1","0"
"cc4c49156d46040e2ae37acf87b4c89cdead34d2","2017-08-26T01:47:35Z","0","0","0","0","0","1","0"
"c2dc1e8fc1976167fc529f11ee565089ab9c80ce","2017-08-22T19:17:34Z","2","26","33","59","1","0","0"
"51301fe3aba9df601a507f3d70d5765fc1566328","2017-08-16T21:07:36Z","2","26","33","59","1","0","0"
"4156143342c61523a758e35d50cb658616e8d424","2017-08-09T04:54:58Z","0","0","0","0","0","0","0"
"a8868909493c0feb37ae924a67171f72ff27557f","2017-08-09T04:53:27Z","0","0","0","0","0","0","0"
"f997678133c59b686f2f009bffbbaca073463358","2017-05-06T19:59:03Z","0","0","0","0","0","0","0"
"a1fc048737bd402f18d194189e5e003b93d21f81","2017-05-06T19:57:58Z","0","0","0","0","0","0","0"
"5e2920b6544584eac9b7aca9cd656fc36163cd49","2017-04-22T07:40:27Z","0","0","0","0","0","0","0"
"5ee1ba8b9430eeda552c32f694013dd406f3c92d","2017-04-22T03:58:38Z","0","0","0","0","0","0","0"
"03b5fb5e24c40c170ff197288dd3ed12ffb5bd3a","2017-04-21T04:52:21Z","0","0","0","0","0","0","0"
"b876ff6e52894c52babb8fc8635492d59e65a8f6","2017-04-21T04:41:20Z","0","0","0","0","0","0","0"
"eb27d7505b4776e88ca24d3f6bb0d5db3c16b16c","2017-01-09T18:59:49Z","2","51","0","51","1","0","0"
"ca222693921fccc4831ca66ee9bec231c5bcf39d","2017-01-09T06:11:30Z","2","51","0","51","1","0","0"
"0482e41cf52548174a88a16d335eafba3d7fd8cc","2016-12-17T07:04:37Z","0","0","0","0","0","1","0"
"8432dcb1c262692cda161119a905c028133eda81","2016-11-12T17:26:44Z","0","0","0","0","0","0","0"
"fb7983eb608307ae291173c0c250c14ffef92b13","2016-11-12T17:26:24Z","0","0","0","0","0","1","0"
"e628d1b09a55dc5061fc07b8bba435417815e2e7","2016-11-10T05:25:30Z","2","22","28","50","1","0","0"
"3aa9588e7970b43383e03e87d3963c927bd8ba5a","2016-11-08T14:49:34Z","2","22","28","50","1","0","0"
"8c65ad8e68a383e4e5ecfbef93d5a35ec18915f3","2016-10-29T22:30:11Z","0","0","0","0","0","0","0"
"98ee31b4554f083a188da469aaf1ef0d5e388413","2016-10-29T19:31:07Z","0","0","0","0","0","0","0"
"0c52db05237a9700d8159e3ed3df39af5ea64895","2016-10-29T12:18:47Z","0","0","0","0","0","0","0"
"b333ed39fbf7230e62493a9afcbf255951b968d3","2016-10-29T12:18:18Z","0","0","0","0","0","0","0"
"05c833b8d4d87199fa3f106ed188d189a8fa11da","2016-10-29T11:52:29Z","0","0","0","0","0","1","0"
"d55165f9d21cb9aad79746a933e04e287dd8df0e","2016-10-29T11:14:39Z","0","0","0","0","0","1","0"
"c82f4719550dd98718c4624975e7b4ce2f3bc7d2","2016-10-23T15:18:25Z","0","0","0","0","0","0","0"
"827e1608545537544f6c5c7eaf1dbacf4e51b2d4","2016-10-23T10:48:38Z","0","0","0","0","0","0","0"
"db80266fbcfa5322ac19900cea5ffc98ed657cc0","2016-10-21T14:05:38Z","0","0","0","0","0","1","0"
"46ba25ac7d226b7333460317a0dd6ce431b50c1b","2016-10-21T07:45:40Z","0","0","0","0","0","1","0"
"79d0991f88b3c25ce342d303f500d08c5bb70191","2016-10-07T23:49:53Z","3","142","37","179","1","0","0"
"fbc3c9d5c8c175ca2050d9d08693babf358317fb","2016-10-07T13:11:25Z","0","0","0","0","0","1","0"
"0fabe217789f476daef29dd775a1d29a34433f0a","2016-10-07T09:53:35Z","0","0","0","0","0","1","0"
