"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"6b5f5ddc663c413258400bdc1d6e3537001d8205","2018-09-25T20:27:51Z","0","0","0","0","0","0","0"
"6fdf28ad62d2dfe3cb64aee1fe099c2458cf09c7","2018-09-25T20:17:24Z","0","0","0","0","0","0","0"
"14ef3972541cde7c382ce5507abdd482fbb5b6ce","2018-09-25T20:04:54Z","0","0","0","0","0","0","0"
"3aa2a99eddcc880c72a2f0e828ce01db65bd3f6d","2018-09-25T19:40:52Z","4","147","0","147","1","0","0"
"5751dac78f721ebe23b646730ac7102cab61c601","2018-09-25T19:20:50Z","5","139","0","139","1","1","0"
"69a791dd52d13c7ab7b0739bc0add3efbb4d1276","2018-09-25T13:14:59Z","4","37","438","475","1","0","0"
"0af8dcfdcd8650ac57865c0b3a95103d3ac25601","2018-09-24T21:34:41Z","4","37","438","475","1","0","0"
"531ede2417fc8421d1ef00e630d5e444bc712d2f","2018-09-24T21:33:39Z","41","325","798","1123","1","1","0"
"598947e821e1856070961ab961e1060a96276d7e","2018-09-24T20:28:53Z","41","325","798","1123","1","1","0"
"7d679a294db1a81803afd9629e3b86d2d70cee09","2018-09-24T19:02:39Z","0","0","0","0","0","0","0"
"ae4273fea3bd801342da8caa5d02ccd5e092a4b5","2018-09-24T18:08:24Z","0","0","0","0","0","0","0"
"27998d1390800feec49f6bedc1a9ac93d3af1138","2018-09-24T18:01:46Z","0","0","0","0","0","0","0"
"59115d08d73affc3e4b780ac4d5542241f55ccf1","2018-09-22T22:19:05Z","0","0","0","0","0","0","0"
"967218215655a0ecc7ff2bbf37e56d4380732c4a","2018-09-22T21:44:02Z","0","0","0","0","0","0","0"
"88092a168a5bb25920418208ea5a29558ae6e286","2018-04-06T13:43:42Z","0","0","0","0","0","0","0"
"ce8e51b97cc4eb9982645297d1788079ebcb5070","2018-04-06T13:43:13Z","0","0","0","0","0","0","0"
"9c9507edd9403ed8f684d0cc63a134669098250f","2018-04-04T22:54:55Z","0","0","0","0","0","0","0"
"4abec11ef26ac3af87052c7187a57ebbbfd45262","2018-04-01T14:33:51Z","0","0","0","0","0","0","0"
"41fa0a79827fa4b93a0daf9a3406f524b34c1052","2018-02-12T18:25:20Z","0","0","0","0","0","0","0"
"d3e0b09f1101bf9621aa5ae669e1112def66b84d","2018-02-12T18:19:50Z","0","0","0","0","0","0","0"
"91ee081401b52c5c53713307448fdf35092aa55b","2018-02-12T02:09:25Z","0","0","0","0","0","1","0"
"9cb525dc8cad098d47924f960737afb7af933b9a","2018-02-12T01:23:45Z","0","0","0","0","0","1","0"
"51f72ba79f7df18acacf2d637e73841400da3f69","2018-02-07T20:50:48Z","0","0","0","0","0","1","0"
"932521b4096f74419b0620659909e93a581e37ad","2018-02-07T20:00:38Z","0","0","0","0","0","1","0"
"34d04a6541551038507af824f5ebe6c99f202652","2018-01-31T20:30:21Z","0","0","0","0","0","1","0"
"fadfca99967314dfd3318bc2907a799b4607750d","2018-01-31T17:57:36Z","0","0","0","0","0","1","0"
"5f7683e1bf203d83103cd348bf70a52b5ed78877","2018-01-30T04:30:21Z","0","0","0","0","0","0","0"
"f4234bc202f0dbf619c59fcd58b87a3ddf65c5bb","2018-01-30T04:26:50Z","0","0","0","0","0","0","0"
"2785417d526e2e6bbc79ec274ac6631792adda7e","2018-01-30T03:40:31Z","2","72","0","72","1","0","0"
"918522e0efdb74cc49ccaa69e0715e929f269fe7","2018-01-28T00:11:14Z","11","13","36","49","1","0","0"
"ace51705c3ba4c8632035d9636f54816ec70f751","2018-01-27T23:04:32Z","0","0","0","0","0","0","0"
"7b636f367e690538821a8d23918e19adac53340b","2018-01-27T22:53:34Z","0","0","0","0","0","0","0"
"f72fa8727a6e418c24b3803cefb0b6b3c9738105","2018-01-27T22:35:42Z","0","0","0","0","0","0","0"
"41e5e4fd07239b626e6636e446e85a5e80a497e1","2018-01-27T22:22:33Z","0","0","0","0","0","0","0"
"2d81da607e24a4e6ca0bef78e5cad605de0d3628","2018-01-27T22:19:05Z","0","0","0","0","0","0","0"
"6ea8b257ecb2ac68791a6dafab42b461ba2a79e8","2018-01-27T22:17:37Z","5","6","22","28","1","0","0"
"a471b85ffc73ad4e52f1b583a85c387bd8638f75","2018-01-27T22:17:23Z","6","7","14","21","1","0","0"
"4e100d443d1eefee75aa32f3c9e85883a038c97e","2018-01-27T22:03:32Z","0","0","0","0","0","0","0"
"d28c82c759262699ec69f24966e4a7f767c58269","2018-01-27T21:55:36Z","0","0","0","0","0","0","0"
"18714046fc14d52357a3e456795cfc11fb003a36","2018-01-27T21:46:28Z","7","75","0","75","1","0","0"
"9f06f4d72f239f1742ca9eb9426fc025dfbfd20a","2018-01-27T21:43:29Z","1","1","1","2","1","1","0"
"ea3a2fab96b7c978a8a8387955d2246e25ec7a70","2018-01-27T21:19:19Z","7","75","0","75","1","0","0"
"446ef3280deaf20821d4ae49e8e30f5c98401fa0","2018-01-27T20:50:24Z","1","1","1","2","1","1","0"
