"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e83b02e1cf3b068f4095c90c5ff978aaa3b7e1a3","2017-07-17T17:40:52Z","2","119","2","121","1","1","0"
"86c834015c6e0fac009d132666ede8fbe73b93da","2017-07-17T17:33:46Z","1","3","4","7","1","0","0"
"dfb7b0a0374612c93f830dc783e9a8cba227c248","2017-07-17T17:18:12Z","6","291","15","306","1","1","0"
"c8f7d796d7957c2fca391aa6ed7f1f77e95d1ddc","2017-07-04T15:53:05Z","1","3","2","5","1","1","0"
"1e88b58d5b7b04d6f1acd0a2216c8a605925b325","2017-05-24T17:44:43Z","1","5","2","7","1","1","0"
"29b081f903858bca6877900df6ae5b446aaa7ca7","2017-05-24T17:41:09Z","1","0","6","6","1","0","0"
"42e83f19dd97136c96f98cd6e77da802317345e8","2017-05-24T17:39:16Z","2","77","141","218","1","1","0"
"0f498c8dbefdde3efcbce0c9e51e72f6b4208f20","2017-05-24T17:39:01Z","39","3160","3088","6248","1","1","1"
"278547d1b061c24cfcb92f81883706dab59329de","2017-05-24T17:30:38Z","2","77","138","215","1","0","0"
"743f24cd0a7ddb37a5806707f9abc8514c3293df","2017-05-24T16:44:19Z","0","0","0","0","0","1","0"
"bab7abd5b446c959d303ae5e2e93a1771ca252b3","2017-05-24T16:30:30Z","0","0","0","0","0","1","0"
"371524294b156b7f2a22c968bbcf998916946248","2017-05-15T15:43:59Z","0","0","0","0","0","0","0"
"859218ad659d68eb8fafa13dea193f590813ae0e","2017-04-20T05:36:21Z","0","0","0","0","0","0","0"
"04577e4d0cd52d0600775cb7a80d2e3c395e9775","2017-03-19T18:21:51Z","0","0","0","0","0","0","0"
"1014e5e50fe588d9511db6f659adce088d698aea","2017-03-15T17:45:06Z","1","10","9","19","1","0","0"
"f1f6ad46d153d93567b8f55bd262a1fb82a9f7b0","2017-03-15T17:42:16Z","7","24","22","46","1","1","1"
"3fd2dfbfe807fc772589c401be6dd346cd49c5c7","2017-03-15T15:04:36Z","7","24","22","46","1","1","1"
"8a2fcc52f23851510fa7512f3d2f806e62c0878b","2017-03-15T13:29:31Z","40","3211","3176","6387","1","1","0"
"59e31d1732eb94e597d5c04724685126f0712d21","2017-03-15T13:29:14Z","40","3211","3176","6387","1","0","0"
"21eac522aa4931e93cfe4c91fab3d0884c4f714d","2017-03-15T13:28:55Z","0","0","0","0","0","1","0"
"06f8bd3350900c078b2b51a61cc2cae7d259c920","2017-03-15T13:23:13Z","4","23","32","55","1","1","0"
"cbd585b30844e4e96c9333026cc221b69cb45012","2017-03-15T13:09:01Z","0","0","0","0","0","0","0"
"6370a713b415cb9853e39befc0aca70d41fc3707","2017-03-15T12:55:47Z","24","150","104","254","1","1","0"
"c42b46dad87e9e1216fe76d581ff0d177f2feae3","2017-03-15T09:12:12Z","24","150","104","254","1","1","0"
"cd9e16a26b75b731c07080f28bec0114b02a24e3","2017-03-15T09:09:58Z","0","0","0","0","0","1","0"
"ba11beaecb662eea1aa9f8b91e606677919db453","2017-02-02T00:27:24Z","1","1","1","2","1","0","0"
"ac40c562c6f3678cac84b4022f8e94463a975d50","2017-01-31T21:40:31Z","2","151","0","151","1","0","0"
"54891b96b73662c21dbd927e239fec5f8e6ee83b","2017-01-31T21:40:16Z","1","10","6","16","1","0","0"
"0cd4b682a30d50a7ca082974c189620e81e36e80","2017-01-31T21:30:24Z","2","147","0","147","1","0","0"
"c864c8f195fe0260f7058416924ac7250f8c9d85","2017-01-31T21:29:06Z","0","0","0","0","0","0","0"
"9610af6b972a4394d87aeb6208db8d72aac87d3a","2017-01-24T08:31:55Z","1","1","1","2","1","0","0"
"9877c7fe2abf207b142c30aa15a35a3fca6daffa","2017-01-23T15:41:47Z","1","7","7","14","1","1","0"
"613acb928a69c0b519a4c82b4f604b2b33eaf993","2016-12-06T16:03:17Z","0","0","0","0","0","0","0"
"3d4d18ccfa193cbf43666eacf917b35e51bef2e7","2016-12-06T10:52:18Z","0","0","0","0","0","0","0"
"e7f07b537ce5a03fcc3e8d4526a080dce43203b2","2016-11-28T04:53:40Z","33","887","1017","1904","1","1","0"
"4a1c9457aa21108626b230fd2b7e506134830ae1","2016-11-28T04:49:49Z","0","0","0","0","0","0","0"
