"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3cf24da92cebbcf2323cc927ba79f2db5ece13a1","2017-09-25T09:19:56Z","1","33","23","56","1","0","0"
"871902c9f183bc4c0e91de5fc648e19ad6da2c8e","2017-09-25T08:03:30Z","1","33","23","56","1","0","0"
"adb62d42fd5091aa8464a30a341825e8c5b5f719","2017-09-23T05:19:40Z","6","87","23","110","1","0","0"
"402e10f43cb1b3a038825752c7f1a59e7f37f2ee","2017-09-23T05:19:40Z","7","52","37","89","1","0","0"
"a4da642ee80e75dd41da998296184b815bf09208","2017-09-23T05:19:40Z","1","1","1","2","1","0","0"
"4379a9e10b6a4182f506361dda6a26fc30448b22","2017-09-23T04:42:21Z","0","0","0","0","0","0","0"
"8f1529da016e47e52945ed8930d4d8aa9f8d28a7","2017-09-23T04:21:42Z","0","0","0","0","0","0","0"
"2d44fcecc8fb0a2461837d466fb67524acd14b69","2017-09-23T04:05:36Z","0","0","0","0","0","1","0"
"c6de54ad44339fd677c50f1a3b9500dbe00a1269","2017-06-09T16:36:32Z","3","6","2","8","1","0","0"
"69483f36f71e79c2c72e581e733b8cede9a90ecb","2017-06-03T11:33:23Z","10","103","104","207","1","0","0"
"24dcab60a682db553dd770f8b8d827df98a27e32","2017-06-03T11:10:33Z","17","286","374","660","1","0","0"
"7d77246ea02752dd060d4b242cd49864118dcb9d","2017-06-03T10:46:09Z","4","15","4","19","1","0","0"
"f9fc8574cd742bb44168905e0eb9a6c880eb8141","2017-05-29T13:11:33Z","4","51","89","140","1","0","0"
"e7b22513b313d5517f7aacad9855f66072f797f1","2017-05-29T12:57:12Z","1","9","29","38","1","0","0"
"5147cee08ad98e4c4d2c5a8ceb7f9deaabcbaa9d","2017-05-29T12:50:23Z","1","0","40","40","1","1","0"
"02deb5426f0239a62645d965635561ae36cc448e","2017-05-29T12:13:15Z","1","5","16","21","1","0","0"
"7a71e492f461a959357a3937cd1f75a1d93ea265","2017-05-29T12:06:32Z","2","3","6","9","1","0","0"
"269c70a1ff6284c29fe737f5e5758590052bc293","2017-05-21T10:37:17Z","4","89","42","131","1","1","0"
"01ba00d5118d6d818e04a78990b5ba9423d02dcc","2017-05-21T08:35:22Z","4","208","119","327","1","1","0"
"70b7cba90038a5811a40458c32b52ec3ec851d98","2017-05-21T08:07:34Z","5","8","21","29","1","1","0"
"2c6764c5f9c52fb3505bff92e5239769a0d03144","2017-05-19T12:17:05Z","0","0","0","0","0","1","0"
"cd4faf261559ca0d39598ef404e506c55bdad88e","2017-05-10T12:00:03Z","19","62","19","81","1","0","0"
"fbf774d385de4b650a4d04e3e69cd6cacff2c46e","2017-05-10T11:31:17Z","1","11","10","21","1","0","0"
"f84c678af6dac97f7573d3cc267c11a6d24052e1","2017-05-10T11:27:58Z","3","27","9","36","1","0","0"
"9145959f918435513af041f211097f575241b19b","2017-05-10T11:27:58Z","27","453","439","892","1","1","0"
"edac03c187bf955ac9481208230e3b96f55861a9","2017-05-10T11:27:46Z","1","144","14","158","1","0","0"
"bec3bcb2bdcf55e07a8600b0c0fa4a629425e898","2017-05-10T11:27:46Z","0","0","0","0","0","1","0"
"c8185122217e0b530ce7f8b6b44304072abebe7e","2017-05-10T11:27:29Z","0","0","0","0","0","0","0"
"14c855378db66eac49ff1398198be36046649343","2017-05-10T11:27:21Z","0","0","0","0","0","0","0"
"7b2b16ffe1a4800081b8faaec90f68a81f62971b","2017-05-08T12:00:09Z","0","0","0","0","0","0","0"
"c9cdc8a16c5ab67c3fea720ae542d0877249b685","2017-05-08T11:45:26Z","0","0","0","0","0","0","0"
"055c9402daa8f4cd52e803a675bf13f58ce65442","2017-05-08T11:43:32Z","3","2","3","5","1","0","0"
"265b9b8148235502347649a13598674a06839f8a","2017-05-08T11:40:20Z","16","136","293","429","1","1","0"
"03124ee23f9e1d575123cdd31e6203610e46b135","2017-05-02T07:45:26Z","0","0","0","0","0","0","0"
