"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"cc87172f0d8312ef175cfb9ec0ba924887971a5a","2018-09-26T13:44:47Z","0","0","0","0","0","0","0"
"25f567c98de5c85e1e5e7cac7d57d290f8017e13","2018-08-02T14:07:39Z","1","6","1","7","1","0","0"
"476290b987e80eca37e9d4252f5828a0d3f23dc5","2018-08-02T10:28:48Z","0","0","0","0","0","0","0"
"edeff78141bf5d6ac113c4bcf3cad1741328b7c5","2018-07-23T07:15:04Z","0","0","0","0","0","1","0"
"7a7ef578310bffea068d8d07de68696b13075e66","2018-07-23T06:55:48Z","12","137","66","203","1","1","0"
"f2a96261b3ac8dee1c66f819310f60584f6de573","2018-05-17T13:42:37Z","0","0","0","0","0","0","0"
"4107ece30eb130f9392c1c649bed68f206e35288","2018-04-02T07:50:28Z","2","25","5","30","1","0","0"
"4b2575155e4b9c8ea7f068ff4925729386e0094c","2018-04-02T07:43:46Z","5","39","15","54","1","0","0"
"822ad57726c74b34ba16386ce66df10351aed9ae","2018-04-01T15:33:09Z","10","84","57","141","1","0","0"
"4500ca665d70bcabd98d55a0f22d1710b0a0a037","2018-04-01T14:31:22Z","0","0","0","0","0","1","0"
"c072debd0719578d3d301648f4642bae1df3716c","2018-01-18T09:19:09Z","0","0","0","0","0","1","0"
"e875566eb429c2debbd5ff7a0844e9fe241720b8","2018-01-17T17:21:09Z","0","0","0","0","0","1","0"
"a924b413ff39a60bc8bddc4bc9fb549b3b47c0cc","2018-01-16T10:40:20Z","0","0","0","0","0","0","0"
"c312bf9fc1e3ddef744da503bfacac406116bada","2018-01-16T10:40:05Z","2","4","2","6","1","0","0"
"5490de48ad4c566646f0eec0407e4bcbc713d081","2018-01-16T10:39:40Z","1","34","121","155","1","0","0"
"d5a9049cd9a4581eedb177bc6c6d59a68a78458d","2018-01-15T15:40:16Z","1","34","121","155","1","0","0"
"176d50463dc7fb16ce5537d4ecd4031b14a3b7fe","2017-12-19T06:39:32Z","2","4","2","6","1","0","0"
"2a416d9921f5c3db630f55d8a89e81f219728375","2017-10-26T14:29:57Z","0","0","0","0","0","0","0"
"9775db27771faadbc0317ea78428467eaf4a850e","2017-10-25T05:50:31Z","1","5","1","6","1","0","0"
"177e56c0fa7136ee393922a72c84987b83343fa9","2017-10-25T00:47:22Z","0","0","0","0","0","0","0"
"1201cc719d0c9506ab37e88257c30fb7549b9d39","2017-10-25T00:41:54Z","0","0","0","0","0","0","0"
"8eff3f102237e8cc6c1ed211826f464f87f231ed","2017-10-25T00:35:46Z","0","0","0","0","0","0","0"
"6d4f3f003f13db5b18221164f386acd93a09c09f","2017-10-24T12:37:46Z","1","1","1","2","1","0","0"
"84ea8b2398f47dc9da02f3920c7aaa8d0f630474","2017-10-24T02:41:54Z","1","6","2","8","1","0","0"
"aaf673643df5e0a2919632c61a51a8acc26f82db","2017-10-19T04:11:27Z","0","0","0","0","0","1","0"
"8354e45d1fc500024cbee8632af9927cd4a987a1","2017-10-19T00:14:43Z","1","13","14","27","1","0","0"
