"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"946f76a44218da31fe95b06f2213db06547faff5","2018-09-27T19:25:30Z","0","0","0","0","0","0","0"
"616912d85f6dc6292fbe9296e02b87de8dd8d57c","2018-09-27T18:45:56Z","1","4","4","8","1","0","0"
"bd38b9609527ccabc37e1333b1e23e5c02dff668","2018-09-27T18:34:43Z","1","16","0","16","1","0","0"
"12d9d7741b0c1b2bd82407be46f62803157e49a5","2018-09-27T17:35:56Z","2","5","4","9","1","0","0"
"91a119393c87d9e84a2bc0a00468b96fd5d0c97d","2018-09-27T17:35:56Z","1","53","0","53","1","0","0"
"c82afd894476b86e64a12a18dff3028a3950fce2","2018-09-27T17:35:56Z","2","17","0","17","1","0","0"
"84c71fce16a3396374bc97a38c563082e136c61d","2018-09-27T17:35:56Z","3","98","5","103","1","0","0"
"a0ab252bc9b14b5c64fa432a2e1c15f2e0f35749","2018-09-27T17:35:56Z","4","289","50","339","1","1","0"
"08ace15f95d5d1b3fb87f97e63118d05235f67a2","2018-09-27T17:35:56Z","13","1392","263","1655","1","0","0"
"e9a38bab1e147b1aaece8ce80c7b56d0101f29a3","2018-09-27T17:35:56Z","5","98","64","162","1","0","0"
"e63773e5c815d3c214ecaac87d77c97958ae1049","2018-09-27T17:35:56Z","2","178","0","178","1","0","0"
"bcebf58b76a7061663d930af28592c1ca9ebf2f6","2018-09-27T17:35:56Z","1","58","0","58","1","0","0"
"2209e68ae08cad02c0dc2cf4a920e6a183cc8fb2","2018-09-27T17:29:30Z","0","0","0","0","0","0","0"
"6a0b89feaa4dd2d2412011795a943b699d3d0466","2018-09-25T17:01:39Z","0","0","0","0","0","1","0"
"6eb869354637e37bcc3f76d4c59d473c63992639","2018-09-25T17:00:14Z","1","4","0","4","1","0","0"
"c5f53b23fa944427dad4ce3eb905928900bcd753","2018-09-19T23:47:33Z","0","0","0","0","0","1","0"
"11127c0d9789858a3b80b11f0b4eb018077bd068","2018-09-19T23:41:51Z","1","12","0","12","1","0","0"
"1af930437a6299649161d3fd03d2d4e316d5af28","2018-09-19T00:44:18Z","0","0","0","0","0","1","0"
"94bfebeef12539c6f19dba61ff2cfb89018352f4","2018-09-19T00:43:29Z","0","0","0","0","0","0","0"
"45c4eafbd79f3ba4234854d6fbd73c2593be0c9b","2018-09-18T22:26:50Z","8","200","73","273","1","1","0"
"741b775d3eb767a11fffb4fe228d48f0d6f17f3f","2018-09-18T03:29:21Z","3","23","6","29","1","0","0"
"e09c99102eefaa6b4ddd15e38f5d4f83ef2e6c6c","2018-09-18T02:17:36Z","1","14","7","21","1","0","0"
"1d4020ffc6e529cdbd2b71f5d5af206bb3200756","2018-09-17T05:50:59Z","1","6","3","9","1","0","0"
"5d11e321a89e14778a8dc09e72530465ce11f19d","2018-09-17T05:29:55Z","1","3","2","5","1","0","0"
"9dd3e50ebd3bf257c90ceb90741c7f3b0e84a423","2018-09-08T17:08:22Z","2","7","1","8","1","0","0"
"ad7dd7584eac0d1071531d870194415795bce8cf","2018-09-08T15:23:33Z","0","0","0","0","0","0","0"
"c1a827f6d4f821881cbb086918e4777cab1331a3","2018-09-08T14:48:20Z","0","0","0","0","0","1","0"
"440ad70d790b52ba2fddf9036f7dd705040ed603","2018-09-08T14:48:20Z","1","17","0","17","1","0","0"
"a1b2887bf3cc18d5c21c61be92db1a58128dbde9","2018-09-08T14:48:20Z","1","1","1","2","1","0","0"
"da60cac833c374e8c2f7affe63008b56466c28bd","2018-09-08T14:48:20Z","0","0","0","0","0","0","0"
"db9bfb4b2fa5be22416ff959533ea677fe5dae49","2018-09-08T14:48:20Z","1","6","20","26","1","1","0"
"c3bdc48ee38007a92583739d833b64edc57f8529","2018-09-08T14:48:20Z","2","74","10","84","1","0","0"
"1c75f375c301f8d0081715ba0a25fe1c428c092c","2018-09-08T00:59:33Z","0","0","0","0","0","1","0"
"7c5e1db6a20fbf7b9ab25c1eaf7439bdefff2b16","2018-09-08T00:52:50Z","1","4","0","4","1","0","0"
"82c0ea792afe1428a54bfa9d032d24ddb5878238","2018-09-08T00:52:50Z","1","2","2","4","1","0","0"
"70eecb754ed14994c65083ce06203bee8118d73b","2018-09-08T00:49:15Z","5","15","23","38","1","0","0"
"ad036b0d6a45e333afd8e83f40e8c3ede2fa8dee","2018-09-07T23:08:45Z","1","18","2","20","1","0","0"
"15b4517e35ba1003f2e604dae2caa9ad9ef62b0b","2018-09-07T22:54:38Z","2","32","10","42","1","0","0"
"d2a8abe76979669675fe850977711d00477a20c2","2018-09-05T01:12:13Z","0","0","0","0","0","1","0"
"8d43fb850d4e90035dd4b180774339120e40cf84","2018-09-05T01:10:47Z","1","4","0","4","1","0","0"
