"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3ccece97636b15bc38e19d086fa1b3d890f738ce","2018-08-01T06:16:10Z","0","0","0","0","0","0","0"
"3e233d1631a8141710309eba3515d9b2848896bb","2018-06-03T07:42:38Z","0","0","0","0","0","1","0"
"8f178dadbf51dd267a62cfd3bb64eff1d31f2c48","2018-02-25T05:55:50Z","0","0","0","0","0","0","0"
"7789b8b714887a235f26b2a7ffb17a75d2bc8038","2018-02-23T06:44:33Z","2","6","3","9","1","1","0"
"93add684184e0e2df5f2d761dab47224629f5691","2018-02-14T00:39:12Z","0","0","0","0","0","0","0"
"f1868e057f3aa7431c327fc0d097acac6b169c84","2018-02-14T00:34:18Z","0","0","0","0","0","1","0"
"65a6700f6dca5b0f1180042436435bec210ca074","2017-11-29T02:58:45Z","8","8","280","288","1","1","0"
"b52b09b63073647477b1cf09cda492a9ef49ff59","2017-07-03T07:15:07Z","1","0","1","1","1","1","0"
"05faaf94fe303a436ed8cf7d5fc3856b0bb305b1","2017-06-01T03:13:51Z","0","0","0","0","0","1","0"
"70ec321c009878169893b3a12923842d96b84561","2017-03-12T12:42:17Z","2","31","33","64","1","0","0"
"7ae2fbc1fb08e89052d277fa9041cd24fe8e48f0","2017-03-06T10:03:14Z","4","40","89","129","1","0","0"
"6f19a5008e2476027d0db4c2171b45a45a6984e6","2017-02-26T08:40:31Z","3","27","46","73","1","0","0"
"cc23c82fd80af0bdfa288a522325f5e61df684ea","2017-02-26T05:44:22Z","8","9","9","18","1","0","0"
"b871cb53e88410134cc03b9b5076c4b95f4a3a28","2017-02-13T14:11:40Z","2","9","6","15","1","1","0"
"7150839bfd4d200b4bb93f0a0711ff5f49f20dfa","2017-02-11T02:40:56Z","0","0","0","0","0","1","0"
"9a6aba80ea258d08ba2dece3c76048f57dcf6184","2017-02-10T07:14:43Z","11","234","170","404","1","0","0"
"146c2f54b4ee878145b3e37fbe81e7aa5a66d541","2017-02-07T09:19:21Z","0","0","0","0","0","1","0"
"8957485690bbda6444c48ec7ec1aaf45ae205f66","2017-01-22T02:57:00Z","0","0","0","0","0","1","0"
"80723e17286885fe38e98fe94cab12e772e1db7b","2016-11-30T09:21:26Z","1","0","1","1","1","0","0"
"20b86d6e2eb7b81af2489af1d9233e69a0d63292","2016-11-30T03:34:12Z","8","90","94","184","1","0","0"
"5b810b0d9caac0d82cd49f01ab50c689b01fdf14","2016-11-27T07:28:15Z","1","5","4","9","1","0","0"
"c1fb129bdc4a1ea7f26761c074aecbfd14413542","2016-11-27T07:00:56Z","6","10","25","35","1","0","0"
"ca7e477a3550641f1c472e32ec812b050a2b4cab","2016-11-26T16:10:52Z","5","47","73","120","1","0","0"
"e9027ab561cf52a49b9ddb75104eb97bcff5ce90","2016-11-26T15:24:06Z","2","132","52","184","1","0","0"
"98b227b9a4923bfdd7a7835471d7d56600fb6cfb","2016-11-26T10:54:01Z","4","13","4","17","1","0","0"
"667f612d16b9741f21fdc12febbc5b3ee62ca0ec","2016-11-22T10:30:22Z","13","59","59","118","1","1","0"
"0492be8963194e1383109f9d2943e74eb7f478be","2016-11-21T09:56:56Z","2","26","31","57","1","0","0"
"b40573e8136474f28d0c6e61b88b73be6ac84679","2016-11-20T10:32:22Z","6","114","9","123","1","1","0"
"622b92a65f98d07fc11d61352dc02cf39fd45953","2016-11-16T11:13:37Z","2","4","6","10","1","0","0"
"5fb2fe8f8ecce066f8ea2c879f70fc1ce9020f8d","2016-11-14T11:35:55Z","1","5","2","7","1","0","0"
"8a7ef1411ab81052e93f18c1eaef293bd9a59f12","2016-11-14T11:28:11Z","3","87","43","130","1","0","0"
"002657beee840f144419e6744e861c997007107f","2016-11-11T08:20:04Z","8","36","52","88","1","1","0"
"c9d41fa18725df9b11a1f614cb6d258c8d1b9f39","2016-10-08T03:00:54Z","5","49","7","56","1","0","0"
