"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"307b5c89a248d7fdffcff75618c39b586f9938c3","2018-01-04T05:38:31Z","0","0","0","0","0","0","0"
"0a15a1ec0a9ea7684bc8ec06fd8a3bc4b4e72781","2018-01-04T05:37:26Z","0","0","0","0","0","0","0"
"1e397087b96dd1affa04cfc18931f59e945b6420","2018-01-04T05:32:09Z","0","0","0","0","0","1","0"
"8db0356762ebf5b77cc9d87cc2f77017018f69a8","2018-01-04T05:28:18Z","5","76","14","90","1","0","0"
"2b72b83fe8eeae61fa23a9efdada644a0442c400","2017-10-11T08:48:01Z","0","0","0","0","0","0","0"
"96466c08e01b791bd64aee6283f31623c339daba","2017-10-11T08:46:32Z","0","0","0","0","0","0","0"
"2c902303abcbb36462e2911f0a4820a83141237c","2017-10-11T08:23:50Z","29","617","567","1184","1","0","0"
"b6226f0573797f52f7cf42a85f7dbd9fc62e974f","2017-10-11T07:55:12Z","5","200","130","330","1","0","0"
"de24526d1c59d84f2d3e7bdc99c020ffc8ac3f3a","2017-10-01T02:34:31Z","2","71","64","135","1","0","0"
"fbbb42c9dc18bcf41575722c90f98cc4c14f0bd3","2017-08-14T09:06:12Z","0","0","0","0","0","0","0"
"fbcafdafb402899774caf41f9e7396ddb5fde84d","2017-08-14T09:04:09Z","0","0","0","0","0","0","0"
"f3672c6a22434908c363bfc22ae6534429be78a1","2017-08-14T08:52:33Z","9","25","36","61","1","0","0"
"7e49480908b573e01e02462c692b460ea334dbdd","2017-08-14T08:38:21Z","3","209","200","409","1","1","0"
"ffe4207fe6144231675be360eec97c0811277b5a","2017-08-12T05:06:52Z","0","0","0","0","0","1","0"
"a3ea89b357cb2587f30690cc214134e3278b6bf9","2017-08-01T05:00:33Z","1","8","6","14","1","0","0"
"e94130dd813d6b5ff7c9913321dfcc0caca396d7","2017-07-31T13:15:45Z","5","62","30","92","1","0","0"
"af0dc2cbb1c5dc3cc05da4a918977e92e60b4c5e","2017-07-31T13:00:03Z","2","91","25","116","1","0","0"
"ec2d4ee752b1bf812e166d94f41b34a4bec1049d","2017-07-31T07:26:18Z","0","0","0","0","0","0","0"
"7b2159e682918d863ad32adc9c5b5ab1a8679f81","2017-07-31T07:08:32Z","4","8","4","12","1","0","0"
"2f9079e28cf6a73121cd417a2ce112afa9be0460","2017-07-31T06:21:04Z","2","3","3","6","1","1","0"
"fa7d1a65c39aa66b880fdf57e8b14b96f430f394","2017-07-27T09:53:01Z","4","5","1","6","1","0","0"
"65f7320451f85d9b214e600d56251f6c82dd36e1","2017-07-24T03:48:47Z","0","0","0","0","0","0","0"
"e6b0a618ebe6ca5aadd836bc59d7f10747333f4d","2017-07-24T03:16:05Z","72","5046","3622","8668","1","1","0"
"6b54ff44d0bd35247291b30d816d17eac77c2bbd","2017-05-11T04:06:13Z","1","15","1","16","1","0","0"
"8e3c9b4180a0dbbc0e6b67bb35dc12d79006f765","2017-05-11T01:54:50Z","1","15","1","16","1","0","0"
"1eaee8d4ce59295f2ea0bd89aa97563715fc4606","2017-03-16T10:13:39Z","1","2","1","3","1","0","0"
"d0334348c29a20177735e7cde81cc5bd0cfd83cc","2017-03-12T12:32:16Z","30","1285","521","1806","1","1","0"
"818fb8ec529f4b4886edf77970878edcf57187f4","2017-02-02T00:50:56Z","1","1","1","2","1","0","0"
"6ade0d0f11323e66e5edec239c2c0bfd92efaf08","2016-12-23T05:18:02Z","1","1","1","2","1","0","0"
