"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ef2da538a63f41b581e17f0966775b5741fe2e84","2018-01-26T15:04:57Z","1","3","3","6","1","0","0"
"946c18891d40d9b14aa3148d56de597d74b4f4ec","2018-01-26T15:03:48Z","2","34","24","58","1","0","0"
"3c0b2d55344749115f643c71be8e3665a6b3ac67","2018-01-24T21:08:11Z","1","1","1","2","1","0","0"
"9a492f5a1984e89bd5d5be59e143b247553159f0","2018-01-23T21:10:58Z","1","3","3","6","1","0","0"
"e0d21d43b00217a8b599c19f7ba1e66910d42dee","2018-01-23T21:02:12Z","1","1","15","16","1","0","0"
"06d00ff6e6f2d136df3b14996aaf864330bfdb32","2018-01-23T20:53:04Z","0","0","0","0","0","0","0"
"bbb9ebb8ccf281897c01f0f30e90c48f82402291","2018-01-23T19:02:35Z","0","0","0","0","0","0","0"
"f0932997dbed8694363c015c9913bdf09f1de48a","2018-01-23T19:01:55Z","0","0","0","0","0","0","0"
"2fec6ea51c73ac4e546c52fb1375ae6a2628d3fb","2018-01-23T18:59:13Z","0","0","0","0","0","0","0"
"8b57fae12227d626fdc8aa87012dbbee08c1228a","2018-01-23T17:12:09Z","0","0","0","0","0","0","0"
"504e2549856f34afa07846151ab7665e8c7db9e1","2018-01-23T16:30:07Z","1","37","16","53","1","0","0"
"2056a091345c188a3d373ccbf3ed27fd5e99f7b4","2018-01-23T16:19:00Z","1","13","10","23","1","0","0"
"c24247e1a0131ade0b765a37b920cdf2bb103dd6","2018-01-17T14:19:37Z","1","8","0","8","1","0","0"
"e98465537214dcd82487634b09ddc15cbf04c0b9","2018-01-17T00:54:57Z","0","0","0","0","0","0","0"
"6d5059e530596089206bb136a81d7981b38f880a","2018-01-17T00:54:29Z","1","2","2","4","1","0","0"
"1f6900ab904830dc717cd0daf1f4a18be322b6a7","2018-01-17T00:51:58Z","1","8","0","8","1","0","0"
"9200543f558a2dee7648d504721a1d4b63a436bd","2018-01-16T18:30:44Z","16","100","94","194","1","0","0"
"908668b5520d11b96f9737147c346a72da104ac4","2018-01-16T17:58:26Z","1","12","1","13","1","0","0"
"bec97ddd909321d433769edb2cd0355db73df8e5","2018-01-16T17:31:09Z","1","1","5","6","1","0","0"
"08ceecd696f7de3a1a9371d5d86b794fd97ec2bd","2018-01-16T17:30:59Z","1","1","5","6","1","0","0"
"ad967ccee803fc1f45a856a2bc0bf681a6b534de","2018-01-16T17:21:51Z","9","67","9","76","1","0","0"
"49fc4e19e98a917115808d460d670b501b1e12f1","2018-01-16T17:21:26Z","2","41","7","48","1","0","0"
"b43f81cff84b8f830114febfb777331d60686c21","2018-01-16T17:20:44Z","5","44","4","48","1","0","0"
"5726c55776fc0195b84bbb5c43823a0fd3053bfc","2018-01-16T17:19:25Z","1","7","1","8","1","1","0"
"8cb8d088287de36aae39aa4a3a57d457f8430992","2018-01-16T17:17:49Z","1","5","1","6","1","0","0"
"30dff043c58bac865a68717863e1ffa92c51d0c9","2018-01-16T17:17:16Z","0","0","0","0","0","0","0"
"b655f652ac3cf8617a12d0572c3e92aff9403d8d","2018-01-16T17:16:45Z","2","19","12","31","1","0","0"
"d42fa81fe27f40182699b1c53b5bb43f041d3d6e","2018-01-11T16:15:16Z","1","4","0","4","1","0","0"
"88409f9f878b985a462083f512e87cdf1e761158","2018-01-09T15:15:03Z","1","14","2","16","1","0","0"
"4aa75a2479efaa970872676955f6f3b394f11fca","2018-01-09T15:14:18Z","7","49","7","56","1","0","0"
"391f7f1ba843c5285fe9824a9579171f8d924b3a","2018-01-09T15:06:17Z","1","2","2","4","1","0","0"
"9b7f114a138ec3a004e9fe0f3a01ae72506d13e3","2018-01-09T00:53:44Z","0","0","0","0","0","0","0"
"628f426233da7f9d7780f1cbfae4c7fa9528062c","2018-01-09T00:30:56Z","2","41","7","48","1","0","0"
"94a6b607dbceae4988c2aa2bd90c5cb4f933030a","2018-01-08T21:06:32Z","1","4","0","4","1","0","0"
"db31468d10305ba7346990490401f41bd1d09c53","2018-01-08T21:05:42Z","1","1","1","2","1","0","0"
"7a6865355b9f4f647d98d453154f5902847ea6cb","2018-01-08T20:44:48Z","1","25","0","25","1","0","0"
"a83aa6309dcd273fbb97121c3c57db47ae98bb86","2018-01-08T20:40:02Z","2","14","3","17","1","0","0"
"d6c56b72d6b2ee7f317b74b5458557ac74a53396","2017-12-31T15:56:56Z","1","5","18","23","1","0","0"
"914d166e9cc7c73fc9b208df9e8b41559eccac4b","2017-12-25T02:31:01Z","1","19","0","19","1","1","0"
"cca230594a2dc7532e7d836ff56a345e346a608f","2017-12-23T02:27:17Z","1","1","1","2","1","0","0"
"6c7f1db514c6a6f2c1f7190facd8992b5b0270ca","2017-12-23T00:27:37Z","1","18","11","29","1","0","0"
"443f181e014b1095215061dab7ae8bd746ca28ca","2017-12-15T14:06:35Z","0","0","0","0","0","0","0"
"0a5823ba6cef7e5c5915776cf10476ec2756ff90","2017-12-12T17:10:55Z","0","0","0","0","0","0","0"
"56b853b84c216dc930e789262ab424eefc0331bb","2017-12-12T17:07:37Z","0","0","0","0","0","0","0"
"13f14b214fa1f6bc1964eb1bcc02a74709c888a1","2017-12-12T17:05:28Z","0","0","0","0","0","0","0"
"771b4c93f5de8458b95191b6cf31115e21ee35e5","2017-12-12T16:23:40Z","0","0","0","0","0","1","0"
"63335f49ad41f813c264fcc113652a141e0a9bf8","2017-12-12T16:03:37Z","35","837","119","956","1","1","0"
"0c3c64fbf772833635b7ea04a8926efcd57ce3c5","2017-12-12T16:00:53Z","7","118","43","161","1","1","0"
"d350bfb7d9fed19cb002a7821423999fc4318f34","2017-12-12T10:16:05Z","5","8","6","14","1","0","0"
"2fc7494b8901981aacad9c2578fad4c180ddc5a3","2017-12-12T04:28:36Z","10","74","10","84","1","0","0"
"8a40c6309cbb15cbf604e3f1812270ada0f05e8a","2017-12-11T15:48:04Z","1","8","0","8","1","0","0"
"d35cd357df6e5e0f54f3b32cd736201eea679f1f","2017-12-11T13:22:01Z","13","145","24","169","1","1","0"
"3ef5ba0265a1d8b9ba8490970d67699bbb29e523","2017-12-11T06:59:43Z","9","136","94","230","1","0","0"
"cbb2ae8508bbf5fc9fa4d14038ceed003d5d6ef2","2017-12-10T07:51:18Z","4","50","3","53","1","0","0"
"dca1b61ba4ea782847dc0d2d14408ead0f34bac0","2017-12-09T11:00:01Z","1","5","1","6","1","0","0"
"ad569c85c347d9659476bbbd29b59d66ff56f7a6","2017-12-09T10:30:54Z","72","4391","452","4843","1","1","0"
"9d60e44d7d522e30d6d5d4ccaa82645628617906","2017-12-08T16:20:56Z","5","48","31","79","1","0","0"
"08a199e3a00116c56be28da9c0cbd871ec246d58","2017-12-08T12:50:57Z","5","145","23","168","1","1","0"
"e5e773542fab0c5918e65ecbd7010c7fbae31e26","2017-12-07T15:47:50Z","5","175","3","178","1","0","0"
"865c93f69152f048b55994de93dd126df12cc2e6","2017-12-07T14:47:19Z","4","81","33","114","1","1","0"
"db7df60518915b3e583b4f470b6bb4e9f323d7f3","2017-11-26T20:15:26Z","6","61","9","70","1","1","0"
"b4dd1da30aad64ed94ac9bfbbfa03829e5f4c801","2017-11-26T19:51:22Z","4","12","44","56","1","0","0"
"6f040ae7f163adff6923bd29997b4fb373ba9324","2017-11-26T19:37:14Z","2","6","0","6","1","0","0"
"9c688c0fb62ccd1173b34fe9d4711cbc596d54c9","2017-11-26T19:28:39Z","5","23","8","31","1","0","0"
"b550d7b143022c0e7d63407e8db0de21c3979d36","2017-11-26T18:40:13Z","2","27","2","29","1","0","0"
"cdcb4d83032fd741639f60d4dffb42103eab6d34","2017-11-26T14:19:21Z","7","54","42","96","1","0","0"
"61cea4fb0438cb1bae9f2fe676114484d40505b0","2017-11-26T13:59:50Z","1","8","2","10","1","0","0"
"924a91f761e6d924a827ef4049c07ea1f3a899a8","2017-11-26T13:59:37Z","0","0","0","0","0","0","0"
"2f15010d86e80dece611ff6f85f3f5759da913c3","2017-11-26T13:59:24Z","7","47","41","88","1","0","0"
"bd2efe4a0e1816bb9357a826428676dd82c12bee","2017-11-26T13:55:50Z","5","459","0","459","1","0","0"
"cd18bebe5c6a38491db458ea40ad87caaec457a3","2017-11-26T13:52:54Z","5","459","0","459","1","0","0"
"901c35ce00b6742e7e822fe208435178bc9e9d38","2017-11-11T18:54:17Z","9","118","50","168","1","0","0"
"8514bc8cc98f47b2948a7a1fb5a53f27e0e2032d","2017-11-11T18:24:54Z","2","13","0","13","1","0","0"
"2e2c54b62ed0b434c6ccf0c265f80d12e68a6295","2017-11-11T18:22:42Z","3","19","25","44","1","0","0"
"455e3a44a33496249985d476e00c6fef30e314ea","2017-11-08T18:40:50Z","3","8","8","16","1","0","0"
"2ed97f8840db3f4963cdf87cbf39bad9b91cf862","2017-11-08T18:40:50Z","1","2","7","9","1","0","0"
"7cddd4cb37bd5ac293994c955c7f5168db9458ee","2017-11-08T18:40:50Z","4","82","16","98","1","0","0"
"aa6f7d1d1fc611ada1bdb83dbd3bc3692de6455f","2017-11-03T10:54:12Z","0","0","0","0","0","1","0"
"8140b6946b6b211dee2996f414691b55c6e07feb","2017-11-03T10:45:05Z","0","0","0","0","0","0","0"
"5da873559772904776ce95d72a784276ed6599ba","2017-11-03T10:41:05Z","1","1","2","3","1","1","0"
"7c04ebab51a932f1572806a909e3a839b11f5bcd","2017-11-03T10:40:22Z","0","0","0","0","0","0","0"
