"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ac0607d230670aaac76aabece371813328de8910","2018-06-16T22:25:14Z","0","0","0","0","0","0","0"
"0545976f7c76a6b8f3ef493992e1eb459372daf5","2018-06-16T20:07:04Z","0","0","0","0","0","0","0"
"beb2e285be99a1ebf19a93fa2391884e7871cc86","2018-06-16T20:05:13Z","0","0","0","0","0","1","0"
"95857255c05043c7c2fd40f6b5da992ed6dc6dda","2018-06-16T20:03:39Z","52","1058","686","1744","1","0","0"
"36e3d0e3c9615d1b870c59164a58be89469c481f","2018-03-01T23:41:22Z","0","0","0","0","0","0","0"
"bfde9ab544f6a0c8aeeb17d567eabf26de2e0fde","2018-03-01T21:17:49Z","1","1","1","2","1","1","0"
"df382ff73c0e4b1f5c1be39497a1b8cd4f8478c8","2017-11-29T13:58:22Z","0","0","0","0","0","0","0"
"775bd43aa5114f2bdb28aef11fc74c2127a2c118","2017-11-29T11:42:38Z","0","0","0","0","0","1","0"
"cb72c8cd97e134b3de94da3e481899474ab1f86c","2017-11-29T11:37:46Z","1","15","8","23","1","0","0"
"51fb2cb75e16365a8309c8b24fde8fbc866e7376","2017-11-29T11:36:13Z","1","15","8","23","1","0","0"
"5f1d63b189d84f8d92b459297da193e521a289b0","2017-11-29T11:30:04Z","1","15","8","23","1","0","0"
"1ea3f9c937cab9456ce038053679bb886cd1ea91","2017-10-30T22:29:29Z","0","0","0","0","0","0","0"
"6484fbad7ad410d03f925ee1dce3d6df13dde92e","2017-10-30T19:51:33Z","0","0","0","0","0","1","0"
"26ef23eca706cb9fda9e02c6297c45fabbc59063","2017-10-29T16:07:29Z","0","0","0","0","0","0","0"
"83fb6ee2680adcb8b00fc0c3bd241a4d0aff2aeb","2017-10-29T16:07:21Z","0","0","0","0","0","1","0"
"90f337038efcbad7e444cf70eef5b7849a20941a","2017-09-14T22:09:35Z","0","0","0","0","0","0","0"
"9d557b698fad141e3f54066b72966c4baa0345a5","2017-09-14T15:51:50Z","0","0","0","0","0","0","0"
"f34bb52e5078ca4aad8ca1fbda47a5938b5d0535","2017-09-14T15:51:43Z","0","0","0","0","0","1","0"
"dcf20a130fe7d4ec4f42f8bbdd265ed5316dda62","2017-09-14T15:51:20Z","1","39","34","73","1","0","0"
"d679cba16a1ecb7618c713b51dd7c64efa23f036","2017-08-14T11:48:32Z","0","0","0","0","0","0","0"
"08658bc00133675c2297b5f85e0069136f2faf64","2017-08-13T23:18:06Z","0","0","0","0","0","1","0"
"96a83b82988947557bbff266f91f6f583b8e4370","2017-08-13T22:58:42Z","1","2","2","4","1","0","0"
"37d7da8d382fdf1d9282762abf0b0ac877efc234","2017-08-13T21:17:18Z","2","19","1","20","1","0","0"
"fba74eb0c485a9954d4e715933fc8fe7c0c2a646","2017-06-15T09:36:42Z","0","0","0","0","0","0","0"
"cc93b80840fcdb488b4eab6ebfabb5ec4380c0c9","2017-06-14T23:40:06Z","7","12","0","12","1","0","0"
"7c54d9ac15495ec83545559e629e7e1851cc3449","2017-06-07T22:11:23Z","0","0","0","0","0","0","0"
"63e4c333f1aeca77750ca3d87b4d13e352aa5f7c","2017-06-07T22:11:10Z","0","0","0","0","0","0","0"
"025d519117faa1ab32dcc8169e3bb47560e0ef6a","2017-06-07T21:36:03Z","0","0","0","0","0","0","0"
"ce713531a2e11be541388aa4acda1f0adccee426","2017-06-07T21:35:51Z","0","0","0","0","0","1","0"
"b2ad98e72b12d54ed21ad66cec8eec3df02a2d0f","2017-06-07T21:35:24Z","1","1","1","2","1","0","0"
"7a3c7bb62f71cccf3d66442e5eaac334c8c33399","2017-05-26T13:21:59Z","0","0","0","0","0","0","0"
"a6d72dd97e3e90f747c727a687505200381ffbac","2017-05-25T10:41:02Z","0","0","0","0","0","1","0"
"0d977dd7dddee12bdb02f78b1d4c10d649190b26","2017-05-25T10:40:08Z","1","17","1","18","1","0","0"
"9ab4ede80d6d4686c4fdc8ef592dbcc0dcb70ff5","2017-05-23T20:40:56Z","0","0","0","0","0","0","0"
"8b0b21ffdb44196dbfacfeeb66d50424daf9675a","2017-05-23T20:40:40Z","1","7","5","12","1","0","0"
"d66ef2f5042acc338827837fa42997a05dbb9054","2017-04-29T15:04:42Z","0","0","0","0","0","0","0"
"a656d76d71190bf9e19ddb0a3929b920baa3553e","2017-04-27T22:13:45Z","0","0","0","0","0","0","0"
"8790a31a4419d0755f5b3765aa050445adb9b43a","2017-04-27T22:13:26Z","1","2","2","4","1","1","0"
"c3eb3205b83ca640b90c8bc1bd1281b92d025180","2017-04-09T01:13:05Z","0","0","0","0","0","0","0"
