"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"54a5201dfba6819f476a61e0e8096f13e3037ed9","2018-04-14T03:28:17Z","0","0","0","0","0","0","0"
"0fb71ef88a52974126232d0aeb0bb6dd2f4b7121","2018-04-05T11:47:26Z","0","0","0","0","0","0","0"
"c32854ca585476a26663db82a6faa312c573f2f8","2018-04-05T11:38:24Z","0","0","0","0","0","0","0"
"e93aaeb10103354c7ea8f5baa35f1710dd39c221","2018-04-05T10:55:22Z","2","23","17","40","1","1","0"
"ae31eec0b9e0fba014e2197ca2977ffd6ea98106","2018-04-05T09:50:58Z","1","31","43","74","1","0","0"
"ca97832f39d64f1b2026eb3ad5840c795677deb1","2018-02-12T09:05:45Z","1","2","4","6","1","1","0"
"3a85897cb5b765cf425b679a8393046f9c87dd97","2018-02-09T15:05:22Z","0","0","0","0","0","1","0"
"f95c2dc13628e3e3410cb8c028a24feb2cc57acf","2018-02-09T14:49:53Z","0","0","0","0","0","0","0"
"8a23d10757d8f1a8dad248d302687712e5519a62","2018-02-09T14:45:20Z","0","0","0","0","0","1","0"
"cdfef1147f28741d208ce3632c55679c2e41ef79","2018-01-27T12:08:36Z","1","34","14","48","1","0","0"
"b271d1de8d8bb7423e2cd0591ebcd8ab21044da4","2018-01-27T11:47:21Z","0","0","0","0","0","1","0"
"bea1e4d6258aa39369275e4bdf6f2694e437e3f4","2018-01-25T10:33:49Z","1","34","14","48","1","0","0"
"f1ae8c9174323b973de9fc9e8b992d087b960d75","2017-01-27T13:34:44Z","0","0","0","0","0","1","0"
"f23316c77dd70e3aef70f929e3dc9916718b7dcd","2017-01-27T08:58:31Z","6","98","48","146","1","1","0"
"bb53054ae36d138a06081ee9a5b491b98779ca1e","2017-01-27T08:57:20Z","0","0","0","0","0","0","0"
"f864e4cbdfa28c9a0edfe08f391e41919a53add2","2017-01-27T08:41:15Z","0","0","0","0","0","0","0"
"f89b1d397fbb4da69b83acad4abc06d42de51a01","2017-01-27T08:07:29Z","3","47","20","67","1","1","0"
"bb140eb63762a798bd53d257846c083c30a483c3","2017-01-27T08:06:28Z","0","0","0","0","0","1","0"
"e92b84374fc779a3e5bff1c3dfd115cf48672030","2017-01-27T07:13:02Z","2","5","19","24","1","1","0"
"173a77ab68171fe53830d8ece0ce446f0b1c0d4d","2017-01-27T06:37:46Z","2","43","2","45","1","1","0"
"623fef09faebe7dc8642edd07249ee2ab40b1939","2017-01-27T06:37:26Z","5","55","32","87","1","1","0"
"21fb800ce5b5a8c05f784b04017b45005219f5e9","2017-01-27T06:16:06Z","0","0","0","0","0","0","0"
"0543cb43637c6295c1b119c582459d4ababe8ad9","2017-01-27T06:09:23Z","0","0","0","0","0","0","0"
"766d024e9c91145c1213fe25a7b3739cda8777c9","2017-01-27T05:59:12Z","2","2","1","3","1","0","0"
"509aeba1eef200a50354ade988586b3b2d94e662","2017-01-27T04:55:45Z","0","0","0","0","0","1","0"
"d1f578d27da15c2bd30135cf72901f195773b551","2017-01-27T04:37:52Z","4","13","51","64","1","0","0"
"d1ddf9676e9c71118a6649adbde6d8fb41679a44","2017-01-23T13:05:53Z","0","0","0","0","0","0","0"
"a00ab36d60838542e711b5daf24dfd87dd236d09","2017-01-22T16:12:18Z","3","9","9","18","1","0","0"
"2f7657094cba1c61dbf9a0cfa294016ace66ac08","2017-01-22T11:37:37Z","2","73","13","86","1","1","0"
"cc507821c8d7466252286b8d0d1a18a24de3170b","2017-01-22T11:36:15Z","2","13","73","86","1","1","0"
"a17a8162616670d3509d29eeeecf397255bd1900","2017-01-22T11:35:32Z","2","73","13","86","1","1","0"
"a14f59e60dc23343311682ddbf5eee90200964d9","2017-01-21T12:22:35Z","0","0","0","0","0","0","0"
"2a1e7f7b605b0c7c4fb662bb67033fca7c915b4d","2017-01-21T05:55:14Z","0","0","0","0","0","0","0"
"49c9292ef2a2aadb982ebfd3d173782c50e30a78","2017-01-21T04:44:47Z","0","0","0","0","0","0","0"
"c8b9d21dc6fa9569eb218ad1be910ecb1104ac16","2017-01-21T04:36:15Z","1","32","28","60","1","0","0"
"e76160d1327c48fc8a2aa7c1894ffa81c7c883cf","2017-01-21T01:13:59Z","0","0","0","0","0","0","0"
"aa5d58c81d551f4a9492521162dd08b060ac6398","2017-01-20T01:17:50Z","1","2","1","3","1","0","0"
"a2c353745a189dcbdff35f201b332cbfde816197","2017-01-19T07:02:23Z","1","55","21","76","1","1","0"
"99bc403a162b18bb9fd8d931c09ef179521a4c31","2017-01-07T03:55:57Z","0","0","0","0","0","1","0"
"54940ee7c73dd67bd92371649ca1993d16bb2983","2017-01-07T03:34:07Z","1","3","1","4","1","1","0"
