"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"48091db7321ce935c37dedad44a62902126c08cb","2017-05-29T20:17:02Z","0","0","0","0","0","0","0"
"9ba7c7bab41fb49eea27b8b91bbec57922d0a89c","2017-05-29T20:06:42Z","0","0","0","0","0","0","0"
"342680e9d57f04f6e21dbe9c211fa7d56c81bce2","2017-05-29T20:06:12Z","0","0","0","0","0","1","0"
"f09c0029a6d45ceed458491e0573d9b28045603c","2017-05-26T20:50:08Z","0","0","0","0","0","1","0"
"db5e2d9b0f65978c85dd54d6e3ef3d122a062291","2017-05-05T22:31:26Z","0","0","0","0","0","1","0"
"959f3e94077df1d6dacaaa2114350279f2673a3e","2017-04-17T13:42:50Z","0","0","0","0","0","1","0"
"aae138315e407d779abeb7588dbb6cb2a1391bee","2017-04-04T08:31:25Z","0","0","0","0","0","0","0"
"d069f55ceee35b0092e3c153bceaa2a53e21ce62","2017-04-03T18:03:41Z","0","0","0","0","0","0","0"
"0190ee92cb1f5a2258c1a9c4d90c3478d1708e62","2017-03-18T15:59:44Z","0","0","0","0","0","1","0"
"5ffebf4fd3a6d61f8891e9c9cf575abc400de9ad","2017-03-18T15:59:02Z","0","0","0","0","0","1","0"
"b7cd64d65ee8341a1766875d006257bf22fa0294","2017-03-11T14:42:34Z","53","6939","7056","13995","1","1","0"
"56d7b37be2f81e2291a75516103acc0529609dc3","2017-03-11T14:41:11Z","0","0","0","0","0","1","0"
"554dd77e0aa724a939709cc0aead3706b44f75b1","2017-02-23T17:15:26Z","4","1","155","156","1","0","0"
"6dcea7c359e4c2e89b6d938595a0b0fe4983665f","2017-02-23T16:58:55Z","3","5","5","10","1","0","0"
"d05fde3ec90ad830d538741c15474baf1d91170f","2017-02-23T16:38:15Z","3","63","95","158","1","0","0"
"90abb3845ba1133c1ff6aa6a969028a2ffce990b","2017-02-23T15:14:08Z","8","8","8","16","1","0","0"
"05a0f240cb553c016cc2f1d5e93b04e20ec67a81","2017-02-23T15:13:21Z","13","242","128","370","1","0","0"
"0fe9746662051ab9d08ae38faf41d96f57ee5271","2017-02-23T12:18:12Z","51","6866","6911","13777","1","1","0"
"b013a80485fd3823d18595ddf08a148227c8f9b6","2017-02-21T16:14:05Z","3","6","6","12","1","0","0"
"08267b83b59902a3add39e81c9ca41bd31818264","2017-02-21T08:54:25Z","1","3","3","6","1","0","0"
"89f2ea6342e0750d94416568d96d1759f8d71cda","2017-02-19T21:40:14Z","1","7","25","32","1","0","0"
"4f6d65cdbaf97b35e261bd6e61d9f0c4f1825617","2017-02-19T21:28:16Z","10","38","85","123","1","0","0"
"0fddf417823fd4421536dcf0912860845d43a13a","2017-02-19T18:15:43Z","5","31","23","54","1","0","0"
"4c67e1ef7f49f1e6ec532d8df3a762e93a7be3fa","2017-02-19T15:33:35Z","17","75","130","205","1","0","0"
"6615d1ebc084bd4b36daa78d03db69655116fad5","2017-02-18T00:46:45Z","0","0","0","0","0","0","0"
"7d789e484b2c3e4d623e0605ea22399251c497fe","2017-02-17T17:28:50Z","21","169","2245","2414","1","1","0"
"02d6e4f26c5f6138831b72f14d04cfc38c9fa7de","2017-02-16T11:00:29Z","0","0","0","0","0","1","0"
"d39621dc6944efb8984750454e5310953c39b8ba","2017-02-16T10:59:18Z","0","0","0","0","0","0","0"
"80b6204ecaff74d93ac9026788872519fc0648f8","2017-02-06T20:51:55Z","1","16","11","27","1","0","0"
"ce2a8e7c0f4cbbecc0c8832c7202711781590623","2017-02-06T16:10:07Z","1","1","1","2","1","0","0"
"94dd8b9d439c123a7b74d952c295707aacc2fbd1","2017-02-06T16:09:33Z","1","4","0","4","1","0","0"
"ba71c15814b729a3b68b20ead2a2c8461247aa0f","2017-02-06T16:08:46Z","1","0","3","3","1","0","0"
"663ddb0cd3f62c8b06ef480bb44ef06d45591561","2017-02-06T08:08:18Z","17","247","183","430","1","1","0"
"0d493132229a8d88306b1a90df85f8dc8d5fb8ce","2017-02-05T21:55:25Z","12","31","31","62","1","0","0"
"13890a3b0436f602b722666d02c06a5397502f71","2017-02-05T21:09:55Z","2","17","24","41","1","1","0"
"ebc697398eb245be350733c99ca6b4786c2a71f8","2017-02-05T21:04:51Z","0","0","0","0","0","0","0"
"8ce41c35873f14e46607305b00158e653d9fe8cd","2017-02-05T01:11:22Z","2","17","24","41","1","0","0"
"335b180065f0b34ff124efb4c1f478c2e93c827d","2017-02-05T00:29:24Z","0","0","0","0","0","1","0"
"f0acc4a7717e455d9e1b2e67f735606592b86c93","2017-02-05T00:28:40Z","0","0","0","0","0","0","0"
"a95a7ef026855806986db0a0804dc0eac36980af","2017-02-04T23:47:59Z","2","130","58","188","1","0","0"
"046b192207ef9a49977b0716f69bc44b402c8f1c","2017-02-04T18:00:08Z","3","82","83","165","1","0","0"
"2ea121e695c337f1fe1d7f95251eaaaab80f0f9a","2017-02-04T15:52:34Z","0","0","0","0","0","0","0"
"9c8ac525a6fd975852b49fe78e0bd6ccc11e0cb6","2017-02-03T10:53:36Z","2","2","2","4","1","0","0"
"909b3ce9852b6a4c22c2d4e1d6b4fdfbca60a854","2017-02-03T10:51:33Z","2","6","4","10","1","0","0"
"f2eb27a6bca1549cc6c4f72530f38dcf31363fd6","2017-02-03T10:50:09Z","5","46","93","139","1","0","0"
"1a7597d6425569edc085b1ebadcbcf625a6d2497","2017-02-02T21:55:49Z","0","0","0","0","0","0","0"
"aeac9375ccdb4e8fef0540d0aeb1ee54febfd36d","2017-01-29T21:56:02Z","3","58","39","97","1","0","0"
"1dde4d76f6084c794a54a6f38a677c19d3574f05","2017-01-29T13:04:49Z","0","0","0","0","0","1","0"
"691f54b26e94ab4031121e55a1e59048acce3684","2017-01-16T21:48:56Z","1","544","478","1022","1","0","0"
"57f24247673d939acc92522c880d4a5eebbb4f5e","2017-01-15T23:34:47Z","10","334","235","569","1","0","0"
"510712fb108f4dca4fbe94f0b315fb1cda886550","2017-01-11T09:26:18Z","0","0","0","0","0","1","0"
"c0a9cfc3d908c28f9b9d8a6dc545eaa2c207e0fb","2017-01-08T21:54:53Z","37","615","1153","1768","1","1","0"
"eb61b52b33d4aa183d9cabb25d07f3d1a2ef9b9f","2017-01-08T21:53:24Z","0","0","0","0","0","1","0"
"308aa9ed9cab8a8edf377723cba6ccd1c4a7255d","2017-01-08T21:51:50Z","0","0","0","0","0","1","0"
"60acd632aa6c1f3b317f48718a762a09a79fd40e","2017-01-07T00:39:46Z","23","286","857","1143","1","0","0"
"778baaab0438348ab269b091400200d9b9c4d06a","2017-01-06T16:05:15Z","1","2","2","4","1","0","0"
"ff390683971f218dd5b10fcc6ce914a1397f67e1","2017-01-06T16:04:43Z","2","59","13","72","1","0","0"
"fb33b138609a2b0423bff3f2964a0a42112fd60e","2017-01-06T11:04:09Z","1","3","2","5","1","0","0"
"e11167c22b0a73b07a9b018725e42b83fc1201dd","2017-01-06T10:40:45Z","1","1","1","2","1","0","0"
"5b2935c16d0eb86bbb927dc44637a7dc689434e7","2017-01-05T15:06:08Z","20","218","839","1057","1","0","0"
"5b1802b7a5a0c64c90e6495c17d2df4b4acbdce2","2017-01-04T15:49:53Z","9","101","94","195","1","1","0"
"1356b563f462f75060f38172773affd7211b2365","2017-01-04T15:49:37Z","1","4","1","5","1","0","0"
"c9a03f2163aa74a63d53499b9bf6d74d2f38bf86","2016-12-29T01:52:14Z","1","5","4","9","1","0","0"
"e2dc86d8db64bde201e6c4f7e4f97d3d565639f7","2016-12-28T16:43:39Z","1","24","26","50","1","0","0"
"4ea8372371f2fddff024d7e778c1721e1f219728","2016-12-28T15:43:52Z","1","5","7","12","1","0","0"
"63801234db07016cfd9827900805d6b303878012","2016-12-28T15:41:32Z","2","33","51","84","1","0","0"
"486f2e35fede7c35ab98c6247d5e289ea8d3b91b","2016-12-28T15:40:44Z","3","17","10","27","1","0","0"
"c4f50c56a50467fc67ff1c37e852a719e33b84fe","2016-12-27T02:16:17Z","2","53","24","77","1","0","0"
"c8fe8f247b49ceafa5c97bfcf2b0e608d027d1df","2016-12-26T18:00:12Z","7","147","196","343","1","0","0"
"4481084814dc915422435d0c251a750715c2ea75","2016-12-25T23:42:46Z","10","324","205","529","1","0","0"
"1895058a70f2e8a82d3f2559d5d4c6a5f1c26380","2016-12-23T11:52:44Z","0","0","0","0","0","1","0"
