"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b7caf7dfe53f34811106bbfbe103849ad8885484","2017-04-06T14:07:25Z","0","0","0","0","0","0","0"
"8c1b1d34138d8a3bc9fe6e8c415b4d5ee9851855","2017-04-06T14:02:27Z","0","0","0","0","0","0","0"
"13b9aba4b69f6502aa4cb8f6226dd5420dae7454","2017-04-06T13:46:44Z","0","0","0","0","0","0","0"
"2d1b545dfc3f01b1805c1f1dfcdf0b1e450e3fbe","2017-04-06T13:46:37Z","0","0","0","0","0","1","0"
"c52c5aaad83f24f6c59dc5493022539b6ab7115d","2017-04-06T13:42:55Z","0","0","0","0","0","0","0"
"d726a36cbe1311aac568937a2bf592161865bcef","2017-04-06T13:42:04Z","0","0","0","0","0","0","0"
"57487d00e9be35a3d8775295acf8d0f94d88e10d","2017-04-06T13:27:10Z","2","2","2","4","1","0","0"
"2acb89272158124e90440ea464c120a7ce3f62c1","2017-04-06T12:27:07Z","0","0","0","0","0","0","0"
"ff63e67388617abd3e2c550aee164c19b862f5e5","2017-04-06T09:27:42Z","3","9","3","12","1","0","0"
"4ed5640fd9bb8f62cf61386cc1207df5a4721962","2017-04-06T06:44:11Z","2","4","21","25","1","0","0"
"aa9ff382cf1ecef010ed33c0c8e66c24ff8bf1e8","2017-04-06T05:40:04Z","3","39","24","63","1","0","0"
"bbcc054ca03d29a12c68844334eaec638cf37ee2","2017-04-06T03:14:27Z","4","53","38","91","1","0","0"
"eb9f123c63e9a4c36b563511c00f1d08014c5401","2017-04-06T02:26:39Z","2","15","3","18","1","0","0"
"53bc1bfbf8a829f6752ef8668b7a8e2ae8e0866a","2017-04-06T02:14:01Z","5","135","84","219","1","0","0"
"3473c312f58ded4b59ed46783be94a0e33cdb75e","2017-04-05T17:25:36Z","2","25","15","40","1","0","0"
"848d147167b0a2f34b07fb994e7083289222590e","2017-04-05T16:45:51Z","3","24","24","48","1","0","0"
"e2bf9a407dcf602d5e318aea059dadedc4e3124b","2017-04-05T15:37:36Z","1","8","8","16","1","0","0"
"4e2de7b1ba6ed4f68f74e421918374fe8425bdce","2017-04-05T02:23:15Z","1","2","2","4","1","0","0"
"50fdf83570477fe72de034e1a3d5f0393b1d1a8b","2017-04-04T17:21:36Z","0","0","0","0","0","0","0"
"e78830c7b83b2bdf2ff1b2da73a377a7581d2d85","2017-04-04T17:16:33Z","31","357","455","812","1","0","0"
"7426fde796349fefcc3a4aef166b14bd9b006a2d","2017-04-04T15:27:51Z","1","8","8","16","1","0","0"
"6366077b5e93e74fdff252daba94f670f933fe35","2017-04-04T14:31:20Z","0","0","0","0","0","0","0"
"5bd7ec148d36ea4dafe2f8fba59243c8c55738b6","2017-04-04T13:57:00Z","1","8","8","16","1","0","0"
"af768676e58ed186058f01594af507aecc7c5bef","2017-04-04T12:53:27Z","27","164","120","284","1","0","0"
"816b56581d3bb77806f10b4eb6fcd94f06227414","2017-04-04T10:41:53Z","2","15","7","22","1","0","0"
"5a9df043cb9da43650cea5aa5e2eca120b86ef68","2017-04-04T08:46:37Z","4","15","14","29","1","0","0"
"2e6448149ec62ba1737e1804a153fc8302944741","2017-04-04T06:24:14Z","11","289","238","527","1","0","0"
"2be0e18727a921711e3da2e797642612a7f59c1e","2017-04-04T04:20:15Z","2","20","16","36","1","1","0"
"3280ed9251243ac403bce2d46f482cae7b5cfc45","2017-04-04T02:13:36Z","0","0","0","0","0","0","0"
"46756a66f5f8d650aadabf16fbb49b75c33321e8","2017-04-04T01:54:36Z","1","1","1","2","1","0","0"
"4d27187f4d335623ee38fafe76cb15e1a660cb30","2017-04-03T14:56:26Z","3","46","15","61","1","0","0"
"57057c6b725624e2818a12771b3c9e73f1c596f3","2017-04-03T13:40:28Z","14","508","93","601","1","0","0"
"500ef550b45f78a8aefb9439281b7307c2e90cd6","2017-04-02T10:45:11Z","2","62","22","84","1","0","0"
"3ce21f2a9e4fb319c636d6ab03d8c85e33352ae8","2017-04-02T07:19:42Z","23","97","364","461","1","0","0"
"c5f095b4ca7ff950bb13bbf6490e276bc9e7b4e9","2017-04-02T06:42:35Z","8","248","29","277","1","0","0"
"774324dbbc9652865d67b481df3acb74cad62ba9","2017-04-01T18:04:42Z","5","4294","8","4302","1","0","0"
"59b4eac2f033ef7c263d262d968db5cf8902c52a","2017-04-01T07:37:22Z","4","143","71","214","1","0","0"
"68a01d54673c0e4bd8d994bf72eac33ba3b9c072","2017-04-01T07:01:05Z","4","244","4","248","1","0","0"
"e9aa291a62a346deab03c4bcc151dab6fc42aca1","2017-04-01T03:09:14Z","5","1176","582","1758","1","0","0"
"f99b9715bc329e9e017ba1cfc21d357e262833c8","2017-03-31T18:08:08Z","7","839","33","872","1","1","0"
"c3b9d92889573df47082fbdc4681ae495017c3c7","2017-03-31T15:59:15Z","99","4379","5137","9516","1","1","0"
"96bc6f6d4cd9fc42e41cc2e6b907360f2185b585","2017-03-28T18:17:08Z","0","0","0","0","0","0","0"
"aaca28a8ee02e6272009eb63542d672f600c0d53","2017-03-28T18:11:37Z","0","0","0","0","0","1","0"
