"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e7a331195de0907d7e3096bc5565a05b3f49b304","2018-08-24T00:19:44Z","0","0","0","0","0","0","0"
"2881d96511349d38489ebc4ab23d52d4503bb23a","2018-07-29T01:44:21Z","9","100","110","210","1","0","1"
"35f6f109e890e7c2a965598e87dcd6e488943612","2018-07-14T07:03:54Z","0","0","0","0","0","0","0"
"8e029a789c685d51035f440f73a4e28d64941db5","2018-05-27T07:45:05Z","0","0","0","0","0","0","1"
"96d934bd459d12d2ac61c66b4c363913e376979e","2018-03-09T05:51:24Z","1","20","20","40","1","0","0"
"83fc512367e3a2b2967c4a21e27b95d0aecac142","2018-03-09T04:25:17Z","0","0","0","0","0","0","0"
"2195f0c6e058dc9a67b1a61155bbff85e69a2a8e","2018-03-09T04:16:43Z","0","0","0","0","0","0","0"
"8dd72e3a773ceb2de7a0f9bff67c3da024eee192","2018-03-09T04:13:44Z","0","0","0","0","0","0","0"
"397245e80ec6b665b54f92cb362aa82c6c688c52","2018-03-08T02:25:27Z","0","0","0","0","0","0","1"
"2d45d8088959b39b51157e87c3a4f6a4e780871b","2018-02-27T06:12:24Z","0","0","0","0","0","0","1"
"05bd99c216ceed8683937fc53bf5cbccae1d33aa","2018-02-27T03:54:36Z","33","1144","1090","2234","1","0","1"
"c403f5396f178e694de25fad117f93b2c34fa3c8","2018-02-19T03:54:33Z","1","8","8","16","1","0","0"
"4835e49c35928f08ab270349b921d7cf86523b7f","2018-02-18T20:42:51Z","4","9","47","56","1","0","1"
"3daa27c2c396e9d23ec08405d9401076b8dde669","2018-02-18T09:09:31Z","0","0","0","0","0","0","0"
"6a9375514bd6ee89fc82a910b0a2edef13e6da90","2018-02-18T09:09:09Z","3","130","1","131","1","0","1"
"22a83a0feaab0b973d2fc11484d9c82815cca8ad","2018-02-18T09:08:18Z","1","44","44","88","1","0","0"
"46a356d3ccf163d99957a22ba58f89df78c53b51","2018-02-15T06:29:15Z","0","0","0","0","0","0","0"
"04b9e05f9232bbdc69d1739769426a06abbc4e88","2018-02-15T06:20:43Z","16","730","634","1364","1","0","1"
"b684e0cc36c717397f1b364ca002584fcd93cd19","2018-01-09T04:20:48Z","0","0","0","0","0","0","0"
"806be455fb5de64f3887d25249467e871eb8b28d","2017-12-30T19:50:21Z","0","0","0","0","0","0","0"
"3a951c8095ee6528126de2256c9e62dffdf5935e","2017-12-30T19:50:12Z","0","0","0","0","0","0","0"
"aec085fb3598080ccad5fe4c8172d0b3e2922961","2017-12-30T07:52:14Z","0","0","0","0","0","0","0"
"7fe332de2ae7c2de18372c240626c2b5a23536eb","2017-12-30T07:51:40Z","0","0","0","0","0","0","0"
"532b0a1a01a87e44226eea07714477ad6a59ed16","2017-12-30T07:50:32Z","0","0","0","0","0","0","0"
"085c4079d6bb75029f4a6ee46e828851f9f54e5b","2017-12-30T07:48:25Z","0","0","0","0","0","0","0"
"266738c87968785447a47911e8a3458b8c350d6e","2017-12-30T07:46:51Z","0","0","0","0","0","0","0"
"34822abb72e86202d7993e6a6257bd7391526e93","2017-12-30T05:36:22Z","0","0","0","0","0","0","0"
"e669e8a7b937ceba4977435636162ffc193d7179","2017-12-30T05:30:26Z","0","0","0","0","0","0","0"
"5b0c166e85207ba66e35ab05753a7343f36aab36","2017-12-30T05:16:32Z","0","0","0","0","0","0","0"
"7d04b5bb2b1725d8e1dbc9294574aaafe4e44c0b","2017-12-29T22:34:04Z","0","0","0","0","0","0","0"
"d6b4bd32e40ab6feffadf6e5221a1133bb8b670e","2017-12-29T03:34:15Z","1","8","2","10","1","0","0"
"1b9256fb81783a371f8b2656419bc5436395a0d4","2017-12-28T08:46:12Z","0","0","0","0","0","0","0"
"598324e39d520ebdef269a3d7d4ff500290a479a","2017-12-28T08:34:41Z","0","0","0","0","0","0","0"
"eb26ba5415dc5c45c00b704c35623a6184743ad4","2017-12-28T04:21:50Z","1","1","1","2","1","0","0"
"d1dfbc45d8c5a553c9038380c0ff8f17404ad1a1","2017-12-28T03:54:46Z","1","16","15","31","1","0","0"
"6992debedc29a42f707d82811ddea72ac68ea163","2017-12-28T01:44:05Z","11","79","99","178","1","0","0"
"2976a754dd9f04ba23311535cb1d58695b738354","2017-12-27T05:32:31Z","0","0","0","0","0","0","0"
"56bec487e84cf2f5f6a1924815640b762616d17b","2017-12-27T05:26:02Z","26","573","645","1218","1","0","0"
"7a6669a72bb6e1e47424d87e485b5b1a6eafbe04","2017-12-25T11:09:20Z","4","13","22","35","1","0","0"
"0c6373ba7bcb8b53fe1111e86cb9728aac79276e","2017-12-25T10:55:27Z","26","2070","0","2070","1","0","0"
