"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5123c1584757c6eeea0ed2a0e7e043629871a0c6","2016-12-04T10:44:06Z","1","1","2","3","1","0","0"
"04d225ad480158e3074b8adc023d3d33432e14fd","2016-12-04T10:41:49Z","0","0","0","0","0","0","0"
"185f0e463b3d7de18163db18a1dd438821587834","2016-11-01T17:33:03Z","3","11","1","12","1","0","0"
"46a633e33ff337fcc5489b78ff9c4f08640202a0","2016-10-31T17:00:12Z","0","0","0","0","0","0","0"
"b1488949ce2c4d62989ee8b8e3e07f352ed7b137","2016-10-31T16:33:33Z","0","0","0","0","0","0","0"
"bcb8f4dc136e8841e01aa0282c89751f456e28d2","2016-10-25T15:28:18Z","1","1","1","2","1","0","0"
"d91558d23a1e6a023f4fce16f30434bfca7b4ce5","2016-10-25T14:57:54Z","2","15","0","15","1","0","0"
"fb9d1b45ce68c62fdedd0e0294ae101135102f29","2016-10-24T13:44:11Z","1","1","1","2","1","0","0"
"a89840f347153a50155ac971019e33ceaf4505ac","2016-10-24T12:08:31Z","1","9","0","9","1","0","0"
"83d813aed7169cbeeb7637f034a6856d3dd6dace","2016-10-24T11:53:48Z","2","13","0","13","1","0","0"
"85e220ea507c192a7bfc6ca8b92a12ad05f624a0","2016-10-17T17:09:25Z","4","64","6","70","1","0","0"
"fa34dab64fdfbd87b6a8db260c252f426b169588","2016-10-13T20:21:09Z","0","0","0","0","0","0","0"
"80bf1a0cb9c8d17fe4c1288675dd64b2bc99cdd7","2016-10-13T20:06:20Z","0","0","0","0","0","0","0"
"14ab8a81f7089f297c0c4fa945f5e33e9d9ac686","2016-10-13T18:41:36Z","0","0","0","0","0","0","0"
"4caad9c3cf4b2c442679ac9ef3e490d15c1fb0ad","2016-10-13T15:23:02Z","0","0","0","0","0","0","0"
"9377069a71bd1747212a31296f11d8fe1da9dcdd","2016-10-13T01:09:47Z","0","0","0","0","0","0","0"
"8c8a6dfaea14a9f8592f9197578a6f4e0e8a28c1","2016-10-13T00:46:27Z","0","0","0","0","0","0","0"
"cfa63b430c46b5c3146504aa5499860623989689","2016-10-13T00:32:08Z","0","0","0","0","0","0","0"
"000add3e777a3771def651324567dbbd2bbd9969","2016-10-12T23:42:29Z","0","0","0","0","0","0","0"
"1d4041ff0d54cf855e58d8df201d0ac561d306cf","2016-10-11T18:33:20Z","0","0","0","0","0","0","0"
"d39d82045abe49605ef177eb893e036c31e5e032","2016-10-11T12:55:54Z","1","42","30","72","1","0","0"
"0b2c8e669bc1965b43928a7603e9bb6a8d68d453","2016-10-11T00:20:17Z","0","0","0","0","0","0","0"
"2f94e003537f420c6485cc7daf3990cbe9bc3a98","2016-10-10T20:34:07Z","0","0","0","0","0","0","0"
"5a9677810bffca07601666991551c45a83a72748","2016-10-10T20:34:07Z","0","0","0","0","0","0","0"
"81326e240e5e402d1c0b4cb3198c09cf475e1213","2016-10-10T13:37:10Z","1","39","27","66","1","0","0"
"71e5ef2b5cdbf19ad2316e81e0b35523914cdfe9","2016-10-07T20:45:49Z","1","58","37","95","1","0","0"
"ab893a2157c7a7b2d4b3557d669f3681b4da952c","2016-10-07T20:07:25Z","8","248","120","368","1","0","0"
"c1ed5545e659c42d0ce6958587946a22950c9fd3","2016-10-07T20:07:25Z","1","33","30","63","1","0","0"
"82fa6967263bf23071706db05d61f14b6e375e06","2016-10-07T01:07:28Z","0","0","0","0","0","0","0"
"239e0642847db7480b669f1c339267aed857364d","2016-10-07T00:05:22Z","0","0","0","0","0","0","0"
"60e3c2480068a97cc380442673348550702f2525","2016-10-06T22:55:58Z","0","0","0","0","0","0","0"
"f0861cbaf595131db8f00ceb6a26c0e255769c9c","2016-10-06T22:00:30Z","0","0","0","0","0","0","1"
"ae22da4e94795619ae2d2d893b13deb9a2556411","2016-10-06T15:45:21Z","0","0","0","0","0","0","0"
"259481ff03f10aec842283a4be0a20de13440c17","2016-10-06T14:45:48Z","3","65","0","65","1","0","0"
"13b84c7152315a3b9495ab61f58bd8358be1c063","2016-10-04T14:58:58Z","1","11","3","14","1","0","0"
"58e9b5237bda05a78f956c892a59e1d8743108bc","2016-10-04T12:39:58Z","1","7","0","7","1","0","0"
"e2826378234bdfaa765802986d1b4819bbc82f2f","2016-10-04T12:23:30Z","1","1","0","1","1","0","0"
