"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"04045ccbf41ac5fc6806724127b33cbe0dda372c","2018-02-27T18:35:01Z","0","0","0","0","0","0","0"
"3b9ae7b6e44457e0d61c355961a6c9ac7cbe5c0a","2017-04-24T15:00:20Z","0","0","0","0","0","0","0"
"0292f8be19822ba6701ca7325b35bad3e2782509","2017-04-24T15:00:20Z","0","0","0","0","0","0","0"
"3d54ab311c77e996a6d8150e07b29e7d218a2872","2017-04-21T14:00:12Z","18","1517","74","1591","1","0","0"
"1bc039a8ca8a3e17c9f9a2b7966cc3b8c155f617","2017-04-20T14:27:36Z","2","283","171","454","1","0","0"
"c40c4ba27fe85750362281917dd5a3cd7b736bcc","2017-03-31T16:32:17Z","2","23","0","23","1","0","0"
"75c5ff53229fdc3d72bf444a8ee743e9c04f2b2c","2017-03-23T07:56:08Z","0","0","0","0","0","0","0"
"692ba49a132e388d4e6545f36ac7c5b09aab0a49","2017-03-23T07:21:44Z","0","0","0","0","0","0","0"
"91eec1c7810459bee053b75449c74ef04b378569","2017-03-23T07:19:56Z","1","4","2","6","1","0","0"
"5da5f59ffd6bac3bbea56fd540afa98ccfd65856","2017-03-22T12:25:04Z","13","536","82","618","1","0","1"
"2ffcaf6617890eb66b58c03c93768955294d70ec","2017-03-20T14:23:57Z","6","104","165","269","1","0","0"
"a92431875792b1e8d7f0379ac68e9365eac70160","2017-03-20T10:58:06Z","8","164","33","197","1","0","0"
"7bd61e35ca58c7ee87e2fbdab8237025eddb9299","2017-03-18T15:05:30Z","3","120","185","305","1","0","0"
"054df7566ce295cde240a365c1479bee8aa3c48f","2017-03-13T13:21:54Z","0","0","0","0","0","0","0"
"2084f5fc157e16b2f55a1055126c4647ab20357a","2017-03-13T12:03:31Z","0","0","0","0","0","0","0"
"fc79cb2f32472d095a3d3d19239c6b4393a63217","2017-03-11T23:40:41Z","2","120","7","127","1","0","0"
"7970f0b70105e3c874c9402988c095ced36eba6d","2017-03-11T15:47:52Z","1","1","1","2","1","0","0"
"ba85a78053bede6055ebfc27456056bedb346d7d","2017-03-10T21:56:57Z","11","1018","40","1058","1","0","1"
"f14356c3b0417ca8ae15c19a9112a4124861e5e5","2017-03-07T18:30:29Z","2","42","1","43","1","0","0"
"f4829106af396e323f839bf4df8763da7e51cd0d","2017-03-07T16:26:12Z","6","157","13","170","1","0","0"
"b661e6be5997f5f7e1586b16d471030b1f08acf7","2017-03-07T16:15:39Z","6","475","32","507","1","0","0"
"d870cef353ce3577438e5c72bc3b91b47a4de75b","2017-03-07T13:26:31Z","5","67","0","67","1","0","0"
"8c34694a2a4b051201e631e128b9902a77c8797d","2017-03-04T20:33:51Z","2","12","2","14","1","0","0"
"0600d79daf49c3db8de9570dc36874c39ca8f5d6","2017-03-01T11:17:54Z","0","0","0","0","0","0","0"
"a0f08a287076d811716ba4eea6f9a6e06e3c6a56","2017-03-01T11:07:25Z","0","0","0","0","0","0","0"
"c917daf78e938b664c2d5913d08b799301a86aea","2017-03-01T11:06:33Z","0","0","0","0","0","0","0"
"8c93ce8d355e11da9b14833010f40cc1eac0f51c","2017-03-01T11:05:38Z","0","0","0","0","0","0","0"
