"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c1d59150adb2b38de8c01a0e5e17901edbfc4313","2018-09-24T06:23:48Z","0","0","0","0","0","0","0"
"3f1ee7384ee9e8c7bbbf44691dc8089495cc2cb9","2018-09-24T06:00:43Z","0","0","0","0","0","0","0"
"c4b11c0515b54779b473a00b36736836edb06854","2018-09-24T05:57:07Z","5","32","2","34","1","0","0"
"f21b14bede4c00b975a2ecfd4a0c760c5013c0ac","2018-09-24T05:56:52Z","2","20","24","44","1","1","0"
"086d60f1c7d5266e75109ebd0dc19c9ec5a0f52c","2018-09-24T04:48:32Z","2","2","2","4","1","0","0"
"f7622569739edd88fb9be872f5aa4931bee96fc3","2018-09-24T04:39:16Z","0","0","0","0","0","1","0"
"ca7235e78ea4747f7ca6f0133a2e864577dc65cc","2018-09-24T04:39:01Z","1","9","1","10","1","0","0"
"54f095dad3036e907914605a308baacf29fe06e2","2018-09-04T19:41:10Z","1","9","1","10","1","0","0"
"63ad14ffb374e393ba8d091fe2d6c921be791e5b","2018-07-25T04:01:46Z","0","0","0","0","0","0","0"
"5b14293c22264d96a977ba4dc5f92de2dbf6b70f","2018-07-25T04:01:11Z","2","11","8","19","1","1","0"
"4e1b7de9eb703a4b7006c971903e99a67746c6eb","2018-07-25T03:53:55Z","2","15","5","20","1","0","0"
"f7afb807176e4a7dc06515736a5fd47795241be2","2018-07-23T20:06:10Z","0","0","0","0","0","0","0"
"0273fd91a0b73ee17914393647f3024d15a40ca4","2018-07-23T19:59:23Z","2","3","72","75","1","0","0"
"2e2283dec6046f2109004db6130a6530152cb845","2018-07-21T00:13:58Z","0","0","0","0","0","0","0"
"515b8c1471363a903cdcb9fae1b3d4c727bddda5","2018-07-20T23:59:40Z","0","0","0","0","0","1","0"
"2aefc3513de08b2e5416287459f0c074299104a6","2018-07-20T23:57:45Z","0","0","0","0","0","0","0"
"0bff2a0dcfc905d346179dca4dfe8b9204bc99d6","2018-07-20T23:51:11Z","2","13","5","18","1","0","0"
"d4efa10e1e2ddf5a6cacb22935c918bce478a65f","2018-07-20T23:51:11Z","1","7","3","10","1","0","0"
"cdc59eaae7efdb63e55f9191e10824b7ddefe2c1","2018-07-20T23:51:11Z","1","35","5","40","1","0","0"
"61da8516c731d940056ec0f05c9ba1877845f29e","2018-07-20T23:51:11Z","2","24","12","36","1","0","0"
"324f4dd0ca93a4e6c1fddbee3cbfed467e9770f1","2018-07-20T23:51:11Z","1","6","6","12","1","1","0"
"c66aae8c9c8e1d76b114555ea21315c20e0ca02f","2018-07-20T23:50:53Z","2","119","0","119","1","0","0"
"0956435498ef9fb0d2c49ab0e687b83e8d1f0616","2018-07-20T23:35:01Z","1","1","1","2","1","0","0"
"d9d521b3d1e84cec29ef060fc20fed46ceb08398","2018-07-14T13:40:16Z","2","119","0","119","1","0","0"
"38089be391c52ca61e8a2e56a39ba428a41b00cb","2018-07-05T06:03:04Z","1","1","1","2","1","0","0"
"ae95bb5a4d17ae8e7720c6f44094cf7b5a1c5c45","2018-06-11T19:23:13Z","0","0","0","0","0","0","0"
"ed4e7a558991698e8e0741f5a150401a1d08a603","2018-06-11T19:21:34Z","1","0","2","2","1","0","0"
"848b74ac6afc3d63551e8068dd1be544a758bbbc","2018-06-10T23:52:12Z","0","0","0","0","0","0","0"
"3559e8b709748f3a4e44bed552ffaa78c308d3e7","2018-06-10T23:51:30Z","0","0","0","0","0","0","0"
"4ac5b23bdd51346aab13b396686177d85a26a3c8","2018-06-10T23:44:10Z","0","0","0","0","0","0","0"
"abe32040664b8fe7466fba3c6ced85a47168cf87","2018-06-10T23:43:25Z","2","24","2","26","1","0","0"
"58cbd0ca171fb44fc088e5d0af50f6d659b3b10b","2018-06-10T23:29:27Z","3","24","4","28","1","0","0"
"80421473d82523587ccdf9edaa61df49a0a2199b","2018-06-10T23:17:00Z","36","80","0","80","1","0","0"
"10b0f86cb641460eef6f60ddbe3e1c6fa927f9db","2018-06-10T23:06:32Z","2","47","10","57","1","0","0"
"461e0e13394f1ca40ca63ca96400ec33f97f2f41","2018-05-29T00:07:23Z","0","0","0","0","0","0","0"
"4b9a7d54bc5ac63ca701bb7367b8cabaf4559308","2018-05-28T23:57:35Z","0","0","0","0","0","0","0"
"1f346620ba77f55a05f88dd995e2797302fd8054","2018-05-28T23:57:24Z","0","0","0","0","0","0","0"
"ca3d69cfdc9c1fe86e514d2ae984bd5b6067f8c7","2018-05-28T23:57:06Z","0","0","0","0","0","0","0"
"4e9e563a9da34067e3ebf8a47a0fb4220c84c3e0","2018-05-28T22:13:01Z","1","3","2","5","1","0","0"
"77ab2fc24043a317d8f49da96552d1bc0c2aaf9d","2018-05-28T22:12:51Z","11","566","7","573","1","1","0"
"b78a20057161d738f5160758406dabe46bb9297e","2018-05-28T17:25:26Z","0","0","0","0","0","0","0"
"6a40cf2d2223ed32b3863b63d3853dbbc0084ef8","2018-05-28T17:03:44Z","0","0","0","0","0","0","0"
"5d97a16b7e2543814910af8eb946c7759c50486c","2018-05-28T01:58:10Z","0","0","0","0","0","0","0"
"e9e03df03660b923790f57f1e7b9d13198f67e92","2018-05-28T00:05:45Z","1","16","3","19","1","1","0"
"a644f2c681cf51a403d741deeb5cbafda8f5bbd0","2018-05-25T23:46:35Z","0","0","0","0","0","0","0"
"8148923628d8af0afd8661b2e3e241caa8c45cf7","2018-05-25T23:35:25Z","1","1","1","2","1","0","0"
"f5b729836fdca64a9dd295f0f1eba1b13bc03ecb","2018-05-25T23:03:55Z","3","72","3","75","1","0","0"
"c3b78cc9fb25f55cace9c302ec5014dc5cc392ed","2018-04-23T16:13:58Z","2","77","18","95","1","0","0"
"091718be6af25858f3ab8bf9e1720ad6c43e0a20","2018-04-20T22:59:00Z","38","427","522","949","1","0","0"
"11acdf8425cd0e76ff1a3a5ea872ab51544fc7a6","2018-04-20T22:46:03Z","0","0","0","0","0","1","0"
"a9dcbf249f6e7236186b113d312a7e8d8ba00917","2018-04-20T22:42:56Z","0","0","0","0","0","0","0"
"1102c8f0324e9288ae38a01043d287451c1f6b2d","2018-04-20T22:42:36Z","0","0","0","0","0","0","0"
"ced1cc2e3f8e8046f4d88a2531f31a34ba7ed0a1","2018-04-16T05:54:04Z","0","0","0","0","0","0","0"
"e50630254950105c36482499ba9936dd803be616","2018-04-16T04:16:21Z","0","0","0","0","0","0","0"
"ca051705c74ac6ffb384a9b974af2e7e837dbbfc","2018-04-12T03:05:41Z","0","0","0","0","0","0","0"
"530ae922bf6822c540807acc6c0647ce7ad8c870","2018-03-19T17:58:11Z","0","0","0","0","0","0","0"
"9169790cb5f579a6211137f708481a13aa897494","2018-03-19T17:57:22Z","3","77","27","104","1","0","0"
"b4536e1b17ff97269ec63ce1f44fb86df278fdf2","2018-03-19T05:20:42Z","2","24","3","27","1","0","0"
"a99554fd755ad9a52fc768496d2efd382d0b6642","2018-03-19T04:48:41Z","2","34","1","35","1","0","0"
"295ff47eef6487024850234985c971a9f783ab00","2018-03-19T03:22:16Z","1","16","0","16","1","0","0"
"2ee2d1cf85392a838d02ab78941e6d01b7772eb2","2018-03-19T03:16:25Z","1","1","1","2","1","0","0"
"67ba1c9c11fcf6d4e1612561d8b5bd3319477230","2018-03-19T03:06:42Z","1","25","25","50","1","0","0"
"99c112274fbd98ab39b8c6546e3257b90eade805","2018-03-19T02:47:30Z","2","18","1","19","1","0","0"
"7380b9c401240c963cc75b7ab209ae2a04b88fc2","2018-03-19T02:41:58Z","0","0","0","0","0","1","0"
"68d2e715b9ae5e2f9ef11b9d6ee515e5fd3f43d0","2018-02-08T10:58:07Z","0","0","0","0","0","0","0"
"b25ffd5caab817e654a06190e8019ac96034b391","2018-02-08T10:57:08Z","3","77","1","78","1","0","0"
"8e5eb30eaa218f62b056214c6f52400e84e16ff2","2018-02-07T18:27:08Z","0","0","0","0","0","0","0"
"57284c6d753ecbde2c0ae15c386ff13117f62755","2018-02-07T18:27:08Z","1","4","2","6","1","0","0"
"8fb9d59653aa404b529856769237a386e8026089","2018-02-07T18:27:08Z","3","216","2","218","1","0","0"
"3748b2c860f01f08dcefbed7041a18a69397c1c3","2018-02-07T18:27:08Z","3","47","1","48","1","0","0"
"79954023c70f8dfe9c088e56c6cb72055b7e736d","2018-02-07T18:27:08Z","3","154","28","182","1","0","0"
